modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
keras_6_42943.h5,41.33782196,6.429432457000001,137.4412405,2022/6/13 17:35,2020/12/17,2021/1/3,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_6_42943.h5,41.33782196044922,6.429432457030503,134.25805306434629,2022/06/13 17:39:13,2020-12-17,2021-01-03,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,206.370849609375,14.365612967784116,138.60833644866943,2022/06/13 17:41:31,2021-01-03,2021-01-17,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,539.1992797851561,23.22066496450385,133.93886232376101,2022/06/13 17:43:45,2021-01-17,2021-01-31,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,439.2198181152344,20.95756145595841,140.23456382751465,2022/06/13 17:46:05,2021-01-31,2021-02-23,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,166.97555541992188,12.921908232537772,140.0496304035187,2022/06/13 17:48:26,2021-02-23,2021-03-10,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,97206.734375,311.7799465333493,140.8630290031433,2022/06/13 17:50:46,2021-03-10,2021-03-24,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,716.6326904296875,26.769991706475352,141.09011936187744,2022/06/13 17:53:08,2021-03-24,2021-04-11,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,70.87826538085938,8.418936089637358,141.65076470375058,2022/06/13 17:55:29,2021-04-11,2021-04-25,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,161.13632202148438,12.693972655767196,145.5816648006439,2022/06/13 17:57:55,2021-04-25,2021-05-10,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,1279.3526611328125,35.76803998260982,146.54968309402466,2022/06/13 18:00:21,2021-05-10,2021-05-24,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,105.13751220703124,10.253656376110207,148.03619194030762,2022/06/13 18:02:49,2021-05-24,2021-06-07,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,106.82643127441406,10.335688312944232,147.50368070602414,2022/06/13 18:05:17,2021-06-07,2021-06-22,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,109.9009780883789,10.483347130051575,147.989187002182,2022/06/13 18:07:45,2021-06-22,2021-07-06,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,296.506591796875,17.219370697877473,151.6896176338196,2022/06/13 18:10:17,2021-07-06,2021-07-20,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_5_82655.h5,33.94870758056641,5.826554030137057,154.62522077560425,2022/06/13 18:12:51,2021-07-20,2021-08-03,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_4_95851.h5,24.586833953857425,4.958518526485755,155.54949736595154,2022/06/13 18:15:27,2021-08-03,2021-08-17,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,232.2124481201172,15.23852128099205,157.5398006439209,2022/06/13 18:18:05,2021-08-17,2021-08-31,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_6_47991.h5,41.98925018310547,6.47991799778677,159.19470763206482,2022/06/13 18:20:44,2021-08-31,2021-09-14,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,136.72586059570312,11.692974406325302,157.77538800239563,2022/06/13 18:23:22,2021-09-14,2021-09-30,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,881.4476318359375,29.68918824389252,150.62772488594058,2022/06/13 18:25:52,2021-09-30,2021-10-17,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_7_05995.h5,49.84291458129883,7.0599538499183065,160.27886509895325,2022/06/13 18:28:32,2021-10-17,2021-10-31,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_7_09261.h5,50.30514526367188,7.092611667175362,164.66626858711246,2022/06/13 18:31:17,2021-10-31,2021-11-14,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_6_89018.h5,47.47491073608398,6.890186485460611,161.0643475055695,2022/06/13 18:33:58,2021-11-14,2021-11-28,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_5_90542.h5,34.874271392822266,5.9054250092103375,168.31555485725403,2022/06/13 18:36:47,2021-11-28,2021-12-12,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_5_39523.h5,29.108821868896484,5.395230904943185,166.39400386810303,2022/06/13 18:39:33,2021-12-12,2021-12-26,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
keras_4_24959.h5,18.059181213378906,4.249596159695558,164.59291911125186,2022/06/13 18:42:18,2021-12-15,2021-12-29,200,72,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
rmseBeyond8,54776.25,234.04324487131282,27.99187397956848,2022/06/13 23:42:25,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,0
keras_4_34457.h5,18.875228881835934,4.344570423938095,90.76586675643921,2022/06/13 23:43:55,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,55049.48828125,234.62624819172996,41.63978600502014,2022/06/13 23:44:37,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,0
keras_4_51028.h5,20.342571258544922,4.510281283413313,135.5981514453888,2022/06/13 23:46:53,2020-12-17,2021-01-03,200,4,24,1e-05,0.0,0.9,True,sgd,mean_squared_error,3000,0,10
