modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
rmseBeyond8,227.7113494873047,15.090104391790755,86.70341253280641,2022/06/18 00:21:09,2021-02-23,2021-03-10,200,135,50,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,201.9914703369141,14.21237043436852,81.01511859893799,2022/06/18 00:22:34,2021-01-03,2021-01-17,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,504.2271423339844,22.454974821843003,81.9079535007477,2022/06/18 00:23:59,2021-01-17,2021-01-31,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,284.2188720703125,16.858790106831734,82.05928492546082,2022/06/18 00:25:25,2021-01-31,2021-02-23,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,166.53744506835938,12.90491962500645,83.79828190803528,2022/06/18 00:26:53,2021-02-23,2021-03-10,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,364.49359130859375,19.09172894829181,83.86823916435243,2022/06/18 00:28:20,2021-03-10,2021-03-24,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,347.39910888671875,18.63865372271045,85.95024371147156,2022/06/18 00:29:50,2021-03-24,2021-04-11,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,149.15806579589844,12.213009794900088,91.12123966217041,2022/06/18 00:31:25,2021-04-11,2021-04-25,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,154.60012817382812,12.433828243210002,87.01051998138428,2022/06/18 00:32:55,2021-04-25,2021-05-10,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,184.2777404785156,13.574878596727636,87.90083742141724,2022/06/18 00:34:27,2021-05-10,2021-05-24,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,64.61949157714844,8.038629868486284,88.93662619590759,2022/06/18 00:35:59,2021-05-24,2021-06-07,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,127.84385681152344,11.306806150843506,88.92615532875061,2022/06/18 00:37:32,2021-06-07,2021-06-22,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,1324.370849609375,36.39190551238303,88.84419918060303,2022/06/18 00:39:04,2021-06-22,2021-07-06,200,19,121,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
