modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size
rmseBeyond8,495.35595703125,22.25659369175799,83.5441119670868,2022/06/18 00:20:16,2021-01-31,2021-02-23,200,128,7,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,496.1063537597656,22.273428675174138,82.02291655540465,2022/06/18 00:21:42,2021-01-03,2021-01-17,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,255.5546417236328,15.986061396776785,82.29978156089783,2022/06/18 00:23:08,2021-01-17,2021-01-31,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,321.8801574707031,17.941017504175804,82.60974621772765,2022/06/18 00:24:34,2021-01-31,2021-02-23,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,200.75863647460938,14.16892623383446,84.10503435134888,2022/06/18 00:26:02,2021-02-23,2021-03-10,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,128.60136413574222,11.340246978867867,85.2536199092865,2022/06/18 00:27:31,2021-03-10,2021-03-24,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,411.02777099609375,20.27381372925894,85.98437857627869,2022/06/18 00:29:01,2021-03-24,2021-04-11,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,75.68782043457031,8.699872847010013,93.312885761261,2022/06/18 00:30:37,2021-04-11,2021-04-25,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,133.09762573242188,11.536797131636169,87.91812300682068,2022/06/18 00:32:09,2021-04-25,2021-05-10,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,250.6178741455078,15.830915833840175,88.35974931716919,2022/06/18 00:33:41,2021-05-10,2021-05-24,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,254.56787109375,15.955183221898393,89.0794792175293,2022/06/18 00:35:14,2021-05-24,2021-06-07,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,90.83462524414062,9.530726207094569,90.76765871047974,2022/06/18 00:36:48,2021-06-07,2021-06-22,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
rmseBeyond8,68.74748229980469,8.291415674288167,90.55382776260376,2022/06/18 00:38:22,2021-06-22,2021-07-06,200,92,22,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10
