modelName,score,rmse,spendTime,executionTime,startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
rmseBeyond8,218.11,14.77,94.56,2022/06/20 09:50:50,2021-01-03,2021-01-17,200,63,254,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,229.49,15.15,89.8,2022/06/20 09:52:24,2021-01-03,2021-01-17,200,141,21,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,126.65,11.25,94.1,2022/06/20 09:54:02,2021-01-03,2021-01-17,200,88,158,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,96.87,9.84,89.03,2022/06/20 09:55:35,2021-01-03,2021-01-17,200,13,29,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,580.77,24.1,93.46,2022/06/20 09:57:13,2021-01-03,2021-01-17,200,49,77,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,973.33,31.2,92.94,2022/06/20 09:58:51,2021-01-03,2021-01-17,200,46,220,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,328.73,18.13,97.0,2022/06/20 10:00:32,2021-01-03,2021-01-17,200,70,247,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,232.62,15.25,96.77,2022/06/20 10:02:13,2021-01-03,2021-01-17,200,120,189,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,283.45,16.84,91.45,2022/06/20 10:03:49,2021-01-03,2021-01-17,200,71,159,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,815.93,28.56,89.8,2022/06/20 10:05:23,2021-01-03,2021-01-17,200,40,45,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,168.46,12.98,90.7,2022/06/20 10:06:58,2021-01-03,2021-01-17,200,21,167,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
rmseBeyond8,638.19,25.26,94.46,2022/06/20 10:08:37,2021-01-03,2021-01-17,200,52,159,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Triple
