modelName,score,rmse,spendTime,executionTime(s),startDate,endDate,random_seed,Dense1Units,Dense2Units,learning_rate,decay,momentum,nesterov,optimizer,loss,epochs,verbose,batch_size,machine,runProcess
rmseBeyond8,136.09063720703122,11.665814384859132,88.22039127349855,2022/06/19 19:30:30,2021-01-03,2021-01-17,200,50,51,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,286.8570861816406,16.93685806515505,88.46051335334778,2022/06/19 19:32:03,2021-01-03,2021-01-17,200,46,27,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,74.45243835449219,8.62859107661974,87.43625068664551,2022/06/19 19:33:35,2021-01-03,2021-01-17,200,12,86,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,701.2874755859375,26.481855727825337,87.92494511604309,2022/06/19 19:35:07,2021-01-03,2021-01-17,200,39,51,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,721.8485107421875,26.86725119803393,87.42328524589539,2022/06/19 19:36:38,2021-01-03,2021-01-17,200,16,97,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,92.59380340576172,9.6225861650849,88.87340807914734,2022/06/19 19:38:11,2021-01-03,2021-01-17,200,84,64,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,578.381103515625,24.049567800518407,89.98421597480774,2022/06/19 19:39:46,2021-01-03,2021-01-17,200,121,60,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,218.6703643798828,14.787512673884365,90.01435852050781,2022/06/19 19:41:20,2021-01-03,2021-01-17,200,74,41,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,210.52261352539062,14.509398366200962,92.52106857299805,2022/06/19 19:42:56,2021-01-03,2021-01-17,200,132,93,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,1100.1451416015623,33.1684255251736,88.21317529678345,2022/06/19 19:44:29,2021-01-03,2021-01-17,200,36,59,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,260.5478515625,16.141526094230567,87.41737627983093,2022/06/19 19:46:00,2021-01-03,2021-01-17,200,15,101,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,219.2335968017578,14.806541291228108,91.56697559356691,2022/06/19 19:47:35,2021-01-03,2021-01-17,200,61,115,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,367.5701904296875,19.17212114947501,88.5223479270935,2022/06/19 19:49:08,2021-01-03,2021-01-17,200,75,23,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,207.44384765625,14.402931252390713,86.33917140960693,2022/06/19 19:50:38,2021-01-03,2021-01-17,200,8,28,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,287.862060546875,16.96651703708164,89.22730922698975,2022/06/19 19:52:11,2021-01-03,2021-01-17,200,77,62,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,214.9573516845703,14.661430427926733,89.00306272506714,2022/06/19 19:53:44,2021-01-03,2021-01-17,200,132,14,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
rmseBeyond8,308.58453369140625,17.566595947839513,88.65546226501465,2022/06/19 19:55:17,2021-01-03,2021-01-17,200,69,41,1e-05,0,0.9,True,sgd,mean_squared_error,2000,0,10,Vivian,Double
