date,close,Score,Trading_Volume,Trading_money,open,max,min,close,月營收,EPS,毛利率,ROE,ROA,每股盈餘QoQ,毛利QoQ,營業利益QoQ,稅後淨利QoQ,應收款項週轉率,存貨週轉率,不動產及設備週轉率,總資產週轉率,流動比率,速動比率,利息保障倍數
2017-01-03,183.0,18,23550783.0,4300648272.0,181.5,183.5,181.0,183.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-04,183.5,80,24482374.0,4478699942.0,183.0,184.0,181.5,183.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-05,184.0,145,21373561.0,3913389163.0,182.0,183.5,181.5,183.5,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-08,184.0,38,23120808.0,4250912732.0,184.0,184.5,183.5,184.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-09,184.0,75,18583788.0,3419409204.0,184.0,185.0,183.0,184.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-10,182.0,100,20691305.0,3811496280.0,184.5,185.5,183.5,184.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-11,184.5,62,29747168.0,5438136536.0,185.0,185.0,181.5,182.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-12,181.5,69,48599502.0,8959263194.0,182.5,185.5,182.5,184.5,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-15,179.5,1,53089358.0,9622624651.0,180.5,182.5,180.5,181.5,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-16,181.0,16,30878049.0,5545432320.0,180.0,180.5,179.0,179.5,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-17,181.0,15,13207419.0,2386575839.0,180.5,181.0,179.5,181.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-18,180.5,34,23810637.0,4292682797.0,180.5,181.0,179.5,181.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-19,181.0,59,25935613.0,4673783621.0,179.5,181.0,179.5,180.5,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-22,185.0,54,42317086.0,7658563990.0,181.0,181.5,180.5,181.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-01-23,185.5,114,58299156.0,10699572592.0,182.5,185.0,182.5,185.0,76616258.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-02-01,184.5,-4,72014239.0,13356900945.0,185.0,186.5,184.5,185.5,71422961.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-02-02,184.5,134,153703780.0,28731441750.0,188.0,188.5,184.0,184.5,71422961.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-02-05,184.5,22,30387652.0,5604884683.0,186.0,186.0,183.5,184.5,71422961.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2017-02-06,184.5,38,29702832.0,5476151588.0,184.5,185.5,184.0,184.5,71422961.0,3.38,0.5193764727609758,0.061566964521853826,0.045861385921436286,0.35200000000000004,0.33011667990583243,0.353143529778927,0.3523290014135411,1.96,2.27,0.23,0.12,256.75,241.08,120.78
