PublishDate,Score
2016-12-30,244
2016-12-31,33
2017-01-01,0
2017-01-02,0
2017-01-03,171
2017-01-04,263
2017-01-05,301
2017-01-06,243
2017-01-07,15
2017-01-08,65
2017-01-09,287
2017-01-10,526
2017-01-11,239
2017-01-12,588
2017-01-13,113
2017-01-14,0
2017-01-15,0
2017-01-16,-5
2017-01-17,137
2017-01-18,115
2017-01-19,236
2017-01-20,215
2017-01-21,0
2017-01-22,0
2017-01-23,492
2017-01-24,446
2017-01-25,338
2017-01-26,314
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,20
2017-02-01,-10
2017-02-02,220
2017-02-03,256
2017-02-04,0
2017-02-05,17
2017-02-06,17
2017-02-07,181
2017-02-08,294
2017-02-09,470
2017-02-10,55
2017-02-11,97
2017-02-12,42
2017-02-13,483
2017-02-14,454
2017-02-15,479
2017-02-16,102
2017-02-17,173
2017-02-18,356
2017-02-19,0
2017-02-20,197
2017-02-21,226
2017-02-22,304
2017-02-23,742
2017-02-24,502
2017-02-25,128
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,104
2017-03-02,386
2017-03-03,202
2017-03-04,160
2017-03-05,0
2017-03-06,97
2017-03-07,226
2017-03-08,608
2017-03-09,-55
2017-03-10,-94
2017-03-11,226
2017-03-12,111
2017-03-13,286
2017-03-14,269
2017-03-15,338
2017-03-16,582
2017-03-17,679
2017-03-18,482
2017-03-19,0
2017-03-20,653
2017-03-21,814
2017-03-22,108
2017-03-23,99
2017-03-24,46
2017-03-25,0
2017-03-26,45
2017-03-27,203
2017-03-28,396
2017-03-29,519
2017-03-30,295
2017-03-31,206
2017-04-01,66
2017-04-02,0
2017-04-03,0
2017-04-04,20
2017-04-05,321
2017-04-06,102
2017-04-07,116
2017-04-08,21
2017-04-09,17
2017-04-10,179
2017-04-11,-26
2017-04-12,72
2017-04-13,139
2017-04-14,18
2017-04-15,-5
2017-04-16,78
2017-04-17,7
2017-04-18,168
2017-04-19,-117
2017-04-20,106
2017-04-21,265
2017-04-22,90
2017-04-23,87
2017-04-24,602
2017-04-25,491
2017-04-26,516
