PublishDate,Score,Anti-Score,FinalScore
2016-12-30,236.0,8.0,236.0
2016-12-31,33.0,0.0,33.0
2017-01-01,0.0,0.0,0.0
2017-01-02,0.0,0.0,0.0
2017-01-03,155.0,16.0,155.0
2017-01-04,263.0,0.0,263.0
2017-01-05,300.0,1.0,300.0
2017-01-06,243.0,0.0,243.0
2017-01-07,15.0,0.0,15.0
2017-01-08,65.0,0.0,65.0
2017-01-09,287.0,0.0,287.0
2017-01-10,506.0,20.0,506.0
2017-01-11,239.0,0.0,239.0
2017-01-12,588.0,0.0,588.0
2017-01-13,113.0,0.0,113.0
2017-01-14,0.0,0.0,0.0
2017-01-15,0.0,0.0,0.0
2017-01-16,-5.0,0.0,-5.0
2017-01-17,137.0,0.0,137.0
2017-01-18,109.0,6.0,109.0
2017-01-19,236.0,0.0,236.0
2017-01-20,215.0,0.0,215.0
2017-01-21,0.0,0.0,0.0
2017-01-22,0.0,0.0,0.0
2017-01-23,496.0,-4.0,496.0
2017-01-24,446.0,0.0,446.0
2017-01-25,338.0,0.0,338.0
2017-01-26,314.0,0.0,314.0
2017-01-27,0.0,0.0,0.0
2017-01-28,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0
2017-01-30,0.0,0.0,0.0
2017-01-31,20.0,0.0,20.0
2017-02-01,-10.0,0.0,-10.0
2017-02-02,218.0,2.0,218.0
2017-02-03,256.0,0.0,256.0
2017-02-04,0.0,0.0,0.0
2017-02-05,17.0,0.0,17.0
2017-02-06,1.0,16.0,1.0
2017-02-07,175.0,6.0,175.0
2017-02-08,287.0,7.0,287.0
2017-02-09,468.0,2.0,468.0
2017-02-10,55.0,0.0,55.0
2017-02-11,97.0,0.0,97.0
2017-02-12,42.0,0.0,42.0
2017-02-13,485.0,-2.0,485.0
2017-02-14,454.0,0.0,454.0
2017-02-15,479.0,0.0,479.0
2017-02-16,72.0,30.0,72.0
2017-02-17,173.0,0.0,173.0
2017-02-18,356.0,0.0,356.0
2017-02-19,0.0,0.0,0.0
2017-02-20,195.0,2.0,195.0
2017-02-21,226.0,0.0,226.0
2017-02-22,318.0,-14.0,318.0
2017-02-23,734.0,8.0,734.0
2017-02-24,502.0,0.0,502.0
2017-02-25,128.0,0.0,128.0
2017-02-26,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0
2017-02-28,4.0,-4.0,4.0
2017-03-01,104.0,0.0,104.0
2017-03-02,362.0,24.0,362.0
2017-03-03,202.0,0.0,202.0
2017-03-04,160.0,0.0,160.0
2017-03-05,0.0,0.0,0.0
2017-03-06,97.0,0.0,97.0
2017-03-07,226.0,0.0,226.0
2017-03-08,608.0,0.0,608.0
2017-03-09,-55.0,0.0,-55.0
2017-03-10,-94.0,0.0,-94.0
2017-03-11,223.0,3.0,223.0
2017-03-12,113.0,-2.0,113.0
2017-03-13,286.0,0.0,286.0
2017-03-14,250.0,19.0,250.0
2017-03-15,306.0,32.0,306.0
2017-03-16,574.0,8.0,574.0
2017-03-17,679.0,0.0,679.0
2017-03-18,482.0,0.0,482.0
2017-03-19,0.0,0.0,0.0
2017-03-20,647.0,6.0,647.0
2017-03-21,814.0,0.0,814.0
2017-03-22,108.0,0.0,108.0
2017-03-23,83.0,16.0,83.0
2017-03-24,46.0,0.0,46.0
2017-03-25,0.0,0.0,0.0
2017-03-26,45.0,0.0,45.0
2017-03-27,203.0,0.0,203.0
2017-03-28,396.0,0.0,396.0
2017-03-29,519.0,0.0,519.0
2017-03-30,299.0,-4.0,299.0
2017-03-31,206.0,0.0,206.0
2017-04-01,66.0,0.0,66.0
2017-04-02,0.0,0.0,0.0
2017-04-03,-10.0,10.0,-10.0
2017-04-04,20.0,0.0,20.0
2017-04-05,321.0,0.0,321.0
2017-04-06,94.0,8.0,94.0
2017-04-07,116.0,0.0,116.0
2017-04-08,21.0,0.0,21.0
2017-04-09,17.0,0.0,17.0
2017-04-10,179.0,0.0,179.0
2017-04-11,-34.0,8.0,-34.0
2017-04-12,72.0,0.0,72.0
2017-04-13,139.0,0.0,139.0
2017-04-14,18.0,0.0,18.0
2017-04-15,-13.0,8.0,-13.0
2017-04-16,78.0,0.0,78.0
2017-04-17,-35.0,42.0,-35.0
2017-04-18,168.0,0.0,168.0
2017-04-19,-117.0,0.0,-117.0
2017-04-20,106.0,0.0,106.0
2017-04-21,265.0,0.0,265.0
2017-04-22,90.0,0.0,90.0
2017-04-23,87.0,0.0,87.0
2017-04-24,588.0,14.0,588.0
2017-04-25,457.0,34.0,457.0
2017-04-26,516.0,0.0,516.0
2017-04-27,0.0,0.0,0.0
2017-04-28,0.0,0.0,0.0
2017-04-29,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0
2017-05-02,0.0,0.0,0.0
2017-05-03,0.0,0.0,0.0
2017-05-04,0.0,0.0,0.0
2017-05-05,0.0,0.0,0.0
2017-05-06,0.0,0.0,0.0
2017-05-07,0.0,0.0,0.0
2017-05-08,190.0,4.0,190.0
2017-05-09,425.0,0.0,425.0
2017-05-10,196.0,0.0,196.0
2017-05-11,632.0,6.0,632.0
2017-05-12,189.0,0.0,189.0
