PublishDate,Score
2017-01-04,2
2017-01-05,0
2017-01-09,0
2017-01-11,2
2017-01-24,-1
2017-02-02,0
2017-02-03,2
2017-02-07,9
2017-02-08,3
2017-02-14,-1
2017-02-17,14
2017-02-23,-5
2017-02-24,6
2017-03-01,-2
2017-03-03,8
2017-03-07,0
2017-03-12,-1
2017-03-15,7
2017-03-16,8
2017-03-22,0
2017-03-24,2
2017-03-29,0
2017-03-31,-2
2017-04-04,1
2017-04-07,3
2017-04-12,3
2017-04-17,0
2017-04-18,7
2017-04-25,7
2017-04-26,12
2017-05-09,1
2017-05-16,0
2017-05-18,0
2017-05-19,4
2017-05-25,0
2017-05-29,2
2017-05-31,6
2017-06-01,0
2017-06-08,-2
2017-06-09,1
2017-06-12,1
2017-06-13,3
2017-06-19,0
2017-06-23,0
2017-06-27,5
2017-06-28,0
2017-06-29,3
2017-07-03,0
2017-07-06,2
2017-07-12,1
2017-07-17,12
2017-07-19,5
2017-07-21,4
2017-07-25,2
2017-07-26,0
2017-07-28,1
2017-07-31,16
2017-08-01,-2
2017-08-04,2
2017-08-07,1
2017-08-08,1
2017-08-14,0
2017-08-15,5
2017-08-16,0
2017-08-17,2
2017-08-21,0
2017-08-22,0
2017-08-24,-3
2017-08-25,3
2017-08-26,3
2017-08-28,3
2017-08-31,2
2017-09-01,0
2017-09-02,8
2017-09-04,0
2017-09-07,0
2017-09-13,1
2017-09-14,2
2017-09-18,3
2017-09-19,6
2017-09-23,1
2017-09-27,0
2017-10-12,0
2017-10-13,3
2017-10-18,0
2017-10-24,4
2017-10-26,0
2017-10-30,2
2017-10-31,24
2017-11-01,6
2017-11-02,0
2017-11-05,-1
2017-11-07,2
2017-11-09,7
2017-11-10,3
2017-11-13,2
2017-11-16,1
2017-11-22,1
2017-11-24,1
2017-11-28,1
2017-11-29,0
2017-12-04,4
2017-12-05,3
2017-12-22,1
2017-12-26,0
2017-12-28,0
2017-12-29,-2
2018-01-03,2
2018-01-04,12
2018-01-08,2
2018-01-10,-4
2018-01-11,1
2018-01-15,0
2018-01-22,2
2018-01-29,4
2018-02-06,0
2018-02-21,2
2018-03-01,2
2018-03-05,0
2018-03-11,0
2018-03-28,0
2018-04-04,4
2018-04-23,0
2018-04-27,22
2018-05-04,0
2018-05-08,2
2018-05-10,1
2018-05-17,1
2018-05-18,2
2018-05-21,-1
2018-05-24,1
2018-05-25,1
2018-06-01,4
2018-06-12,2
2018-06-14,2
2018-06-15,-1
2018-06-19,0
2018-06-22,0
2018-07-05,1
2018-07-30,4
2018-08-01,-2
2018-08-03,2
2018-08-08,4
2018-08-14,4
2018-08-15,1
2018-08-16,0
2018-08-23,2
2018-08-28,4
2018-09-04,2
2018-09-05,6
2018-09-06,2
2018-09-11,1
2018-09-13,2
2018-09-17,7
2018-09-18,-3
2018-09-20,-1
2018-09-25,0
2018-09-26,1
2018-09-28,-4
2018-10-01,-2
2018-10-07,1
2018-10-26,24
2018-10-28,2
2018-10-31,-4
2018-11-01,6
2018-11-12,1
2018-11-20,0
2018-11-21,0
2018-11-28,-2
2018-11-29,4
2018-12-12,0
2018-12-13,1
2018-12-15,2
2018-12-17,0
2018-12-27,2
2019-01-02,2
2019-01-03,2
2019-01-04,0
2019-01-07,-1
2019-01-08,-3
2019-01-11,1
2019-01-14,-2
2019-01-19,14
2019-01-22,-1
2019-01-23,1
2019-02-10,0
2019-02-19,2
2019-02-21,3
2019-02-27,-4
2019-03-05,1
2019-03-06,1
2019-03-12,1
2019-03-13,2
2019-03-18,0
2019-03-19,0
2019-03-26,-3
2019-03-31,8
2019-04-02,6
2019-04-10,0
2019-04-18,0
2019-04-24,1
2019-04-26,-3
2019-05-17,-1
2019-05-20,0
2019-05-21,-1
2019-05-22,0
2019-05-25,1
2019-05-28,2
2019-05-30,0
2019-05-31,2
2019-07-01,2
2019-07-03,4
2019-07-15,6
2019-07-17,0
2019-07-22,3
2019-07-23,4
2019-07-24,2
2019-07-26,0
2019-07-30,-16
2019-08-08,9
2019-08-13,11
2019-08-18,0
2019-08-19,2
2019-08-20,6
2019-08-22,4
2019-08-27,4
2019-08-30,4
2019-09-18,2
2019-10-01,0
2019-10-21,0
2019-10-23,2
2019-10-29,0
2019-11-06,7
2019-11-07,-3
2019-11-19,-2
2019-11-20,7
2019-11-26,3
2019-11-28,5
2019-12-06,6
2019-12-10,2
2019-12-16,0
2019-12-19,1
2019-12-26,5
2019-12-29,0
2020-01-02,0
2020-01-17,0
2020-02-12,-1
2020-02-13,6
2020-02-26,2
2020-03-05,1
2020-03-06,3
2020-03-10,2
2020-03-25,0
2020-04-08,1
2020-04-13,3
2020-04-14,1
2020-05-08,3
2020-05-10,3
2020-05-12,0
2020-06-07,1
2020-06-09,0
2020-06-11,0
2020-08-06,1
2020-08-30,2
2020-09-04,2
2020-09-06,0
2020-09-15,7
2020-09-23,1
2020-10-10,-1
2020-10-25,1
2020-10-26,1
2020-10-28,3
2020-10-31,2
2020-11-02,2
2020-11-03,4
2020-11-20,0
2020-11-21,0
2020-11-27,8
2020-12-02,-2
2020-12-09,2
2020-12-27,2
2021-01-14,0
2021-01-22,4
2021-01-23,-2
2021-01-24,0
2021-02-02,0
2021-02-04,0
2021-02-11,1
2021-02-18,1
2021-02-25,0
2021-03-24,3
2021-03-26,1
2021-04-08,0
2021-04-19,2
2021-04-20,3
2021-04-21,3
2021-05-03,0
2021-05-05,2
2021-05-06,0
2021-05-13,1
2021-05-31,18
2021-06-03,8
2021-06-22,-1
2021-06-28,0
2021-07-02,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-20,0
2021-07-22,1
2021-07-26,3
2021-07-27,1
2021-08-03,8
2021-08-04,0
2021-08-05,3
2021-08-16,0
2021-08-20,3
2021-08-26,0
2021-08-31,2
2021-09-01,6
2021-09-10,6
2021-10-18,1
2021-10-23,2
2021-10-24,2
2021-10-26,0
2021-10-27,1
2021-10-28,0
2021-11-02,4
2021-11-17,0
2021-11-21,0
2021-11-23,-1
2021-11-24,3
2021-12-04,0
2021-12-06,2
2021-12-07,1
2021-12-11,0
2021-12-13,0
2021-12-14,7
2021-12-15,0
2021-12-21,-1
2021-12-27,-1
2021-12-31,1
