PublishDate,Score
2016-12-30,1165
2016-12-31,110
2017-01-01,0
2017-01-02,0
2017-01-03,316
2017-01-04,773
2017-01-05,1691
2017-01-06,546
2017-01-07,252
2017-01-08,92
2017-01-09,942
2017-01-10,557
2017-01-11,1110
2017-01-12,1283
2017-01-13,641
2017-01-14,25
2017-01-15,0
2017-01-16,-7
2017-01-17,114
2017-01-18,264
2017-01-19,392
2017-01-20,365
2017-01-21,0
2017-01-22,0
2017-01-23,1303
2017-01-24,2197
2017-01-25,1224
2017-01-26,370
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,2028
2017-02-03,632
2017-02-04,0
2017-02-05,60
2017-02-06,232
2017-02-07,1361
2017-02-08,714
2017-02-09,1736
2017-02-10,424
2017-02-11,113
2017-02-12,5
2017-02-13,1253
2017-02-14,1011
2017-02-15,834
2017-02-16,1136
2017-02-17,437
2017-02-18,2456
2017-02-19,0
2017-02-20,329
2017-02-21,614
2017-02-22,1311
2017-02-23,1066
2017-02-24,1190
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,358
2017-03-02,2256
2017-03-03,-188
2017-03-04,0
2017-03-05,0
2017-03-06,218
2017-03-07,670
2017-03-08,2280
2017-03-09,-312
2017-03-10,-420
2017-03-11,205
2017-03-12,-2
2017-03-13,345
2017-03-14,890
2017-03-15,724
2017-03-16,1243
2017-03-17,1389
2017-03-18,466
2017-03-19,0
2017-03-20,2350
2017-03-21,1955
2017-03-22,909
2017-03-23,274
2017-03-24,576
2017-03-25,0
2017-03-26,154
2017-03-27,506
2017-03-28,901
2017-03-29,1124
2017-03-30,567
2017-03-31,590
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,2
2017-04-05,982
2017-04-06,120
2017-04-07,779
2017-04-08,57
2017-04-09,35
2017-04-10,475
2017-04-11,-271
2017-04-12,12
2017-04-13,63
2017-04-14,95
2017-04-15,10
2017-04-16,193
2017-04-17,77
2017-04-18,502
2017-04-19,-288
2017-04-20,-359
2017-04-21,981
2017-04-22,382
2017-04-23,20
2017-04-24,623
2017-04-25,696
2017-04-26,2738
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,396
2017-05-09,1170
2017-05-10,617
2017-05-11,1797
2017-05-12,620
2017-05-13,123
2017-05-14,13
2017-05-15,842
2017-05-16,1016
2017-05-17,765
2017-05-18,-138
2017-05-19,26
2017-05-20,43
2017-05-21,15
2017-05-22,998
2017-05-23,559
2017-05-24,1072
2017-05-25,841
2017-05-26,685
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
