year,quarter,ROE,ROA,margin,revenue,value,毛利率,EPS,毛利QoQ,營業利益QoQ,稅後淨利QoQ,營收QoQ,每股盈餘QoQ,應收款項週轉率,存貨週轉率,不動產及設備週轉率,總資產週轉率,流動比率,速動比率,利息保障倍數
2021,4,0.07831085883605304,0.047145896289083965,230754823000.0,438189306000.0,0.5266098917530406,0.5266098917530406,6.420000000000002,0.1819256636796457,0.1632621664484664,0.16488058451362317,0.17145771315671932,0.16727272727272796,2.27,1.11,0.23,0.12,217.32,191.21,86.03
2021,3,0.07685067618977355,0.04870850092835199,212746195000.0,414670379000.0,0.5130489318119344,0.5130489318119344,6.02,0.11681605654399875,0.139663907024442,0.13903959880781916,0.17367096922251377,0.13584905660377336,2.26,1.14,0.23,0.13,209.06,181.26,131.32
2021,2,0.06835213495605116,0.044738160143187565,186196818000.0,372145122000.0,0.5003338939372152,0.5003338939372152,5.180000000000001,0.13104440657668975,0.11116151154977945,0.11240730753601501,0.16305676629104404,0.11158798283261812,2.14,1.14,0.22,0.12,191.6,165.29,132.69
2021,1,0.07370927850996153,0.04920514609180035,189839430000.0,362410230000.0,0.5238246999815651,0.5238246999815651,5.39,0.18076597359609278,0.17130619803730013,0.19370660863472766,0.16730554014913948,0.19512195121951217,2.31,1.18,0.23,0.13,172.26,148.9,201.84
2020,4,0.07849898613020768,0.05293440229758242,195236325000.0,361533057000.0,0.5400234396823083,0.5400234396823083,5.499999999999998,0.22634461302882514,0.26461258139063154,0.23041648976723397,0.17608246265384145,0.22767857142857093,2.34,1.35,0.24,0.13,176.97,154.72,210.62
2020,3,0.07828975261987813,0.05404081600971305,190493496000.0,356426204000.0,0.5344542400704074,0.5344542400704074,5.300000000000001,0.3664024831529733,0.3907787119172479,0.3588013501630732,0.2636964738929588,0.35897435897435936,2.26,1.7,0.24,0.14,175.04,156.43,416.7
2020,2,0.07115003410294292,0.05045639300004723,164623791000.0,310698367000.0,0.5298508408317447,0.5298508408317447,4.66,0.5870403526229523,0.7180547146034301,0.8104226631271236,0.29162199689282786,0.8132295719844357,2.08,1.78,0.21,0.13,139.89,125.94,334.37
2020,1,0.07096604706326286,0.050807436690216375,160776508000.0,310597183000.0,0.5176367230606853,0.5176367230606853,4.51,0.7793365971592171,0.999838032610171,0.9069559001689437,0.3128191660736072,0.9029535864978901,2.17,1.86,0.22,0.13,136.13,122.86,250.07
2019,4,0.07233204628943998,0.05277433606812079,159201845000.0,317237065000.0,0.5018387274513462,0.5018387274513462,4.48,0.15264144419086303,0.1598203082914278,0.16071943525841134,0.07200840706526249,0.16363636363636386,2.22,1.76,0.25,0.14,139.25,125.21,201.1
2019,3,0.06435714554594586,0.04623329054741263,139412434000.0,293045439000.0,0.47573657681121595,0.47573657681121595,3.8999999999999995,0.130065907606789,0.1327322901512466,0.13473223079395028,0.17331583852509067,0.13372093023255816,2.23,1.5,0.25,0.13,171.68,152.14,134.19
2019,2,0.04049550242623656,0.030169036690985154,103730060000.0,240998475000.0,0.43041791032080184,0.43041791032080184,2.5700000000000003,-0.0699435907171727,-0.09622493664612747,-0.07632129500109795,-0.11887258360457567,-0.07885304659498199,2.15,1.27,0.21,0.11,162.34,144.95,94.14
2019,1,0.035888371129664115,0.028701989351477327,90357557000.0,218704469000.0,0.41314911127856285,0.41314911127856285,2.37,-0.27631476862602583,-0.33627956209627846,-0.31630506020799715,-0.02332696481571082,-0.315028901734104,1.85,1.21,0.2,0.1,262.07,233.34,76.84
2018,4,0.06147885136407972,0.0492635322886221,138119140000.0,289770193000.0,0.47665061257698094,0.47665061257698094,3.8499999999999996,-0.00453213136878895,-0.016270242125627825,0.007042118074163853,0.06736419520117898,0.005221932114882395,2.24,1.45,0.27,0.14,279.46,249.15,127.82
2018,3,0.05811125428797696,0.044291021510958796,123366640000.0,260347882000.0,0.47385305788660115,0.47385305788660115,3.4399999999999995,-0.01996746937412244,-0.02866973551852534,-0.009462627072241242,-0.04784276417693767,-0.005780346820809382,2.36,1.34,0.25,0.13,267.15,234.4,134.81
2018,2,0.04668244480302215,0.03524298030290661,111530934000.0,233276811000.0,0.47810553274410117,0.47810553274410117,2.79,0.02596187052412589,0.014086113163997613,0.09088069632995312,0.23657850721708135,0.0898437499999998,2.34,1.32,0.22,0.11,207.14,185.75,140.41
2018,1,0.0573838995521197,0.04443810259825483,124857539000.0,248078671000.0,0.5032981614126755,0.5032981614126755,3.46,0.0277217309302005,0.015464279395618716,0.024727728226692194,0.035937211593722804,0.023668639053254458,2.15,1.55,0.23,0.12,271.48,246.58,124.7
2017,4,0.06723105414284951,0.051812496825096685,138747964000.0,277570284000.0,0.4998660591491847,0.4998660591491847,3.83,0.011950076834576629,-0.009210867907358436,-0.009200869291867392,0.008889052842052183,-0.007772020725388893,2.3,1.88,0.26,0.14,238.97,218.37,135.46
2017,3,0.0648568250010709,0.04699715833958622,125880148000.0,252107345000.0,0.499311703909301,0.499311703909301,3.46,-0.04672930049664451,-0.0772212039959074,-0.07066791695880094,-0.017367216008420356,-0.07486631016042765,2.19,1.87,0.24,0.13,236.12,211.36,120.21
2017,2,0.04735857942410312,0.03380209309141649,108708654000.0,213855212000.0,0.5083282889546784,0.5083282889546784,2.5600000000000005,-0.04920295264840883,-0.08832141469846569,-0.08627844319868667,0.00953214850378908,-0.08243727598566292,1.94,1.89,0.2,0.11,160.08,148.43,103.53
2017,1,0.06156696452185382,0.045861385921436286,121489636000.0,233914400000.0,0.5193764727609758,0.5193764727609758,3.38,0.33011667990583243,0.353143529778927,0.3523290014135411,,0.352,1.96,2.27,0.23,0.12,256.75,241.08,120.78
2016,4,0.07496660770288635,0.05560293890942686,,,,,,,,,,,,,,,,,
2016,3,0.07801724274004747,0.05494420328834431,,,,,,,,,,,,,,,,,
2016,2,0.058531211337277705,0.04108067164451158,,,,,,,,,,,,,,,,,
2016,1,,,,,,,,,,,,,,,,,,,
