PublishDate,Score
2017-01-03,24
2017-01-04,93
2017-01-05,162
2017-01-06,73
2017-01-07,17
2017-01-08,16
2017-01-09,83
2017-01-10,119
2017-01-11,102
2017-01-12,124
2017-01-13,61
2017-01-14,12
2017-01-16,5
2017-01-17,21
2017-01-18,37
2017-01-19,68
2017-01-20,56
2017-01-23,129
2017-01-24,152
2017-01-25,112
2017-01-26,64
2017-01-31,4
2017-02-01,-2
2017-02-02,210
2017-02-03,86
2017-02-05,21
2017-02-06,14
2017-02-07,111
2017-02-08,83
2017-02-09,184
2017-02-10,43
2017-02-11,25
2017-02-12,8
2017-02-13,124
2017-02-14,126
2017-02-15,105
2017-02-16,76
2017-02-17,39
2017-02-18,143
2017-02-20,45
2017-02-21,77
2017-02-22,113
2017-02-23,174
2017-02-24,132
2017-02-25,28
2017-03-01,52
2017-03-02,204
2017-03-03,44
2017-03-04,32
2017-03-06,24
2017-03-07,63
2017-03-08,194
2017-03-09,-28
2017-03-10,-35
2017-03-11,36
2017-03-12,18
2017-03-13,47
2017-03-14,88
2017-03-15,89
2017-03-16,136
2017-03-17,195
2017-03-18,77
2017-03-20,205
2017-03-21,200
2017-03-22,63
2017-03-23,33
2017-03-24,53
2017-03-26,17
2017-03-27,68
2017-03-28,104
2017-03-29,121
2017-03-30,98
2017-03-31,54
2017-04-01,10
2017-04-04,6
2017-04-05,113
2017-04-06,34
2017-04-07,56
2017-04-08,9
2017-04-09,7
2017-04-10,68
2017-04-11,-9
2017-04-12,9
2017-04-13,26
2017-04-14,9
2017-04-15,0
2017-04-16,25
2017-04-17,7
2017-04-18,49
2017-04-19,-28
2017-04-20,21
2017-04-21,71
2017-04-22,37
2017-04-23,14
2017-04-24,106
2017-04-25,91
2017-04-26,252
2017-05-08,33
2017-05-09,126
2017-05-10,48
2017-05-11,162
2017-05-12,76
2017-05-13,7
2017-05-14,0
2017-05-15,57
2017-05-16,85
2017-05-17,66
2017-05-18,-9
2017-05-19,23
2017-05-20,13
2017-05-21,4
2017-05-22,80
2017-05-23,63
2017-05-24,91
2017-05-25,109
2017-05-26,59
2017-05-29,5
2017-05-30,11
2017-05-31,90
2017-06-01,126
2017-06-02,472
2017-06-03,304
2017-06-04,14
2017-06-05,109
2017-06-06,40
2017-06-07,94
2017-06-08,85
2017-06-09,98
2017-06-10,13
2017-06-11,9
2017-06-12,54
2017-06-13,26
2017-06-14,30
2017-06-15,43
2017-06-16,54
2017-06-17,11
2017-06-18,27
2017-06-19,57
2017-06-20,220
2017-06-21,64
2017-06-22,80
2017-06-23,111
2017-06-24,43
2017-06-25,31
2017-06-26,278
2017-06-27,102
2017-06-28,42
2017-06-29,133
2017-06-30,16
2017-07-03,226
2017-07-04,78
2017-07-05,30
2017-07-06,20
2017-07-07,13
2017-07-09,20
2017-07-10,66
2017-07-11,161
2017-07-12,131
2017-07-13,113
2017-07-14,139
2017-07-15,14
2017-07-17,122
2017-07-18,80
2017-07-19,71
2017-07-20,31
2017-07-21,2
2017-07-24,58
2017-07-25,61
2017-07-26,60
2017-07-27,77
2017-07-28,-7
2017-07-29,22
2017-07-31,108
2017-08-01,146
2017-08-02,266
2017-08-03,116
2017-08-04,276
2017-08-06,16
2017-08-07,126
2017-08-08,55
2017-08-09,43
2017-08-10,17
2017-08-11,27
2017-08-14,11
2017-08-15,42
2017-08-16,16
2017-08-17,37
2017-08-18,7
2017-08-21,25
2017-08-22,123
2017-08-23,115
2017-08-24,33
2017-08-25,131
2017-08-26,36
