PublishDate,Sentence,Score
2017-06-01T07:09:00.000Z,　盤面上，電子權值股漲跌互見，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 走揚，大立光 (3008) 由紅翻黑；非揮發性記憶體大廠旺宏 (2337) 一度亮燈漲，帶動華邦電 (2344) 、晶豪科 (3006) 聯袂飆高，並同步改寫波段新猷。,0
2017-06-01T02:41:00.000Z,  盤面上權值股表現大多疲弱，台積電 (2330) 小幅上漲約1%、鴻海 (2317) 上漲約0.5%、大立光 (3008) 則由紅翻黑下跌約0.5%。,-4
2017-06-01T02:40:00.000Z,截至10時27分，加權股價指數上漲29.58點、為10070.30點，成交值新台幣372.70億元，台積電、鴻海 (2317) 表現一枝獨秀，股王大立光 (3008) 則仍限於震盪整理泥沼中，中小型股也各擁題材，櫃買指數力守在紅盤之上。,4
2017-06-01T00:57:00.000Z,※弱勢股：1.權值股壓抑指數，台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、國泰金 (2882) 等下跌。,-5
2017-06-02T07:13:00.000Z,美國就業數據報喜，帶動美股三大指數齊登新高，日韓等亞股今日同步走揚，日經指數更一舉突破20000點大關，台股在國際股市助威下開高走高，由股王大立光 (3008) 領軍衝高，指數守穩萬點之上，尾盤大單敲進台積電 (2330) 、鴻海 (2317) 等權值股，推升加權指數收在今日最高點10152.53點、上漲65.11點，再度刷新17年新高紀錄，成交值略增至862.87億元。,13
2017-06-02T07:13:00.000Z,　盤面上各類股漲多跌少，大型電子股扮領攻要角，股王大立光 (3008) 收在今日最高4845元，台積電 (2330) 、鴻海 (2317) 雙雙收高近1%，聯發科 (2454) 因蔡力行接掌共同執行長獲市場力挺走高，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚；記憶體族群旺宏 (2337) 獲美系外資喊上22元，股價爆量攻頂，帶動群聯 (8299) 、華邦電 (2344) 同步衝高；中小型強勢股佳世達 (2352) 在外資持續加碼下續寫近9年新高，毅嘉 (2402) 受到5月營收寫20個月新高激勵亮燈漲停。,12
2017-06-02T07:13:00.000Z,"台股今日由股王大立光掌帥印，帶動中小型股及轉機股活蹦亂跳，最後一盤在台積電、鴻海等權值股臨門一腳踢上10152點，創下17年新高並收復10,100大關。",4
2017-06-02T06:21:00.000Z,  電子股今日位居盤面主流位置，權值股表現穩健，股王大立光 (3008) 持穩走高，收漲2.7%、報在4845元，台積電 (2330) 也呈現尾盤拉高，報在209.5元，面板雙虎友達 (2409) 、群創 (3481) 也聯袂走揚，聯發科 (2454) 則在新任共同執行長蔡力行就任消息帶動下，股價最高衝上248元。,8
2017-06-02T06:14:00.000Z,（中央社記者鍾榮峰台北2017年6月2日電）台股在台積電創209元波段新高、鴻海和大立光收今天最高帶動，指數終場收在10152點今天最高，續創17年來波段高點。,3
2017-06-02T06:14:00.000Z,美股三大指數收盤創高，台股受激勵開高走堅，加上台積電續創波段高點，尾盤在台積電收在209元還原權值新高，鴻海、大立光也收今天最高，帶動台股收在今天最高點。,5
2017-06-02T06:14:00.000Z,主要電子權值股台積電 (2330) 收在209元，漲0.97%；股王大立光 (3008) 收在4845元，漲130元或2.7%，收今天最高；鴻海 (2317) 終場收在105.5元，漲0.9%，也收今天最高。,2
2017-06-02T02:44:00.000Z,股王大立光 (3008) 盤中來到4830元，漲2.4%，鴻海 (2317) 盤中小漲0.5元，為105元，聯發科 (2454) 盤中來到236元，漲3.5%。,1
2017-06-02T02:26:00.000Z,  今日盤面漲多跌少，僅塑膠、鋼鐵等呈現弱勢表現，金融因外資賣超下持續弱勢，電子大型股維持撐盤，電子股方面，今整體表現穩健，股大立光 (3008) 一度站上4800元，漲幅約1.5%，鴻海 (2317) 盤上小漲震盪，股價積極挑戰5月份新高105元，台積電 (2330) 也持穩於盤上小漲震盪，聯發科 (2454) 也在迎來新任共同執行長蔡力行的話題發酵下，股價大漲逾3%，面板雙虎友達 (2409) 、群創 (3481) 亦同步小漲震盪。,2
2017-06-03T07:08:00.000Z,  電子股表現方面，IC設計族群以低價股較為強勢，聯傑 (3094) 、揚智 (3041) 雙雙勁揚；光通訊族群聯亞 (3081) 除息首日一度強勢填息，表現相對搶眼；近期積極表態的DRAM、PCB族群普遍休兵，大型權值股鴻海 (2317) 、台積電 (2330) 、大立光 (3008) 平盤附近整理，資金轉向中小型股及低價股，包括泰谷 (3339) 、勁永 (6145) 、安可 (3615) 、長天 (3431) 等一度強攻漲停，營運看俏及買盤力挺的健策 (3653) 、乙盛-KY (5243) 、義隆電 (2458) 、榮創 (3437) 及松上 (6156) 等攜手衝高。,8
2017-06-03T06:37:00.000Z,內資力挺中小型股，台股奮力收紅再創逾17年新高！今天補上班，台股是全球唯一交易市場，不過，儘管外資放假，致使權值股如：台積電 (2330) 、大立光 (3008) 等今天多處於休息狀態，但美國股市連兩日創下歷史新高，激勵以內資買盤為主的中小型股及低價股，包括皇普 (2528) 、高野 (2736) 、森田 (8410) 、豪展 (4735) 、柏文 (8462) 、安心 (1259) 、前鼎 (4908) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等以漲停板作收，營運看俏及買盤力挺的毅嘉 (2402) 、乙盛-KY (5243) 、義隆電 (2458) 、直得 (1597) 及松上 (6156) 等亦強勢收高，讓今天櫃買指數表現優於加權指數。,15
2017-06-03T06:06:00.000Z,蘋概股三雄今天沿平盤整理，鴻海 (2317) 跌0.47%、收105元；台積電 (2330) 收平盤209元；大立光 (3008) 漲0.21%、收4855元。,0
2017-06-03T04:00:00.000Z,全球獨步開市很冷清，台股創高後拉回！　美國股市及歐股等連兩天衝高，台股延續本週以來屢創17年來新高氣勢，今天以紅盤開出，再創17年來新高，不過由於台股今天是補上班日，也是全球唯一開盤的股市，在外資放假，成交量明顯萎縮下，資金轉向中小型股及低價股，盤中包括：皇普 (2528) 、森寶 (3489) 、泰谷 (3339) 、勁永 (6145) 、安可 (3615) 、寒舍 (2739) 、長天 (3431) 、新天地 (8940) 等強攻漲停板，營運看俏及買盤力挺的健策 (3653) 、乙盛-KY (5243) 、義隆電 (2458) 、榮創 (3437) 及松上 (6156) 等盤中亦續強，不過由於大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 等權值股休息，台股指數上攻無力，盤中指數由紅翻黑，在平盤附近震盪；截至11點40分為止，加權股價指數為10151.25點，小跌1.28點，成交量為295.62億元；OTC指數為137.11點，上漲0.83點，成交量為178.3億元。,7
2017-06-03T02:43:00.000Z,電子股近期積極表態的DRAM、PCB族群今天稍作休息，權值股鴻海 (2317) 、台積電 (2330) 、大立光 (3008) 都壓在平盤下狹幅整理。,2
2017-06-01T07:09:00.000Z,　盤面上，電子權值股漲跌互見，蘋概股三劍客台積電 (2330) 、鴻海 (2317) 走揚，大立光 (3008) 由紅翻黑；非揮發性記憶體大廠旺宏 (2337) 一度亮燈漲，帶動華邦電 (2344) 、晶豪科 (3006) 聯袂飆高，並同步改寫波段新猷。,0
2017-06-01T02:41:00.000Z,  盤面上權值股表現大多疲弱，台積電 (2330) 小幅上漲約1%、鴻海 (2317) 上漲約0.5%、大立光 (3008) 則由紅翻黑下跌約0.5%。,-4
2017-06-01T02:40:00.000Z,截至10時27分，加權股價指數上漲29.58點、為10070.30點，成交值新台幣372.70億元，台積電、鴻海 (2317) 表現一枝獨秀，股王大立光 (3008) 則仍限於震盪整理泥沼中，中小型股也各擁題材，櫃買指數力守在紅盤之上。,4
2017-06-01T00:57:00.000Z,※弱勢股：1.權值股壓抑指數，台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、國泰金 (2882) 等下跌。,-5
2017-06-02T07:13:00.000Z,美國就業數據報喜，帶動美股三大指數齊登新高，日韓等亞股今日同步走揚，日經指數更一舉突破20000點大關，台股在國際股市助威下開高走高，由股王大立光 (3008) 領軍衝高，指數守穩萬點之上，尾盤大單敲進台積電 (2330) 、鴻海 (2317) 等權值股，推升加權指數收在今日最高點10152.53點、上漲65.11點，再度刷新17年新高紀錄，成交值略增至862.87億元。,13
2017-06-02T07:13:00.000Z,　盤面上各類股漲多跌少，大型電子股扮領攻要角，股王大立光 (3008) 收在今日最高4845元，台積電 (2330) 、鴻海 (2317) 雙雙收高近1%，聯發科 (2454) 因蔡力行接掌共同執行長獲市場力挺走高，面板雙虎友達 (2409) 、群創 (3481) 聯袂走揚；記憶體族群旺宏 (2337) 獲美系外資喊上22元，股價爆量攻頂，帶動群聯 (8299) 、華邦電 (2344) 同步衝高；中小型強勢股佳世達 (2352) 在外資持續加碼下續寫近9年新高，毅嘉 (2402) 受到5月營收寫20個月新高激勵亮燈漲停。,12
2017-06-02T07:13:00.000Z,"台股今日由股王大立光掌帥印，帶動中小型股及轉機股活蹦亂跳，最後一盤在台積電、鴻海等權值股臨門一腳踢上10152點，創下17年新高並收復10,100大關。",4
2017-06-02T06:21:00.000Z,  電子股今日位居盤面主流位置，權值股表現穩健，股王大立光 (3008) 持穩走高，收漲2.7%、報在4845元，台積電 (2330) 也呈現尾盤拉高，報在209.5元，面板雙虎友達 (2409) 、群創 (3481) 也聯袂走揚，聯發科 (2454) 則在新任共同執行長蔡力行就任消息帶動下，股價最高衝上248元。,8
2017-06-02T06:14:00.000Z,（中央社記者鍾榮峰台北2017年6月2日電）台股在台積電創209元波段新高、鴻海和大立光收今天最高帶動，指數終場收在10152點今天最高，續創17年來波段高點。,3
2017-06-02T06:14:00.000Z,美股三大指數收盤創高，台股受激勵開高走堅，加上台積電續創波段高點，尾盤在台積電收在209元還原權值新高，鴻海、大立光也收今天最高，帶動台股收在今天最高點。,5
2017-06-02T06:14:00.000Z,主要電子權值股台積電 (2330) 收在209元，漲0.97%；股王大立光 (3008) 收在4845元，漲130元或2.7%，收今天最高；鴻海 (2317) 終場收在105.5元，漲0.9%，也收今天最高。,2
2017-06-02T02:44:00.000Z,股王大立光 (3008) 盤中來到4830元，漲2.4%，鴻海 (2317) 盤中小漲0.5元，為105元，聯發科 (2454) 盤中來到236元，漲3.5%。,1
2017-06-02T02:26:00.000Z,  今日盤面漲多跌少，僅塑膠、鋼鐵等呈現弱勢表現，金融因外資賣超下持續弱勢，電子大型股維持撐盤，電子股方面，今整體表現穩健，股大立光 (3008) 一度站上4800元，漲幅約1.5%，鴻海 (2317) 盤上小漲震盪，股價積極挑戰5月份新高105元，台積電 (2330) 也持穩於盤上小漲震盪，聯發科 (2454) 也在迎來新任共同執行長蔡力行的話題發酵下，股價大漲逾3%，面板雙虎友達 (2409) 、群創 (3481) 亦同步小漲震盪。,2
2017-06-03T07:08:00.000Z,  電子股表現方面，IC設計族群以低價股較為強勢，聯傑 (3094) 、揚智 (3041) 雙雙勁揚；光通訊族群聯亞 (3081) 除息首日一度強勢填息，表現相對搶眼；近期積極表態的DRAM、PCB族群普遍休兵，大型權值股鴻海 (2317) 、台積電 (2330) 、大立光 (3008) 平盤附近整理，資金轉向中小型股及低價股，包括泰谷 (3339) 、勁永 (6145) 、安可 (3615) 、長天 (3431) 等一度強攻漲停，營運看俏及買盤力挺的健策 (3653) 、乙盛-KY (5243) 、義隆電 (2458) 、榮創 (3437) 及松上 (6156) 等攜手衝高。,8
