PublishDate,Sentence,Score
2017-05-09T06:49:00.000Z,  盤面上，友達 (2409) 4月營收受部分客戶的季底拉貨比較保守與新台幣持續升值的影響，年增7.6%、月減10.5%，昨夜ADR重挫8.23%，衝擊今日友達帶量重挫逾4.5%，拖累群創 (3481) 跟跌逾4%，加上彩晶 (6116) 、奇美材 (4960) 、今國光 (6209) 、亞光 (3019) 等紛紛大跌，股王大立光 (3008) 也於盤中翻黑走弱，光電類指今日跌0.7%，成為台股拖油瓶。,-5
2017-05-10T07:05:00.000Z,　盤面上，電子股仍為多頭主帥，權值股今日漲跌互見，台積電 (2330) 持續向上登高，面板雙虎友達 (2409) 、群創 (3481) 雙雙勁揚逾1%，宏達電 (2498) Q1毛利率寫下6季新高、股價強攻漲停，帶動供應鏈位速 (3508) 跟進大漲5%，大立光 (3008) 、華碩 (2357) 則震盪走跌。,8
2017-05-10T06:29:00.000Z,  大型權值股在今日並無發揮領軍作用，股王大立光 (3008) 股價下跌50元，收在4945元，台積電 (2330) 小漲收在205.5元，面板雙虎友達 (2409) 、群創 (3481) 今相對有撐，股價分別收漲1.2%、1.9%，今日盤面權值股焦點莫過於昨日法說落幕的宏達電 (2498) ，儘管第一季持續虧損，但毛利率衝上6季新高，股價收在漲停價69.3元，  今日盤面以低檔反彈股、以及業績掛帥的中小型個股表現活潑，被動元件族群華新科 (2492) 、國巨 (2327) 、蜜望實 (8043) 、禾伸堂 (3062) 強勢走揚，二線鏡頭廠聯一光 (3441) 也在4月營收大增下，終場以39.15元漲停作收，先進光 (3362) 、今國光 (6209) 、亞光 (3019) 等也順勢拉高。,8
2017-05-17T00:05:00.000Z,"　據統計，官股券商昨買超群創、彩晶、台積電、台灣高鐵、富邦金等，皆有2,600張以上，台灣高鐵受惠納入MSCI全球標準型指數，官股券商一舉由賣超千張反手轉買2,748張。",1
2017-05-20T03:02:00.000Z,　帆宣今年可望受惠於台積電及面板廠群創新廠工程訂單，且持續為應用材料及艾司摩爾（ASML）代工設備出貨，累計今年前4月合併營收已達到68.33億元、年增16.63％。,3
2017-05-23T07:01:00.000Z,  群創 (3481) 4月平均每天賺進1.39億元，獲利能力要比首季更佳，且在大尺寸面板今年價格看漲下，後市業績仍不看淡，外資上周大賣群創，單周賣超張數近2.7萬張，如今業績會說話，股價反轉收漲2.6%，友達 (2409) 亦有1.2%漲幅。,4
2017-05-24T07:02:00.000Z,  在美股續漲且已將上周三長黑棒吞噬，台股今日在台積電 (2330) 持穩，鴻海集團的樺漢 (6414) 、群創 (3481) 、台揚 (2314) 、榮創 (3437) 、GIS-KY (6456) 齊揚，中信金 (2891) 等大型金控支撐金融類股指數，傳產的大成 (1210) 、卜蜂 (1215) 等食品股強勢，以及裕日車 (2227) 續攻，加上中鋼 (2002) 可望因中國大陸鋼價回升而帶動中鋼第三季盤價跌幅收斂的預期，中鴻 (2014) 早盤率先發動攻勢，低價的聚亨 (2022) 、燁興 (2007) 漲勢凌厲。,7
2017-05-24T07:00:00.000Z,　盤面上，鴻海集團扮演多頭總司令，樺漢 (6414) 、群創 (3481) 、台揚 (2314) 、榮創 (3437) 、GIS-KY (6456) 攜手勁揚，雙王台積電 (2330) 、大立光 (3008) 表現持穩，聯發科 (2454) 因外資升評及目標價喊上250元，激勵股價放量大漲4%；遊戲族群由興櫃股淘米 (6428) 、棒辣椒 (6468) 、方舟 (6611) 、唯數 (6626) 發動強攻，激勵大宇資 (6111) 創下掛牌新高價。,8
2017-05-24T01:58:00.000Z,  台股周二量縮攻上萬點，顯示市場籌碼穩定，在美股連漲三天已將上周三長黑棒吞噬，台股今日在台積電 (2330) 續穩，鴻海集團的樺漢 (6414) 、群創 (3481) 、台揚 (2314) 、榮創 (3437) 、GIS-KY (6456) 齊揚，中信金 (2891) 、第一金 (2892) 等大型金控支撐金融類股指數小漲，傳產的大成 (1210) 、卜蜂 (1215) 等食品股強勢，加上中鋼 (2002) 可望因中國大陸鋼價回升而帶動中鋼第三季盤價跌幅收斂的預期，中鴻 (2014) 、新光鋼 (2031) 等早盤率先發動攻勢。,6
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。,0
2017-05-31T07:27:00.000Z,今天成交量前5名個股為台灣高鐵 (2633) 、元大滬深300正2（00637L）、群創 (3481) 、華邦電 (2344) 、台新金 (2887) 。,0
