PublishDate,Sentence,Score
2017-04-11T06:59:00.000Z,　盤面上，權值股大立光 (3008) 變臉翻黑收在今日最低，台積電 (2330) 、鴻海 (2317) 相對持穩，亞光「雷射測距技術」應用面大爆發，股價應聲走高成多頭先鋒；先進光 (3362) 及聯一光 (3441) 3月合併營收攀高，在新產品布局逐漸發酵下，今日股價同步攻頂。,-1
2017-04-12T07:01:00.000Z,　近日台股多頭暫歇，明日召開法說會的重要權值股台積電 (2330) 與大立光 (3008) 早盤偏弱整理，衝擊多頭信心，鴻海 (2317) 、聯發科 (2454) 則相對有撐；光電族群大放異彩，面板雙虎友達 (2409) 、群創 (3481) 放量大漲領軍，玉晶光 (3406) 、亞光 (3019) 聯袂衝高，先進光 (3362) 及聯一光 (3441) 擁業績題材連拉兩根漲停，表現相對搶眼；記憶體族群晶豪科 (3006) 重啟攻勢向上挺進；100G交換器前景光明，概念股智邦 (2345) 、明泰 (3380) 扮演網通族群強勢指標。,14
2017-04-18T07:06:00.000Z,　盤面上，電子權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 等表現持穩；光學族群先進光 (3362) 亮燈漲停再創上櫃新天價，激勵聯一光 (3441) 、光燿科 (3428) 同步攻頂，新鉅科 (3630) 、亞光 (3019) 亦同步走高；非蘋旗艦機齊發，手機零組件廠進入拉貨旺季，華冠 (8101) 強鎖漲停，美律 (2439) 、毅嘉 (2402) 聯手強彈；陸光纖需求今年看增，帶動光通訊族群波若威 (3163) 強攻漲停，光聖 (6442) 、統新 (6426) 、眾達-KY (4977) 攜手勁揚。,10
2017-04-20T00:59:00.000Z,日期：2017年 4月20日※本日焦點股點序、倉佑、先進光、聯一光、光燿科、太景*-KY、同致、精測、金居、旺矽、智晶、晶心科、勝麗、華新科※昨日盤勢解析英相梅伊宣布將提前大選、強化國會對脫歐的支持，衝擊週二西歐三大指數收低。,0
2017-04-21T07:02:00.000Z,　電子股今日吹起反攻號角，股王大立光 (3008) 盤中衝上天價4885元，激勵光學族群華晶科 (3059) 亮燈漲停、揚明光 (3504) 跟進飆高，帶動二線族群聯一光 (3441) 、新鉅科 (3630) 、亞光 (3019) 群起攻之；被動元件族群表現亦相當搶眼，國巨 (2327) 強勢大漲，帶動華新科 (2492) 、凱美 (5317) 、禾伸堂 (3026) 齊攻漲停。,10
2017-04-21T06:27:00.000Z,  在大立光的強勢引領下，華晶科 (3059) 亮燈漲停來到26.2元，揚明光 (3504) 攻堅飆漲逾8%，激勵光學二線廠響起反攻號角，聯一光 (3441) 午盤在買盤急拉下，股價強攻漲停板至31.9元，新鉅科 (3630) 、亞光 (3019) 和光燿科 (3428) 亦同步走高。,8
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。,7
2017-04-26T06:08:00.000Z,  今日電子股表現強勢，領先盤面類股，聚焦股王大立光站上5000元大關、再創上市新天價，亦是台股史上首家突破5000元關卡的股王，收盤也剛好站上5000元，帶動同屬光學族群的先進光 (3362) 、聯一光 (3441) 衝上漲停。,11
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。,7
2017-04-26T06:08:00.000Z,  今日電子股表現強勢，領先盤面類股，聚焦股王大立光站上5000元大關、再創上市新天價，亦是台股史上首家突破5000元關卡的股王，收盤也剛好站上5000元，帶動同屬光學族群的先進光 (3362) 、聯一光 (3441) 衝上漲停。,11
