PublishDate,Sentence,Score
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。,5
2018-10-01T04:20:00.000Z,　股王—大立光 (3008) 大漲逾110元領軍上攻，穩懋 (3105) 、玉晶光 (3406) 等蘋果概念股連袂走高，股價整理已久的散熱族群及觸控相關個股今天亦獲買盤力挺，超眾 (6230) 、雙鴻 (3324) 同步漲停，跌深的Tesla概念股—貿聯-KY (3665) 等亦強攻漲停，具題材的中小型股—環科 (2412) 、國光生 (4142) 及達邦蛋白 (6578) 均亮燈，加上台積電 (2330) 及鴻海 (2317) 穩盤，讓台股指數開高走高，直逼11050點，不過漲價概念股及風電概念股仍舊疲弱，市場追價意願不足，成交量呈現萎縮，截至11點40分為止，加權股價指數為11044.12點，上漲38.38點，成交量為611.44億元；OTC指數為134.58點，上漲1點，成交量為132.04億元。,2
2018-10-02T07:16:00.000Z,美墨加三國貿協格局確立，帶動隔夜美股道指、標普收高，台股在連3日站上「萬一」關卡後，今日受到台積電 (2330) 偏弱影響，導致市場信心不足，電子、金融、傳產龍頭股跟進殺低，包括鴻海 (2317) 、聯發科 (2454) 、國泰金 (2882) 、開發金 (2883) 、台塑四寶等紛遭空頭襲擊同步軟腳，使指數不但摔落萬一關卡並持續擴大下挫逾百點，10900點大關岌岌可危，終場加權指數下跌132.17點為10919.63點，成交值為1058.74億元。,1
2018-10-02T07:16:00.000Z,　蘋概三王僅股王大立光 (3008) 力撐紅盤，台積電 (2330) 、鴻海 (2317) 聯袂下挫2%。,0
2018-10-02T06:59:00.000Z,國際股市漲跌不一，台股在台積電 (2330) 、鴻海 (2317) 領跌權值大軍的情勢下，失守萬一大關。,0
2018-10-02T06:59:00.000Z, 盤面上，台積電受到大客戶Intel遭巴克萊調降評等，使得其股價下殺開出，終場下跌2.09%、收在257.5元，鴻海也開高走低，下跌2.25%、收在78.1元，兩大權值股皆墨，使得今日電子股普跌。,-4
2018-10-02T06:14:00.000Z,蘋概三王今天股價漲跌互見，台積電 (2330) 下跌5.5元，收257.5元，跌幅2.09%，大立光 (3008) 上漲50元，收3790元，漲幅1.34%，鴻海 (2317) 下跌1.8元，收78.1元，跌幅逾2%。,-1
2018-10-02T03:18:00.000Z,蘋概三王今天股價漲跌互見，台積電 (2330) 盤中下跌5元，來到258元，跌幅1.9%，大立光 (3008) 小漲10元，來到3750元，漲幅0.27%，鴻海 (2317) 下跌1.2元，來到78.7元，跌幅1.5%。,-1
2018-10-04T07:17:00.000Z,美股四大指數隔夜收高，道瓊指數連2日改寫收盤新高！因美元指數走強，引發市場憂心資金恐將回流美國疑慮，使今日亞股普遍疲軟，台股在蘋果三天王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 同步開低下，多頭信心受到動搖，市場傳出美國可能在台灣海峽及南海部分進行軍演，使指數跳空開低後節節敗退，盤中大跌逾百點，不僅失守10800點更跌破年線，並向下測試10700點關卡，終場加權指數下跌145.03點為10718.91點，成交值為1097.61億元。,-7
2018-10-04T07:17:00.000Z,　蘋果股價因iPhone XS Max意外熱賣再創新高，國內蘋果鏈卻未受鼓舞，三天王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 同步熄火，拖累權值股可成 (2474) 、日月光投控 (3711) 、聯電 (2303) 、聯發科 (2454) 等跟進殺低；DRAM族群南亞科 (2408) 旺季不太旺，市場擔憂第四季續下滑，連帶使華邦電 (2344) 、旺宏 (2337) 股價同步探底。,1
2018-10-04T06:14:00.000Z,鴻海 (2317) 股價同樣表現疲弱，收在76.2元，跌1.6元，跌幅也達2.06%；其餘聯電 (2303) 與聯發科 (2454) 等大型股股價也都走跌，影響電子類股指數大跌1.79%。,-3
2018-10-04T03:19:00.000Z,美股四大指數收高，但亞股表現疲軟，台股也在台積電 (2330) 、鴻海 (2317) 及金控股等下跌開出，指數盤中下跌逾百點，也再度跌破年線，預估成交金額約1100億元。,-3
2018-10-04T03:06:00.000Z,台股市值最大的台積電 (2330) 首當其衝，股價開低走低，盤中一度達254元，跌6元，跌幅約2.3%，其餘聯電 (2303) 、聯發科 (2454) 、鴻海 (2317) 等大型股股價也紛紛走跌，影響電子股指數重挫逾1%。,-4
2018-10-17T07:09:00.000Z,　明日舉行法說會的台積電獲買盤卡位以紅盤收市，股王大立光 (3008) 止跌回穩，減資前夕的鴻海 (2317) 賣壓出籠失守70元，其餘蘋概股可成 (2474) 、玉晶光 (3406) 、美律 (2439) 、嘉聯益 (6153) 等紅光滿面。,0
2018-10-17T06:10:00.000Z,減資前夕的鴻海 (2317) 表現則仍偏弱。,1
2018-10-17T06:10:00.000Z, 多頭總司令台積電尾盤僅小漲1.5元，鴻海跌幅擴大，國巨翻黑，以及國泰金 (2882) 等大型金控拖累金融類股指數收低，台股由大漲變小跌，呈現帶有長上影線之黑K棒。,-2
2018-10-17T03:27:00.000Z,鴻海 (2317) 將辦理346.57億元現金減資，減資比率20%，今天為減資前最後交易日，18日起舊股票將停止在市場買賣，現金減資後換發的新股票預計26日上市買賣。,1
2018-10-17T03:27:00.000Z,鴻海今天股價走勢震盪，早盤一度達71元，漲0.6元，漲幅約0.85%，只是隨後賣壓出籠，鴻海股價震盪走低，一度由紅翻黑，達70.1元，跌0.3元，跌幅約0.42%。,-5
2018-10-17T02:53:00.000Z,減資前夕的鴻海 (2317) 表現則仍偏弱。,1
2018-10-17T01:22:00.000Z,鴻海 (2317) 將辦理346.57億元現金減資，減資比率20%，今天為減資前最後交易日，18日起舊股票將停止在市場買賣，現金減資後換發的新股票預計26日上市買賣。,1
2018-10-17T01:22:00.000Z,鴻海今天股價開盤70.7元，小漲0.3元。,1
2018-10-18T07:12:00.000Z,　台積電 (2330) 今日舉行法說會，受到10月以來外資一路倒貨衝擊，股價陷於盤下整理，股王大立光 (3008) 亦小黑作收，今日減資停牌的鴻海 (2317) 於停牌前夕遭外資空單摜壓失守70元，衝擊多頭信心；聯發科 (2454) P70倒數計時，助威Q4行動晶片出貨，股價堅守盤上；被動元件三巨頭國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 扮演撐盤要角力挺多方；PCB族群在蘋果啟動拉貨潮帶動下氣色紅潤，嘉聯益 (6153) 、楠梓電 (2316) 、華通 (2313) 、台光電 (2383) 逆勢強彈。,7
2018-10-23T00:02:00.000Z,"第二名：鴻海：買進63,837千股，賣出101,263千股，賣超37,426千股。",-1
2018-10-24T10:42:00.000Z,台灣永續指數10大成分股包含台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、南亞 (1303) 、國泰金 (2882) 、富邦金 (2881) 、中華電 (2412) 、中信金 (2891) 、統一 (1216) 、中鋼 (2002) 等電金傳產3大族群權值股。,0
2018-10-25T02:21:00.000Z,"受到炸彈郵包干擾及企業財報不佳，美股昨日重挫，台指期今日開盤重挫300餘點，台股開盤跳空跌破9,500點，重災區在半導體股，旺宏 （2337） 、祥碩 （5269） 盤中跌停，台積電 （2330） 跳空大跌，由於鴻海 （2317） 明日即將恢復交易，屆時鴻海有補跌的壓力，對台股也是不利的干擾因素。",-12
2018-10-26T07:13:00.000Z,科技股反彈帶動周四美股勁揚！台股今日上沖下洗大坐雲霄飛車，反彈美夢僅曇花一現，早盤跳空開高一度大漲百點，惟鴻海 (2317) 減資後表現令市場失望，加上盤中美股期指跳水，讓亞股花容失色急速翻黑，在市場信心搖搖欲墜下，包括電金龍頭股大立光 (3008) 、國泰金 (2882) 、富邦金 (2881) 同步軟腳下，賣壓一波接著一波，指數急速下墜翻黑下殺逾百點、驚探9400.69點，上下震幅逾200點，隨後在買盤進場拉抬下收斂跌點，終場加權指數下跌31.61點為9489.18點，失守9500點大關，成交值為1280.6億元；周線連4黑，本周大跌430點。,-1
2018-10-26T07:13:00.000Z,　電子權值股普遍不支，股王大立光 (3008) 開高殺低，減資停牌的鴻海 (2317) 重新上市仍躲不過補跌賣壓殺跌7%，重創多頭士氣，聯電 (2303) Q4展望保守遭外資下修目標價，衝擊股價帶量下殺近半根停板，聯發科 (2454) 連日遭外資提款上演200元保衛戰，台積電 (2330) 則獲買盤力挺守住紅盤。,2
2018-10-26T00:16:00.000Z,（中央社記者江明晏台北2018年10月26日電）美股暴跌後強勢反彈，台股25日跌238.61點，收在9520.79點，投顧認為，後續量縮價穩為宜，市場並關注台積電 (2330) 、鴻海 (2317) 、國巨 (2327) 今天走勢，將成台股強弱指標。,-2
2018-10-26T00:16:00.000Z,鴻海現金減資後新股今天上市交易，參考價格約82.6元，減資後每股淨值升到83.23元；被動元件龍頭國巨自高檔1310元回檔，25日重挫9.6%，收315.5元，波段下殺幅度逼近千元。,2
2018-10-26T00:16:00.000Z,市場將持續關注台積電、鴻海與國巨等權值股今天走勢，預料將成台股強弱指標。,0
2018-10-29T07:15:00.000Z,　鴻海 (2317) 減資復牌首日重挫後，今反彈力仍不足、股價再度收黑。,-3
2018-10-29T04:02:00.000Z,　中場過後，國巨、華新科 (2492) 、大毅 (2478) 等被動元件個股轉強，近期弱勢的穩懋 (3105) 也止跌回穩，搭配台積電 (2330) 、股王大立光 (3008) 及鴻海 (2317) 力挺，台股指數由黑翻紅，多空在9500點攻防，截至11點40分為止，加權股價指數為9510.78點，上漲21.6點，成交量為740.2億元；OTC指數為110.62點，上漲0.69點，成交量為153.53億元。,1
2018-10-30T11:20:00.000Z,值得注意的是，鴻海第3季專利申請量僅51件，較去年同期年減55%，洪淑敏說明，主要是因鴻海申請專利政策改變影響，從重量轉為重質，加上可能因為會累積一段時間才一次申請，可能有時間落差因素，若以長期來看，從2016年第3季至去年底為止，鴻海專利申請量維持成長態勢。,6
2018-10-30T07:16:00.000Z,貿易戰煙硝再起，全球經濟前景蒙塵，包括亞馬遜、谷歌母公司Alphabet和網飛等大型科技股重挫，嚴重衝擊投資信心，周一美股震盪收黑，台股今日在大立光 (3008) 、國巨 (2327) 、美律 (2439) 等權值股乏力下開低，盤中一度失守9500點城池，所幸鴻海 (2317) 、華邦電 (2344) 、南亞科 (2408) 等電子股攜手穩住陣腳，金融股亦在富邦金 (2881) 、國泰金 (2882) 聯手拉抬下止跌反彈，推升大盤指數由黑翻紅，多空遂於9500點攻防，終場加權指數上漲9.79點為9526.11點，成交值縮至998.2億元。,0
2018-10-30T07:16:00.000Z,　盤面表現方面，三巨頭台積電 (2330) 、鴻海 (2317) 力抗空頭，大立光 (3008) 墜落3200元，記憶體族群華邦電 (2344) 上季淨利衝18年新高，今扮台股領頭羊，帶動南亞科 (2408) 、旺宏 (2337) 同步強彈；台達電 (2308) 及牧德 (3563) 季報搶眼，法說前獲買盤力挺，牧德更是直奔漲停。,7
2018-10-30T07:08:00.000Z,2018年台灣投入研發經費最多的十大企業依序為：鴻海 (2317) 、台積電 (2330) 、聯發科 (2454) 、台達電 (2308) 、華碩電腦 (2357) 、緯創資通 (3231) 、聯華電子 (2303) 、和碩聯合科技 (4938) 、群創光電 (3481) 、廣達電腦 (2382) 。,1
2018-10-30T06:47:00.000Z,中美貿易戰疑慮衝擊昨夜美股下挫，惟亞股今日漲多跌少，台股亦由台積電 (2330) 攜手鴻海 (2317) 守護，保住9500城池。,-3
2018-10-30T06:11:00.000Z,蘋概股3大指標晶圓代工龍頭台積電 (2330) 收在223元，上漲0.5元，大立光 (3008) 收在3165元，下跌130元，鴻海 (2317) 收在76.4元，上漲0.9元。,-1
2018-10-30T03:39:00.000Z,鴻海 (2317) 盤中來到76.5元，小漲1.32%。,1
2018-10-30T02:37:00.000Z,盤初，台積電 (2330) 、大立光 (3008) 、國巨 (2327) 、美律 (2439) 等權值指標紛紛走弱，大盤9500點城池一度失守，所幸鴻海 (2317) 、華邦電 (2344) 、南亞科 (2408) 等攜手穩住陣腳，老大哥台積電隨後也奮力爬回高檔，並帶動金融與多數傳產類股跟隨上行，大盤指數隨即由黑翻紅，呈現小漲格局。,3
2018-10-31T07:12:00.000Z,川普預期與將中國達成絕佳協議，激勵隔夜美股全面反彈！10月慘遭血洗的台股大悶鍋在多頭熱血沸騰下絕地大反攻，蘋概股三雄台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 領軍電子股衝高，尤以矽晶圓、被動元件族群漲勢最猛，搭配台塑四寶等傳金權值股聯手助攻，推升指數急彈逾200點，最後一盤爆出158億元大量急拉約70點，終場加權指數收在今日最高點9802.13點、大漲276.02點，連續收復9600、9700、9800點大關，成功回補上周空方缺口，成交值放大至1287.21億元；惟月線仍收長黑，本月慘跌1204.21點。,13
2018-10-31T07:12:00.000Z,　電子股今日掌多頭大旗吹起反攻號角，矽晶圓、被動元件、蘋概股撐起半邊天，蘋概股三天王大立光、台積電、鴻海聯手出擊，帶領玉晶光 (3406) 、先進光 (3362) 、嘉聯益 (6153) 、台郡 (6269) 、可成 (2474) 、穩懋 (3105) 、美律 (2439) 等漲聲四起；矽晶圓廠環球晶 (6488) 庫藏股利多催化下跳空漲停，激勵中美晶 (5483) 、台勝科 (3532) 、嘉晶 (3016) 與合晶 (6182) 齊步攻頂，盤面上最耀眼；被動元件股華新科 (2492) 、國巨 (2327) 、禾伸堂 (3026) 重獲關愛聯袂大漲逾半根停板。,9
2018-10-31T01:59:00.000Z, 14.鴻海 (2317) ：受惠iPad Pro改版，股價脫離疲能，早盤攻高2%。,0
