PublishDate,Sentence,Score
2017-01-17T11:32:00.000Z,成交量前10名個股依次為：大同 (2371) 、華邦電 (2344) 、元大滬深300正2（00637L）、榮成 (1909) 、富邦上証正2（00633L）、宏?? (2353) 、彩晶 (6116) 、緯創 (3231) 、群創 (3481) 、友達 (2409) 。,0
2017-01-17T11:32:00.000Z,成交值前10名個股依次為：大立光 (3008) 、台積電 (2330) 、玉晶光 (3406) 、大同 (2371) 、富邦上証正2（00633L）、鴻海 (2317) 、榮成 (1909) 、元大滬深300正2（00637L）、國泰金 (2882) 、華邦電 (2344) 。,0
2017-01-18T10:56:00.000Z,成交量前10名個股依次為：群創 (3481) 、大同 (2371) 、華邦電 (2344) 、友達 (2409) 、元大滬深300正2（00637L）、彩晶 (6116) 、榮成 (1909) 、亞光 (3019) 、富邦上証正2（00633L）、玉晶光 (3406) 。,0
2017-01-18T06:53:00.000Z,　光電股再扮多方領頭羊，股王大立光盤中高點4450元及收盤4445元，再度改寫歷史新高，玉晶光 (3406) 、亞光 (3019) 、華晶科 (3059) 盤中同步漲停；太陽能族群環球晶 (6488) 、中美晶 (5483) 、合晶 (6182) 、嘉晶 (3016) 熱烘烘；雙D族群合力突圍，面板雙虎友達 (2409) 、群創 (3481) 攜手喊衝，記憶體族群華邦電 (2344) 、旺宏 (2337) 齊步走揚；電玩展明登場，遊戲股宇峻 (3546) 、網龍 (3083) 、昱泉 (6169) 、隆中 (6542) 及歐買尬 (3687) 勁歌熱舞。,6
2017-01-18T06:23:00.000Z,早盤台積電等大型電子股並不強勁，賴中低價股維持人氣；大同成為飆股，帶動中低價電子股齊攻，華邦電 (2344) 、旺宏 (2337) 等記憶體股續強；一樣是中低價主流，還有友達 (2409) 、群創 (3481) 上攻，彩晶 (6116) 、奇美材 (4960) 等面板相關全面走揚。,6
2017-01-18T06:23:00.000Z,  雖台積電 (2330) 等蘋果供應鏈表現不強，天價的股王大立光 (3008) 仍展現威力，股價再創新高，並帶動光學個股全面大漲，玉晶光 (3406) 飆漲不停，亞光 (3019) 接棒，再輪到華晶科 (3059) 強攻；台股近來以電子股為交投重心，走M型化，股王一直漲，股價在十多元的低價股由大同飆漲示範，華邦電 (2344) 等一檔檔冒出頭。,10
2017-01-19T10:42:00.000Z,成交量前10名個股依次為：大同 (2371) 、群創 (3481) 、彩晶 (6116) 、華邦電 (2344) 、中信金 (2891) 、友達 (2409) 、玉晶光 (3406) 、元大滬深300正2（00637L）、華晶科 (3059) 、亞光 (3019) 。,0
2017-01-20T11:43:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、群創 (3481) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、榮成 (1909) 、彩晶 (6116) 、元大滬深300正2（00637L）、華通 (2313) 、新光金 (2888) 。,0
2017-01-20T11:43:00.000Z,成交值前10名個股依次為：台積電 (2330) 、可成 (2474) 、大立光 (3008) 、美律 (2439) 、鴻海 (2317) 、玉晶光 (3406) 、GIS-KY (6456) 、祥碩 (5269) 、中華電 (2412) 、華邦電 (2344) 。,0
2017-01-20T07:15:00.000Z,華邦電子 (2344) 去年營運相對穩定，今年受惠產品價格趨漲，加上新的產能及技術投入增進獲利能力，本週以來外資大買，帶動股價從票面價一路漲到今日最高11.9元，收盤上漲5.41%，為11.7元。,8
2017-01-23T10:27:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、彩晶 (6116) 、元大台灣50反1（00632R）、群創 (3481) 、元大滬深300正2（00637L）、友達 (2409) 、台積電 (2330) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-23T10:27:00.000Z,成交值前10名個股依次為：台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、華邦電 (2344) 、可成 (2474) 、台達電 (2308) 、大同 (2371) 、台光電 (2383) 、上銀 (2049) 、國泰金 (2882) 。,0
2017-01-23T06:57:00.000Z,　盤面上，權值股漲跌互見，台積電強登季線之上，大立光創高後拉回整理，鴻海 (2317) 擬赴美設面板廠股價小漲作收；上月獲利亮眼的玉晶光 (3406) 跳空漲停，帶動光燿科 (3428) 、亞光 (3019) 等同步走高；銅箔基板需求強勁，台光電 (2383) 再攻漲停改寫上市新高，聯茂 (6213) 及台燿 (6274) 股漲同歡；車用零組件廠在朋程 (8255) 大漲帶動胡連 (6279) 等聯袂勁揚；NOR Flash喊漲，華邦電 (2344) 爆量攻頂、旺宏 (2337) 跟進大漲半根停板。,12
2017-01-24T10:34:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、群創 (3481) 、台積電 (2330) 、元大台灣50反1（00632R）、聯電 (2303) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-24T10:34:00.000Z,成交值前10名個股依次為：台積電 (2330) 、可成 (2474) 、大立光 (3008) 、大同 (2371) 、鴻海 (2317) 、華邦電 (2344) 、玉晶光 (3406) 、中石化 (1314) 、中華電 (2412) 、聯發科 (2454) 。,0
2017-01-24T02:54:00.000Z,高通重挫、川普正式宣告美國退出TPP，昨夜美股小跌作收，今日台股三大期指仍聯袂開高，惟大盤跟隨美股小跌1點，以9423.05點開出，隨後玉晶光 (3406) 、華邦電 (2344) 、可成 (2474) 、大同 (2371) 、大毅 (2478) 、奇力新 (2456) 等權值大軍聯袂上攻，雙指標台積電 (2330) 、大立光 (3008) 也守穩盤上，各大類股幾乎全面上揚，大盤指數順利突破去年高點9430點，來到9455點。,1
2017-01-24T02:54:00.000Z,  盤面上，華邦電昨獲外資大舉買超21017張，激勵早盤股價一度衝上13.6元、漲幅逾5%，拿下今日台股人氣王。,8
2017-01-24T00:49:00.000Z,3.半導體延續漲勢，台積電 (2330) 、環球晶 (6488) 、華邦電 (2344) 、旺宏 (2337) 等上漲。,3
2017-01-24T10:34:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、群創 (3481) 、台積電 (2330) 、元大台灣50反1（00632R）、聯電 (2303) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-24T10:34:00.000Z,成交值前10名個股依次為：台積電 (2330) 、可成 (2474) 、大立光 (3008) 、大同 (2371) 、鴻海 (2317) 、華邦電 (2344) 、玉晶光 (3406) 、中石化 (1314) 、中華電 (2412) 、聯發科 (2454) 。,0
