PublishDate,Sentence,Score
2017-04-07T00:58:00.000Z,日期：2017年 4月 7日※本日焦點股智邦、台塑、宜鼎、綠悅-KY、欣銓、榮化、威剛、旺矽、光寶科、第一金、金像電、久威、雷科、新光鋼、聖暉、聯穎、晶采※昨日盤勢解析聯邦公開市場委員會(FOMC)會議記錄顯示聯準會(Fed)考慮縮減資產負債表規模，引發貨幣環境將日趨緊縮的疑慮，週三美股四大指數下跌。,-1
2017-04-25T00:17:00.000Z,測試大廠欣銓 （3264） 於大陸南京轉投資的測試廠已於21日動土，預計最快今年底前可完成廠房建置並移入機台開始試產，明年上半年可望進入量產。,3
2017-04-25T00:17:00.000Z,欣銓南京廠產能主要配合晶圓代工龍頭台積電 （2330） 的南京12吋晶圓廠，將承接台積電釋出的晶圓測試代工訂單。,0
2017-04-25T00:17:00.000Z,　欣銓去年合併營收62.60億元，創下歷史新高，歸屬母公司稅後淨利8.93億元，每股淨利1.92元，欣銓已決定今年每普通股將配發1.25元現金股利，以昨（24）日股價收盤價24.25元計算，現金殖利率達5.2％。,3
2017-04-25T00:17:00.000Z,　欣銓去年底宣布收購測試廠全智科63.8％股權，今年3月再度宣布以每股24元現金對價，收購全智科其餘在外流通股權，全智科將在第3季正式成為欣銓百分之百持股子公司。,3
2017-04-25T00:17:00.000Z,而欣銓受惠於合併全智科營收，3月合併營收月增10.1％達6.33億元，創下單月營收歷史新高紀錄，第1季合併營收18.01億元，較去年同期大增40.7％並為季度營收次高紀錄。,5
2017-04-25T00:17:00.000Z,　欣銓為了爭取晶圓測試代工商機，近幾年大動作進行全球化布局，包括在新加坡及韓國均設有營運據點，爭取當地晶圓代工大廠後段代工訂單。,1
2017-04-25T00:17:00.000Z,而隨著晶圓代工龍頭台積電決定赴大陸南京設立12吋晶圓廠，欣銓也決定跟進，21日在南京浦口開發區正式舉行動土開工典禮。,5
2017-04-25T00:17:00.000Z,　據了解，欣銓的南京測試廠主要是台積電配套項目，設立在南京浦口經濟開發區橋林園區，廠房占地達80畝，總投資金額達1.35億美元，將興建總樓地板面積達2.75萬平方公尺的廠房，預計最快今年底前可以完成廠房建置並移入機台。,4
2017-04-25T00:17:00.000Z,欣銓南京廠主要建置晶圓測試產能，主要承接台積電釋出的16奈米晶圓測試代工訂單，所以是屬於高階測試生產線。,1
2017-04-25T00:17:00.000Z,　此外，欣銓南京廠也可望爭取到大陸紫光集團南京12吋晶圓廠的後段測試代工訂單。,0
2017-04-25T00:17:00.000Z,由於紫光未同步投資後段測試生產線，業界認為，欣銓南京廠可望在明年之後開始承接紫光南京廠的後段測試代工訂單。,2
