PublishDate,Sentence,Score
2018-01-02T02:39:00.000Z,經由我國艾森豪獎金協會的評選推薦，創業家兄弟股 (8477) 董事長郭書齊即將於4月赴美，與來自世界26個國家的傑出人士共同參加由美國艾森豪獎金舉辦為期7周的國際交流活動，預計訪問電商產業、新創事業、政府立法機購等知名產業的創辦人或高層，透過交流學習啟發新觀點，預期將不止為創業家兄弟未來營運帶來新氣象，也將為台灣產業創新發展請益，以站在台灣放眼世界建立與矽谷無縫接軌的思維腳步，為新創產業開出先鋒。,7
2018-01-02T02:39:00.000Z,　美國艾森豪獎金基金會(EF)於1953年底為慶祝艾森豪總統誕辰而成立，每年從世界各國，遴選出不同國家、不同領域的得主，目的是「透過人與人之間的了解，更能促進國際文化交流」，挑中的人選也都是世界各國在某一領域有卓越成就且具備領袖潛質的人士。,6
2018-01-03T03:58:00.000Z,nuTonomy是目前唯一在兩大洲的兩大世界級城市(新加坡、波士頓)進行公開路測的自主駕駛車開發商。,4
2018-01-02T02:39:00.000Z,經由我國艾森豪獎金協會的評選推薦，創業家兄弟股 (8477) 董事長郭書齊即將於4月赴美，與來自世界26個國家的傑出人士共同參加由美國艾森豪獎金舉辦為期7周的國際交流活動，預計訪問電商產業、新創事業、政府立法機購等知名產業的創辦人或高層，透過交流學習啟發新觀點，預期將不止為創業家兄弟未來營運帶來新氣象，也將為台灣產業創新發展請益，以站在台灣放眼世界建立與矽谷無縫接軌的思維腳步，為新創產業開出先鋒。,7
2018-01-02T02:39:00.000Z,　美國艾森豪獎金基金會(EF)於1953年底為慶祝艾森豪總統誕辰而成立，每年從世界各國，遴選出不同國家、不同領域的得主，目的是「透過人與人之間的了解，更能促進國際文化交流」，挑中的人選也都是世界各國在某一領域有卓越成就且具備領袖潛質的人士。,6
2018-01-03T03:58:00.000Z,nuTonomy是目前唯一在兩大洲的兩大世界級城市(新加坡、波士頓)進行公開路測的自主駕駛車開發商。,4
2018-01-05T01:31:00.000Z,目前的世界首富是亞馬遜(Amazon.com)執行長貝佐斯(Jeff Bezos)，他的身價有986億美元。,0
2018-01-27T01:17:00.000Z,」　台積電不僅深耕台灣，更是深耕台南，張忠謀多次感謝中央及台南市政府的協助，在招商投資上，台南市可說裡子、面子雙贏；代理市長李孟諺指出，台積電對台南的投資與貢獻受到市民肯定，很高興能與台積電攜手一起「打這場世界級的戰爭」。,7
2018-01-29T03:08:00.000Z,  台積電持續投資維持技術領先，董事長張忠謀上周五表示，2年後台積電將會是全世界首家量產5奈米的廠商。,3
2018-01-29T01:11:00.000Z,MoneyDJ新聞 2018-01-29 09:10:59 記者 賴宏昌 報導foxbusiness.com 26日報導，IBM執行長Ginni Rometty(見圖)在達沃斯世界經濟論壇年會受訪時表示，人工智慧(AI)將改變所有(100%)工作內容、現在就得開始讓所有人做好準備。,3
