PublishDate,Sentence,Score
2017-05-08T03:47:00.000Z, 　就技術面來看，上周五台股以下跌13點的9954點開出後，受到投資人觀望法國總統大選結果影響，市場買盤保守，金融類股及台塑 (1301) 四寶出現調節性賣壓，且量能持續縮減，致使指數呈現緩步下跌，終場以9899.94點最低點作收，跌破9900點關卡，累計一周上漲27.94點，周線再收黑，5日均量降為887.86億元，價跌量縮，在OTC指數部分，由於上周五跌幅達0.78%，周跌0.58%；今天在上周五歐美股市續創新高帶動下，台股跳空開高，盤中指數一度攻抵9960點，不過傳產類股及中小型電子股走弱，指數開高走低，在9910點附近震盪；上周五台股成交量能再度縮減，且跌破9900點，並以最低點作收，整體市場呈現明顯弱勢格局，不過法國總統大選結果符合市場預期，且歐美股市續創新高，對台股多頭仍有一定支撐作用，大盤台股指數處於創新高後出現拉回走勢，能否持續上攻，仍須觀察成交量是否放大，所幸周KD黃金交叉向上，且季線尚未下彎，有利於多頭在回測均線後攻高，只要能守住月線9818點，在季報完全公布後，台股有機會跟上國際股市腳步走高，若本周國際股市走穩，本周台股指數將在9900點上下150點震盪。,4
2017-05-09T06:49:00.000Z,台塑四寶4月營收1107.02億元，年增2.1%、月減10.8%，而受到大陸資金緊縮、下游觀望氣氛偏濃以及歲修三大負面因素影響，石化原料報價下修，讓出貨呈現「有量無價」局面，今日四寶股價全面下跌，衝擊塑膠類指跌逾2%，成為傳產空頭標靶。,-1
2017-05-11T07:07:00.000Z,台股早盤小幅走高，盤中受到台積電 (2330) 無懼4月營收大減3成仍翻紅衝高、股王大立光 (3008) 再登5000元，配合台塑四寶、金融股走穩，帶動指數再度衝上萬點，最高來到10018.79點，為本周第二個交易日攻上萬點，更創下17年來新高，尾盤在台積電、富邦金 (2881) 等權值股獲拉抬，終場加權指數上漲33.16點為10001.48點，成交值增至963.64億元。,10
2017-05-11T07:07:00.000Z,傳產股方面，因中東齋戒月提前展開及美油庫存連跌5周，台塑四寶台化 (1326) 、台塑化 (6505) 、台塑 (1301) 、南亞 (1303) 動起來。,-1
2017-05-11T07:07:00.000Z,台股今日在雙王台積電、大立光及台塑四寶等權值股衝高率領下，加上富邦金、國泰金等金融股助攻，帶動指數開高走高，盤中以10018點創下17年來新高，終場收在萬點之上，為史上第八次站上萬點。,8
2017-05-15T07:00:00.000Z,台股今日受惠電子、金融雙主流強勢攻堅，配合台塑化 (6505) 、台泥 (1101) 等傳產權值股穩盤，帶動指數震盪走高，再度收復萬點大關，創下近17年收盤新高水準，為520總統就職周年慶行情提前舖路。,8
2017-05-15T01:53:00.000Z,  瑞信證也統計今年4月QFII買超的前5大台股鴻海 (2317) 、台積電 (2330) 、可成 (2474) 、統一超 (2912) 、台塑 (1301) ；而QFII賣超的前5大個股為:富邦金 (2881) 、台灣大 (3045) 、中壽 (2823) 、國泰金 (2882) 、微星 (2377) 等。,0
2017-05-17T06:58:00.000Z,美國庫存意外增加，造成油價下滑，台塑化 (6505) 受衝擊走弱，收盤跌幅逾2%，進而拖累油電類股指數下跌2.18%，成為今日最弱勢的一群。,-7
2017-05-17T06:08:00.000Z,他直言，上市櫃公司配息佳，台灣證券交易所統計，台股因配息帶動殖利率攀升至4.3%，上市櫃公司陸續公布股息配發金額，台積電、鴻海、台塑4寶配息金額均超越去年，固然受到外資青睞，但預期進入6、7月除權息旺季，台股指數因除息扣除380點以上。,4
2017-05-22T07:09:00.000Z,傳產股方面，油價站回50美元，台塑集團南亞 (1303) 、台化 (1326) 、台塑化 (6505) 領軍突圍，二線塑化股華夏 (1305) 、台苯 (1310) 、台達化 (1309) 緊跟在後。,2
2017-05-22T07:09:00.000Z,台股受惠台積電、鴻海、和碩 (4938) 與大立光等蘋概股拉尾盤，配合台化、台塑化等傳產權值股助攻，使盤勢開高走高，終場收復五日線，距離萬點大關不到3點。,2
2017-05-22T06:47:00.000Z,大立光 (3008) 及台積電 (2330) 搭汽車擺尾，台股萬點只差3點！　台股今天隨全球股市擺脫川普政治風暴，由Tesla概念股及車用零組件個股領軍，江申 (1525) 率先強攻漲停板，貿聯-KY (3665) 、和大 (1536) 、健和興 (3003) 、順德 (2351) 等Tesla供應商，以及胡連 (6279) 等同步收高，讓市場多頭再起，中場過後，績優及具題材的中小型股裕融 (9941) 、晶達 (4995) 、岳豐 (6220) 、華擎 (3515) 、中和 (1439) 、康樂-KY (4154) 、京晨科 (6419) 及新鉅科 (3630) 等強攻漲停板作收，台積電 (2330) 、大立光 (3008) 及台塑化 (6505) 亦在尾盤強勢收高，讓台股指數以今天最高點作收，順利站回5日線，逼近萬點關卡，惟美中不足是今天成交量仍是不足，僅700多億元，終場加權股價指數為9997.26點，上漲49.64點，成交量為701.72億元；OTC指數收盤為132.93點，上漲0.4點，成交量為238.24億元。,6
2017-05-24T07:00:00.000Z,傳產股方面，鋼鐵股龍頭中鋼 (2002) Q3盤價跌幅估降，激勵中鴻 (2014) 、新光鋼 (2031) 攜手攻高；外資看好今年油價可望衝上60美元，台塑化 (6505) 、台塑 (1301) 聞訊走揚；食品股泰山 (1218) 盤中亮燈漲停，帶動大成 (1210) 、卜蜂 (1215) 跟進大漲。,8
2017-05-24T07:00:00.000Z,台股在端節長假前夕送出大禮，今日由高價小型股扮攻堅主軸，搭配台塑化、廣達 (2382) 與聯發科等權值股穩盤，盤中高點10059.74點與收盤指數10044.42點，雙創近17年來新高水準，惟單日成交值僅793.3億元，呈現價量背離窘境。,0
2017-05-26T06:36:00.000Z,  航運股今在業界看好將出現自2010年後7年來首度供需曲線呈現黃金交叉，陽明 (2609) 、長榮 (2603) 、四維航 (5608) 、裕民 (2606) 等同步走強；塑化股則因為OPEC減產不如市場預期積極下，導致塑化股全數回檔，台塑家族個股也成為壓抑指數的原因之一。,2
2017-05-31T07:05:00.000Z,台塑 (1301) 河靜鋼廠傳出試車爆炸已遭否認，四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 尚稱穩健，台塑化 (6505) 逆勢走高1.8%。,1
2017-05-31T07:05:00.000Z,台塑 (1301) 河靜鋼廠傳出試車爆炸已遭否認，四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 尚稱穩健，台塑化 (6505) 逆勢走高1.8%。,1
