PublishDate,Sentence,Score
2017-07-05T06:59:00.000Z,傳產股方面，鋼鐵股受惠鋼價看漲，填息行情可期，新光鋼 (2031) 、允強 (2034) 除息首日氣盛，激勵月底將除息的中鋼 (2002) 同步走揚；食品股大統益 (1232) 除息行情亮眼，激勵泰山 (1218) 、大成 (1210) 、南僑 (1702) 齊步攻高；塑膠股午盤過後向上拉抬，台塑 (1301) 、南亞 (1303) 、台達化 (1309) 、國喬 (1312) 強勢走高。,10
2017-07-11T05:59:00.000Z,傳統產業股則是漲跌互見，塑膠類股在台塑 (2301) 與南亞 (1303) 股價走揚帶動下，類股指數漲0.83%，表現相對強勁；造紙與觀光類股表現則相對弱勢，類股指數分別下挫0.21%及0.34%。,2
2017-07-12T07:02:00.000Z,  今早除了蘋概3巨頭中的大立光、鴻海持續攻高，台積電走穩，加上群創 (3481) 、南亞科 (2408) 等雙D族群人氣續熱；金融股也在國泰金 (2882) 、富邦金 (2881) 走揚推升類股指數；隨著油價攀升，台塑 (1301) 今除息股價上揚。,4
2017-07-12T06:52:00.000Z,美國科技股表現強勢，支持台灣蘋概三王今早續強，大立光 (3008) 突破5400元，再創新天價，早盤鴻海 (2317) 、台積電 (2330) 穩站平盤之上；友達 (2409) 、群創 (3481) 、南亞科 (2408) 等雙D族群人氣續熱；金融股也在國泰金 (2882) 、富邦金 (2881) 走揚推升類股指數；加上台塑 (1301) 今除息股價勁揚，以及食品類股受惠肉品行情回升與中元節行情，跟上多頭隊伍。,13
2017-07-12T01:58:00.000Z,  今早除了蘋概3巨頭中的大立光、鴻海持續攻高，台積電走穩，加上友達 (2409) 、群創 (3481) 、南亞科 (2408) 等雙D族群人氣續熱；金融股也在國泰金 (2882) 、富邦金 (2881) 走揚推升類股指數；隨著油價攀升，台塑 (1301) 今除息股價勁揚，以及中鋼 (2002) 帶領鋼鐵股向上。,7
2017-07-17T06:53:00.000Z,傳產股方面，台塑四寶強扮撐盤要角，明日將配發現金股利的台塑化 (6505) 成領漲先鋒，台塑 (1301) 、台化 (1326) 及明日除息的南亞 (1303) 亦跟進走揚；造紙股今年營運展望看優，除息行情表現亮眼，榮成 (1909) 、寶隆 (1906) 填息達陣，華紙 (1905) 亦填息約7成。,6
2017-07-17T06:53:00.000Z,台股今日受惠台塑集團領軍的傳產股擔當攻堅主流，並由中華電 (2412) 、南亞科 (2408) 與台達電 (2308) 等電子股穩盤，化解國泰金 (2882) 、統一 (1216) 及面板族群拉回壓力，使盤勢在萬點之上穩步趨堅。,3
2017-07-18T07:07:00.000Z,周一美股三大指數幾近收平，台股今日受到南亞 (1303) 等13檔個股除權息影響，指數開低震盪，股王大立光 (3008) 強勢衝高成撐盤要角，尾盤在台積電 (2330) 、鴻海 (2317) 、南亞 (1303) 等權值股拉抬下，終場加權指數上漲23.72點為10481.26點，收在今日最高點，成交值為959.55億元。,5
2017-07-18T07:07:00.000Z,　電子權值股漲跌互見，蘋果三劍客今日聯手出擊，股王大立光 (3008) 以5450元改寫收盤新高價表現最猛，鴻海 (2317) 、台積電 (2330) 亦擺尾收紅，面板雙虎友達 (2409) 、群創 (3481) 同步勁揚逾2%，聯發科 (2454) 呈現壓回整理；傳產股方面，台塑集團宣布今年加薪3.88%，四寶股價表現淡定，台塑化 (6505) 、台塑 (1301) 、台化 (1326) 持穩，以今日除息的南亞 (1303) 表現較為強勢；汽車股三陽 (2206) 、和泰車 (2207) 除息首日表現兩樣情，三陽開盤差一點完成填息，和泰車卻呈現貼息窘境。,4
2017-07-18T02:35:00.000Z,美股周一三大指數漲跌互見，幾近收平，台股受南亞 （1303） 等13檔個股除權息影響，集中市場開盤下跌10.07點、為10447.47點，若扣除對指數約16.9點影響，仍呈現上漲態勢。,-1
2017-07-18T02:35:00.000Z,  傳產權值股表現亦大致持穩，今日除息4.5元、市值減少約356億元的南亞早盤上漲逾1％，穩健朝填息路前行，台塑化 （6505） 亦上漲0.5％。,1
2017-07-18T00:10:00.000Z,本週集中市場除息將影響指數49點，下週影響28點；今天有包括南亞 (1303) 等13檔個股除權息交易，加權股價指數開盤將蒸發16.9點。,0
2017-07-19T07:16:00.000Z,傳產股方面，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 同步走高；冠德集團旗下冠德 (2520) 、根基 (2546) 受到掏空案衝擊，除息首日同步壓回；誠品生 (2926) 董事長吳清友驟逝，股價小幅收黑。,0
2017-07-19T06:44:00.000Z,傳產權值股表現分歧，台塑 （1301） 、台化 （1326） 、南亞 （1303） 漲逾0.5％，中鋼 （2002） 則收跌近0.6％。,-2
2017-07-26T00:03:00.000Z,iPhone 6s下半年買氣有望回升，特別在印度和東南亞國協地區。,3
2017-07-27T07:05:00.000Z,Fed維持利率不變，激勵今新台幣兌美元飆升，進一步帶動台股資金行情，在鴻海、台積電及股王大立光等蘋概股領軍下，加上台塑四寶、聯發科 (2454) 及南亞科 (2408) 等權值股力挺多方，使指數順利收復月線、5日線及10500關卡。,7
2017-07-28T06:00:00.000Z,美國科技股回檔，費城半導體指數大跌1.62%，連帶影響台積電 (2330) 、聯電 (2303) 、日月光 (2311) 與南亞科 (2408) 等半導體股紛紛走跌，半導體類股指數重挫1.05%，為盤面弱勢指標。,-2
2017-07-31T07:16:00.000Z,台股今日在台積電、股王大立光聯袂走高，與富邦金、南亞 (1303) 等權值股穩盤下，使加權股價指數開低震盪趨堅，並拉出月線連8紅佳績。,0
2017-07-31T06:39:00.000Z,  今日台股權值股台積電 (2330) 、中鋼 (2002) 、南亞 (1303) 、台塑化 (6505) 、富邦金 (2882) 、鴻海 (2317) 、聯電 (2303) 、大立光 (3008) 穩盤，且最後一盤皆有不少買單挹注，推升台股今日收在10427點，小幅上漲，月線順利收紅，接下來蘋果財報公布在即，將成為電子股本周大盤表現重要關鍵。,7
2017-07-31T07:16:00.000Z,台股今日在台積電、股王大立光聯袂走高，與富邦金、南亞 (1303) 等權值股穩盤下，使加權股價指數開低震盪趨堅，並拉出月線連8紅佳績。,0
2017-07-31T06:39:00.000Z,  今日台股權值股台積電 (2330) 、中鋼 (2002) 、南亞 (1303) 、台塑化 (6505) 、富邦金 (2882) 、鴻海 (2317) 、聯電 (2303) 、大立光 (3008) 穩盤，且最後一盤皆有不少買單挹注，推升台股今日收在10427點，小幅上漲，月線順利收紅，接下來蘋果財報公布在即，將成為電子股本周大盤表現重要關鍵。,7
