PublishDate,Sentence,Score
2017-01-09T11:48:00.000Z,成交量前10名個股依次為：彩晶 (6116) 、友達 (2409) 、群創 (3481) 、榮成 (1909) 、元大滬深300正2（00637L）、元大台灣50反1（00632R）、聯電 (2303) 、新光金 (2888) 、中石化 (1314) 、台積電 (2330) 。,0
2017-01-12T10:26:00.000Z,成交量前10名個股依次為：大同 (2371) 、群創 (3481) 、友達 (2409) 、元大台灣50反1（00632R）、彩晶 (6116) 、元大金 (2885) 、台積電 (2330) 、新光金 (2888) 、中石化 (1314) 、元大滬深300正2（00637L）。,0
2017-01-20T11:43:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、群創 (3481) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、榮成 (1909) 、彩晶 (6116) 、元大滬深300正2（00637L）、華通 (2313) 、新光金 (2888) 。,0
2017-01-20T07:15:00.000Z,中石化 (1314) 旗下兩大主力石化產品AN、CPL供過於求市況獲明顯改善，加上各生產線本月開始進入全開盛況，外資近3交易日天天買超逾千張，今日突破盤整區間，收在10.35元，漲幅約3%，有意挑戰前波高點。,6
2017-01-24T10:34:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、群創 (3481) 、台積電 (2330) 、元大台灣50反1（00632R）、聯電 (2303) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-24T10:34:00.000Z,成交值前10名個股依次為：台積電 (2330) 、可成 (2474) 、大立光 (3008) 、大同 (2371) 、鴻海 (2317) 、華邦電 (2344) 、玉晶光 (3406) 、中石化 (1314) 、中華電 (2412) 、聯發科 (2454) 。,0
2017-01-24T06:54:00.000Z,傳產股方面，中石化 (1314) 因兩大龍頭廠Fibrant、BASF減產效應，開工率逼近滿載，今日交投火熱大漲近8%，改寫1年半新高；大同 (2371) 董監改選題材發燒，近半年股價漲3倍，今日直攻漲停板，改寫逾5年新高價；機捷開通倒數，榮運 (2607) 漲停封關，帶動概念股中櫃 (2613) 、遠雄港 (5607) 歡喜迎新春。,6
2017-01-24T02:54:00.000Z,中石化 (1314) 受惠於Fibrant、BASF兩大國際龍頭廠減產效應，開工率可望逼近滿載，今交投火熱，盤中成交量突破6萬大張，股價衝上11.25元、漲幅逾8%，改寫1年半新高。,6
2017-01-24T10:34:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、群創 (3481) 、台積電 (2330) 、元大台灣50反1（00632R）、聯電 (2303) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-24T10:34:00.000Z,成交值前10名個股依次為：台積電 (2330) 、可成 (2474) 、大立光 (3008) 、大同 (2371) 、鴻海 (2317) 、華邦電 (2344) 、玉晶光 (3406) 、中石化 (1314) 、中華電 (2412) 、聯發科 (2454) 。,0
