PublishDate,Sentence,Score
2018-06-01T03:38:00.000Z,至11時30分，加權指數來到10931.99點，上漲57.03點，成交金額新台幣880.65億元。,1
2018-06-04T07:12:00.000Z,美國經濟數據亮眼，且義大利政治危機稍解，激勵上周五美股強彈，台股今日開盤即飛越11000點，在雙王大立光 (3008) 及台積電 (2330) 領軍下，台郡 (6269) 、臻鼎-KY (4958) 、鴻海 (2317) 、揚明光 (3504) 、新鉅科 (3630) 等蘋概及光學股同步彈高，被動元件龍頭國巨 (2327) 重返千金，帶動光頡 (3628) 、智寶 (2375) 、凱美 (5317) 及鈞寶 (6155) 強攻漲停，配合生技、食品、水泥與塑化等群起攻之，盤中指數一路墊高並強取11100點，終場加權指數收在今日最高11109.5點，上漲160.42點，創下3月22日以來新高，成交值放大至1542.97億元。,10
2018-06-04T03:30:00.000Z,今天台股在上週五美股飆漲帶動下，指數開高走高，盤中大漲逾100點，站上11000點；上週五台股延續類股輪動態勢，指數盤堅走揚，收復10900點關卡並重新站回各期均線之上，儘管上週全球股市一度受到義大利及西班牙危機衝擊走弱，台股也曾受挫收長黑K，但隨後馬上就被紅K收復，本土投信法人積極買超中小型股及上櫃股票，帶動櫃買指數開低走高超越前高，且加權指數逐漸凸穿三角收斂，都是預告突破行情，加上籌碼方面雖然外資近期站在賣方，但內資信心強勁，顯示外資短線賣壓不影響多頭信心，這也反映在今天台股盤勢，今天台股指數放量上攻，站上11000點，企圖直取今年高點11120點，由於台股未現頹勢，若成交量能持續擴增，本週台股指數仍有高點可期。,12
2018-06-01T03:38:00.000Z,至11時30分，加權指數來到10931.99點，上漲57.03點，成交金額新台幣880.65億元。,1
2018-06-04T07:12:00.000Z,美國經濟數據亮眼，且義大利政治危機稍解，激勵上周五美股強彈，台股今日開盤即飛越11000點，在雙王大立光 (3008) 及台積電 (2330) 領軍下，台郡 (6269) 、臻鼎-KY (4958) 、鴻海 (2317) 、揚明光 (3504) 、新鉅科 (3630) 等蘋概及光學股同步彈高，被動元件龍頭國巨 (2327) 重返千金，帶動光頡 (3628) 、智寶 (2375) 、凱美 (5317) 及鈞寶 (6155) 強攻漲停，配合生技、食品、水泥與塑化等群起攻之，盤中指數一路墊高並強取11100點，終場加權指數收在今日最高11109.5點，上漲160.42點，創下3月22日以來新高，成交值放大至1542.97億元。,10
2018-06-04T03:30:00.000Z,今天台股在上週五美股飆漲帶動下，指數開高走高，盤中大漲逾100點，站上11000點；上週五台股延續類股輪動態勢，指數盤堅走揚，收復10900點關卡並重新站回各期均線之上，儘管上週全球股市一度受到義大利及西班牙危機衝擊走弱，台股也曾受挫收長黑K，但隨後馬上就被紅K收復，本土投信法人積極買超中小型股及上櫃股票，帶動櫃買指數開低走高超越前高，且加權指數逐漸凸穿三角收斂，都是預告突破行情，加上籌碼方面雖然外資近期站在賣方，但內資信心強勁，顯示外資短線賣壓不影響多頭信心，這也反映在今天台股盤勢，今天台股指數放量上攻，站上11000點，企圖直取今年高點11120點，由於台股未現頹勢，若成交量能持續擴增，本週台股指數仍有高點可期。,12
2018-06-05T07:09:00.000Z,科技、消費股走強，帶動周一美股三大指數上漲，那斯達克指數創收盤新高！台股延續昨日強登萬一關卡氣勢，一度衝上波段新高11131點，惟今日召開股東會的股后國巨 (2327) 獲利了結賣壓出籠，被動元件族群奇力新 (2456) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 跟進下殺打擊多頭士氣，指數一度下探11054.62點，所幸中環 (2323) 、錸德 (2349) 、晶電 (2448) 等中小型股突圍上攻，金融股強勢扮演穩盤要角，台積電 (2330) 擺尾收平，使大盤跌勢收斂，終場加權指數下跌9.39點為11100.11點，成交值放大至1618.3億元。,5
2018-06-06T02:43:00.000Z,到10點35分，台股加權指數來到11160.25點，上漲60.14點，漲幅0.54%，成交值新台幣848.21億元。,2
2018-06-07T07:05:00.000Z,美股在科技及金融股走強助威下，周三四大指數同步收高，台股今日持續受到鼓舞，早盤一度攻抵11261.68點，距離今年1月23日創下的11270高點僅差9點，盤面上以被動元件族群國巨 (2327) 、禾伸堂 (3026) 、華新科 (2492) 及高價股精測 (6510) 、精華 (1565) 、信驊 (5274) 等強撐人氣，特斯拉概念股貿聯-KY (3665) 、原相 (3227) 、美琪瑪 (4721) 、康普 (4739) 、和大 (1536) 亦不遑多讓火力全開，加上金融股持續登高力挺多方，終場加權指數上漲49.92點11251.75點，成交值放大至1876.85億元。,4
2018-06-07T03:00:00.000Z,約10時30分，台股加權指數來到11209.10點，上漲7.27點，成交值新台幣930.92億元。,1
2018-06-11T08:18:00.000Z,2016年10月7日，元大投信發行追蹤韓國KOSPI 200指數的「元大韓國ETF」在臺灣上市，韓國的未來資產管理公司發行追蹤臺灣加權指數的「TIGER TAIWAN TAIEX ETF」亦於同日在韓國上市，為臺韓雙方第一檔相互掛牌之商品。,0
2018-06-11T07:07:00.000Z,市場關注川金會發展，亞股今早漲跌互見，台股在蘋概股台積電 (2330) 、鴻海 (2317) 熄火，權值股表現平平下，指數呈現震盪走低，一度下探11118.81點，盤面以股后國巨 (2327) 領漲的被動元件族群以及矽晶圓族群嘉晶 (3016) 、環球晶 (6488) 、中美晶 (5483) 同步走強，二線光學股玉晶光 (3406) 、亞光 (3019) 和MOSFET概念股大中 (6435) 、富鼎 (8261) 與尼克森 (3317) 亦強勢大漲，支撐指數力守11100點之上，終場加權指數下跌7.19點為11149.23點，成交值縮至1531.26億元。,2
2018-06-11T06:39:00.000Z,市場關注川金會等國際局勢發展，台股加權指數今早開高後，受調節賣壓出籠拉回翻黑，在權值股表現偏弱，被動元件、MOSFET、矽晶圓領軍下，指數於平盤上下高檔震盪。,1
2018-06-11T06:39:00.000Z,終場加權指數小跌7.19點、收於11149.23點，成交量小降至1531.26億元。,-1
2018-06-11T05:31:00.000Z,證交所董事長許璋瑤說，台韓在2015年簽訂「第二號合作備忘錄」，雙方就合編指數、共同行銷、商品互掛及人員交流等面向合作，2016年元大投信發行追蹤韓國KOSPI 200指數的「元大韓國ETF」，韓國未來資產管理也發行追蹤台灣加權股價指數的「TIGER TAIWANTAIEX ETF」，為雙方資本市場互掛開創先河。,2
2018-06-11T03:19:00.000Z,台股加權指數今早開盤上漲12.57點、以11168.99點開出，一度上漲30.25點至11168.99點，惟隨後拉回翻黑，一度下跌37.61至1118.81點，再度出現開高走低的高檔盤整格局。,-2
2018-06-11T03:19:00.000Z,  截至10點50分，受權值股表現較弱影響，加權指數小跌6.13點、為11150.29點，今日成交量估逾1600億元。,-1
2018-06-12T07:15:00.000Z,市場聚焦今日於新加坡登場的世紀川金會，亞股呈現漲跌互見，台股在股王大立光 (3008) 熄火，股后國巨 (2327) 觸跌停衝擊下，指數一度跌破11100點、下探11088.53點，盤面以二線光學股、矽晶圓及MOSFET概念股表現相對亮眼，最後一盤在台積電 (2330) 擺甩拉抬下，終場加權指數下跌4.44點為11144.79點，成交值增為1796.12億元。,-2
2018-06-12T06:45:00.000Z,  分析師表示，中小型題材個股強勢，目前櫃買指數相對加權指數強勢，後續宜持續觀察量價表現，預計在未明顯失控的情況下，儘管中小型個股波動雖大，但依舊較為熱絡。,0
2018-06-13T07:10:00.000Z,聯準會宣布決議前市場謹慎觀望，周二美股漲跌互見，台股今日由雙王大立光 (3008) 及台積電 (2330) 聯手領軍，指數多持穩於11100點以上呈現小漲格局，雖被動元件、光碟、MOSFET族群漲多回檔，所幸國泰金 (2882) 、富邦金 (2881) 等金融股與台泥 (1101) 、南亞 (1303) 等傳產龍頭股擔任穩盤要角，使市場人氣持續熱絡，終場加權指數上漲28.42點為11173.21點，成交值1763.54億元，成交值增為1796.12億元。,6
2018-06-13T06:31:00.000Z,美股仍在高檔，科技股續強，台股由股王大立光 (3008) 以及台積電 (2330) 走揚領軍，鴻海 (2317) 收高；蘋概三王齊揚，加權指數穩在11100點以上，收盤漲28點至11173點，成交值1763億元。,5
2018-06-13T03:26:00.000Z,美股仍在高檔，科技股續強，台股由股王大立光 (3008) 以及台積電 (2330) 走揚領軍，加權指數穩在11100點以上，早盤呈現震盪小漲的格局，雖被動元件族群漲多回檔，由低位階個股接棒，人氣持續熱絡。,5
