PublishDate,Sentence,Score
2017-11-02T02:59:00.000Z,櫃買指數表現相對強勢，開盤上漲0.05點、為146.22點，隨後開高走高、再度向上拚戰新高，截至10點40分上漲0.75點、為146.92點。,5
2017-11-02T02:59:00.000Z,櫃買指數表現相對強勢，開盤上漲0.05點、為146.22點，隨後開高走高、再度向上拚戰新高，截至10點40分上漲0.75點、為146.92點。,5
2017-11-08T06:12:00.000Z,櫃買指數收在147.43點，盤中高點147.79點。,0
2017-11-08T06:12:00.000Z,元大投顧分析師薛舜日表示，外資進出動作趨緩，使台積電、鴻海等權值股相對偏弱，但內資轉向以中小型股為主的櫃買市場，櫃買指數再創近30個月新高。,2
2017-11-09T07:04:00.000Z,受到遊戲商走強、蘋果市值破9千億美元激勵，周三美股三大指數再創新高，台股今日在權值股走弱拖累指數開低，午盤過後受到櫃買指數下殺影響，鴻海 (2317) 、大立光 (3008) 等蘋概股及中小型電子股賣壓出籠，使加權指數一路殺破10800點、下探10721.87點，終場加權指數下跌75.72點為10743.21點，一舉跌破10800點、五日線及月線大關，成交值放大至1446.19億元。,-3
2017-11-09T06:36:00.000Z,台股開低後平盤上下游走，上半場指數還維持在10800點之上，市場大致呈觀望，大型權值股缺乏上漲動能，指數波動不大；但午盤過後櫃買指數開始下跌，集中市場隨後同步反應，10800點迅速失守，5日線和月線支撐力道也失靈。,-1
2017-11-10T06:18:00.000Z,法人指出，相對集中市場，櫃買指數今天相對強勢，不但漲幅超過1%，也幾乎收復昨天跌幅，週線收連2紅，在外資心態保守下，內資為主的中小型個股可望較有表現空間。,-1
2017-11-10T02:54:00.000Z,反觀櫃買指數雖9日也出現爆量重挫走勢，但今天盤中走勢相對持穩，且還站在月線145.39點之上，在第3季財報陸續公布期間，個股財報數字若優於預期，表現空間將較大盤凸出。,0
2017-11-13T04:27:00.000Z,　就技術面來看，受到前一日美股三大指數拉回影響，上周五台股以下跌30點10713點開出後，早盤賣壓湧現使指數一度探低至10659點，但隨即在可成、環球晶強勢拉抬，台積電、鴻海賣壓減緩帶動下，指數逐步收斂跌幅，終場指數以10732.67點作收，累計一周下跌68.1點，跌幅0.63%，周K收黑，5日均量1261億元，櫃買指數收147.39點，累計一周上漲0.88%。,0
2017-11-17T06:20:00.000Z,　櫃買市場方面，櫃買指數表現優於集中市場，盤中衝高到148.94點波段新高，終場以147.98點作收，上漲1.12點，漲幅0.76％，成交金額428.19億元。,5
2017-11-17T06:14:00.000Z,法人也認為，由於在第3季財報公告後至明年4月中前進入財報空窗期，對明年有想像題材的個股有機會率先突圍而出，尤其是櫃買指數今天盤中再創新高148.94點，內資偏好的中小型股將持續有創高契機。,8
2017-11-17T03:30:00.000Z,法人認為，以內資為主的櫃買指數今天盤中再創新高148.9點，顯示內資依舊找尋值得投資的標的，由於第4季向來是電子股旺季，加上到明年4月間屬於財報空窗期，若具有想像空間的題材，有機會在年底前展開攻勢。,9
2017-11-17T02:52:00.000Z,  分析師表示，目前全球資金充沛，今年以來季線與半年線持續提供多方強勁的保護，目前中長期均線上揚，預期將可成為下檔支撐，另外，相對集中市場的回測季線，櫃買指數仍持續月線上的多頭走勢，顯見多頭未退，僅是稍加轉換戰場，後續仍有回頭著墨的機會，預期在類股持續輪動下，可以留意明年展望佳的相關族群議題股。,8
2017-11-20T06:24:00.000Z,亞股今早普遍開低震盪，台股也在權值股台積電、鴻海、聯發科、大立光等開平走弱影響，震盪走低，以中小型股為主的櫃買指數相對抗跌。,-5
2017-11-22T06:07:00.000Z,此外，以中小型股為主的櫃買指數今天也創波段高點151.57點，同樣演出過關拉回戲碼，指數尾盤翻黑，收在149.82點，跌0.34點分析師表示，在國際股市助陣下，台股今天再寫波段新高，只不過高檔獲利了結者眾，台積電 (2330) 翻黑、大立光 (3008) 漲幅縮減、鴻海 (2317) 僅以平盤作收，金融雙箭頭富邦金 (2881) 、國泰金 (2882) 雖仍力挺在平盤之上，但收在相對低點。,4
2017-11-23T02:46:00.000Z,簡伯儀表示，櫃買指數OTC轉強，顯示市場信心穩健，昨天台股大量換手後，今天台股仍站穩各級均線之上，顯示大盤相對健康，若台股持續站穩均線，短期大盤可在月線約10751點之上緩步墊高。,6
2017-11-24T03:03:00.000Z,  今盤面類股指數漲跌互見，電子股依舊為盤面表現主軸，非電子股則以生醫族群相對領漲；年底作帳行情啟動，帶動近期中小型個股表現活躍，櫃買指數更勝集中市場指數，但今逢漲多調節壓力，櫃買指數表現降溫，惟目前技術面持續偏多，預計在短期修正將溫後，只要有題材、技術面甚至於籌碼面安定的個股，都還有機會加入輪動行列。,5
