PublishDate,Sentence,Score
2017-10-04T02:56:00.000Z,特別是2014年上次iPhone超級週期，雖然台股在新款iPhone發表的9月下跌5%，但隨後卻有5個月上漲，表現不容小覷。,0
2017-10-04T02:56:00.000Z,特別是2014年上次iPhone超級週期，雖然台股在新款iPhone發表的9月下跌5%，但隨後卻有5個月上漲，表現不容小覷。,0
2017-10-06T02:32:00.000Z,Famitsu指出，2017年度下半年期間(2017年10月-2018年3月)將有「超級瑪利歐 奧德賽(Super Mario Odyssey；Switch平台、10月27日開賣)」、「Pokemon UltraSun & UltraMoon (3DS平台遊戲、11月17日開賣)」和「魔物獵人世界(Monster Hunter World；PS4平台、2018年1月26日開賣)」等人氣遊戲新作將開賣，因此將關注日本電玩市場規模能否持續擴大。,2
2017-10-10T01:37:00.000Z,  原本各界期望蘋果執行長庫克能夠親臨台灣，然最後庫克指派營運長Jeff Williams前來致意，雖然少了庫克這位超級ＶＶＩＰ，但包含輝達創辦人兼執行長黃仁勳、高通執行長莫倫科夫等八位半導體重量級人士，都將前來站台，預料將掀起全球注目。,3
2017-10-11T02:38:00.000Z,（中央社記者鍾榮峰台北2017年10月11日電）iPhone X備受矚目，凱基投顧分析師郭明錤報告預期，基於3大理由，2018年才是iPhone真正的超級週期，預估明年iPhone出貨量可達2.45億支到2.55億支。,1
2017-10-11T02:38:00.000Z,郭明錤認為，2018年才是iPhone真正的超級週期，主要有3大原因，首先今年遇到的TrueDepth相機生產問題，將在2018年顯著改善；其次，2018年新機種銷售時間較今年長；再者，2018年新款iPhone的產品組合、規格與設計更具競爭力。,3
2017-10-23T08:09:00.000Z,他指出，過去有超級電腦，但從蘋果推出iPhone4後，就將超級電腦的能力都整合到iPhone4了。,2
2017-10-27T07:08:00.000Z,美股在超級財報周帶動下，周四四大指數漲多跌少，台股今日追隨亞股腳步開高，在蘋概股天王台積電 (2330) 等領軍下，指數一度飛越10800點至10803.6點，再創27年新高，惟盤中隨即調節賣壓湧現，大立光 (3008) 、鴻海 (2317) 雙雙翻黑，衝擊市場信心，終場加權指數下跌25.65點為10709.11點，成交值放大至1463.72億元；本周台股下跌19.77點、周線收黑K。,2
2017-10-27T03:07:00.000Z,美股在超級財報周帶動下，四大指數漲多跌少，僅那斯達克收跌7.12點，亞股全面走揚，台股亦開高走高，指數一度帶量飛越10800點，最高衝上10803點，加權指數再創新高，惟盤中隨即調節賣壓湧現，一度將指數壓回近平盤位置；目前時序正值法說會旺季，可以留意電子業第三季優質獲利表現及第四季展望佳的族群個股。,13
2017-10-31T03:59:00.000Z,MoneyDJ新聞 2017-10-31 11:58:59 記者 陳苓 報導三星電子準備按下毀滅開關，記憶體的超級週期將畫上句點？據傳三星為了防止陸廠染指DRAM，打算大舉擴產，未來全球DRAM產出可能一舉暴增20%。,1
2017-10-31T02:49:00.000Z,MoneyDJ新聞 2017-10-31 10:49:56 記者 陳苓 報導記憶體進入超級週期，買氣搶搶滾，三星電子第三季財報再次交出破表佳績。,0
2017-10-31T03:59:00.000Z,MoneyDJ新聞 2017-10-31 11:58:59 記者 陳苓 報導三星電子準備按下毀滅開關，記憶體的超級週期將畫上句點？據傳三星為了防止陸廠染指DRAM，打算大舉擴產，未來全球DRAM產出可能一舉暴增20%。,1
2017-10-31T02:49:00.000Z,MoneyDJ新聞 2017-10-31 10:49:56 記者 陳苓 報導記憶體進入超級週期，買氣搶搶滾，三星電子第三季財報再次交出破表佳績。,0
