PublishDate,Sentence,Score
2017-10-05T04:03:00.000Z,研調機構IC Insights最新報告指出，中國大陸晶圓代工市場今年估將年增16%至近70億美元規模，台積電 (2330) 在中國市場的市占率估達46%居龍頭地位，且包括台積電、聯電 (2303) 等多家晶圓代工業者持續在中國新建廠房。,2
2017-10-05T04:03:00.000Z,  IC Insights表示，IC設計廠崛起，帶動中國大陸晶圓代工需求升溫，預估今年大陸晶圓代工市場規模將逼近70億美元，將增加16%，增幅將是整體晶圓代工市場的1倍以上。,2
2017-10-05T04:03:00.000Z,  IC Insights指出，台積電今年大陸市場業績估約31.7億美元，占公司整體營收比重約1成；台積電大陸市占率將達46%，穩居龍頭地位。,2
2017-10-05T04:03:00.000Z,  中芯今年大陸市場業績估約14.55億美元，大陸市占率將約21%，為第2大廠。,0
2017-10-05T04:03:00.000Z,聯電今年大陸市場業績估約6.35億美元，占整體營收比重約13%，大陸市場占有率約9%，將為第3大廠。,0
2017-10-05T04:03:00.000Z,  IC Insights指出，大陸晶圓代工市場高度成長，多數晶圓代工廠已規畫未來幾年在大陸擴大生產的計畫。,3
2017-10-05T04:01:00.000Z,根據市調單位IC Insights最新預測數據顯示，今年大陸晶圓代工市場規模將逼近70億美元，年增16%，當中市占率最高的還是台積電，其次是中芯國際，聯電排老三。,2
2017-10-05T04:01:00.000Z,　　中國大陸政府砸大錢扶植本土的半導體產業，加上大陸IC設計業者大舉崛起，對晶圓代工需求日甚，兩相加總下，今年中國大陸晶圓代工市場規模，今年可望逼近70億美元，不單年增16%，增幅將是整體晶圓代工市場的1倍以上，占整體晶圓代工比重將達13%，凸顯出中國大陸晶圓代工產業崛起速度之快。,1
2017-10-05T04:01:00.000Z,　　另外，若光以今年大陸晶圓代工市場來說，台積電今年在大陸的業績規模雖然僅約31.7億美元，但台積電在中國大陸的市占率，高達46%，龍頭霸主地位無法撼動。,0
2017-10-05T04:01:00.000Z,而中芯國際今年大陸市場業績約14.55億美元，在大陸市場的占有率約21%，為老二，聯電則是在中國大陸市占率第三的晶圓代工廠，今年大陸市場業績約6.35億美元，大陸市占率約9%。,-1
