PublishDate,Sentence,Score
2018-12-19T23:49:00.000Z,遊戲公司紅心辣椒 (4946) 因有重大事項待公布，上櫃有價證券自20日起暫停交易。,0
2018-12-19T23:49:00.000Z,紅心辣椒今年啟動轉型，從原本的純代理營運轉為自製、代理營運兩路並進，首款自製手機遊戲「真三國無雙．斬」9月在日本推出後成績亮眼。,2
2018-12-21T07:07:00.000Z,遊戲股受到陸遊戲版號傳出開放消息鼓舞，大宇資 (6111) 一度觸頂，傳奇 (4994) 、橘子 (6180) 、辣椒 (4946) 聯袂反彈。,3
2018-12-21T06:23:00.000Z, 強勢族群方面，傳出大陸遊戲版號開放，帶動遊戲股慶祝行情，大宇資 (6111) 盤中一度出漲停，傳奇 (4994) 亦大漲5%，其它包括橘子 (6180) 、辣椒 (4946) 等也強勁反彈；節能族群方面，綠能 (3519) 今打開跌停，終場收在小漲位置，帶動茂迪 (6244) 也大漲逾3.7%；食品股由龍頭統一 (1216) 領軍，統一挾著東北亞布局跨出大步，多方回穩守在70元以上，帶動南僑 (1702) 、卜蜂 (1215) 、環泰 (4207) 等聯袂揚升，上市食品類股指數逆勢走揚。,10
2018-12-21T02:18:00.000Z, 今八大類股幾乎全數走跌，僅水泥股守穩紅盤，盤面少數領漲標的聚焦題材個股，辣椒 (4946) 投資逾4000萬元買下辣椒方舟 (6611) 35.1%股權，帶動今辣椒震盪走揚，盤中漲幅逾2%，方舟更是大幅逾20%；昂寶-KY (4947) 今年業績續創高成定局，今股價放量大漲4%；比特幣大漲，帶動撼訊 (6150) 大漲逾6%、映泰 (2399) 也上漲逾4%。,7
2018-12-12T23:05:00.000Z,除華為、OPPO、小米、Vivo等中國主要智慧手機廠之外，三星在中國市場的銷售量還輸給小辣椒、SUGAR、CMCC等中小品牌，上季市佔率僅排在第11位。,2
2018-12-19T23:49:00.000Z,遊戲公司紅心辣椒 (4946) 因有重大事項待公布，上櫃有價證券自20日起暫停交易。,0
2018-12-19T23:49:00.000Z,紅心辣椒今年啟動轉型，從原本的純代理營運轉為自製、代理營運兩路並進，首款自製手機遊戲「真三國無雙．斬」9月在日本推出後成績亮眼。,2
2018-12-21T07:07:00.000Z,遊戲股受到陸遊戲版號傳出開放消息鼓舞，大宇資 (6111) 一度觸頂，傳奇 (4994) 、橘子 (6180) 、辣椒 (4946) 聯袂反彈。,3
2018-12-21T06:23:00.000Z, 強勢族群方面，傳出大陸遊戲版號開放，帶動遊戲股慶祝行情，大宇資 (6111) 盤中一度出漲停，傳奇 (4994) 亦大漲5%，其它包括橘子 (6180) 、辣椒 (4946) 等也強勁反彈；節能族群方面，綠能 (3519) 今打開跌停，終場收在小漲位置，帶動茂迪 (6244) 也大漲逾3.7%；食品股由龍頭統一 (1216) 領軍，統一挾著東北亞布局跨出大步，多方回穩守在70元以上，帶動南僑 (1702) 、卜蜂 (1215) 、環泰 (4207) 等聯袂揚升，上市食品類股指數逆勢走揚。,10
2018-12-21T02:18:00.000Z, 今八大類股幾乎全數走跌，僅水泥股守穩紅盤，盤面少數領漲標的聚焦題材個股，辣椒 (4946) 投資逾4000萬元買下辣椒方舟 (6611) 35.1%股權，帶動今辣椒震盪走揚，盤中漲幅逾2%，方舟更是大幅逾20%；昂寶-KY (4947) 今年業績續創高成定局，今股價放量大漲4%；比特幣大漲，帶動撼訊 (6150) 大漲逾6%、映泰 (2399) 也上漲逾4%。,7
