PublishDate,Sentence,Score
2018-10-04T07:17:00.000Z,其餘傳產股普遍弱勢，包括統一 (1216) 、台泥 (1101) 、台塑化 (6505) 等權值股無力撐盤，拖累大盤表現。,-5
2018-10-04T06:14:00.000Z,傳統產業股也普遍走跌，包括台泥 (1101) 、統一 (1216) 、南亞 (1303) 、遠東新 (1402) 與台塑化 (6505) 等權值股股價同步下挫，連帶影響大盤指數重挫。,-3
2018-10-19T07:04:00.000Z,水泥股台泥 (1101) 、亞泥 (1102) 、環泥 (1104) 第四季營收可望逐月成長，惟股價未獲漲升。,1
2018-10-23T07:09:00.000Z,　權值股今日慘遭空方重擊，包括台積電 (2330) 、大立光 (3008) 、南亞科 (2408) 、台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 與金融股國泰金 (2882) 、富邦金 (2881) 等同聲走疲，被動元件族群國巨 (2327) 、華新科 (2492) 亦不敵賣壓雙雙翻黑重挫，重創市場投資信心！傳產股亦哀鴻遍野，水泥雙雄台泥 (1101) 、亞泥 (1102) 雙殺逾4%，拖累類股跌勢最重，其餘包括電纜、紡纖、電機、玻璃、生技股均下跌逾2%；店頭市場表現方面，上櫃新兵均華 (6640) 及天正國際 (6654) 受到大盤重挫影響，未能上演蜜月行情，生醫股有股王精華 (1565) 、大江 (8436) 、基亞 (3176) 當靠山，跌勢相對輕微。,-5
2018-10-24T06:40:00.000Z,傳產大型權值股台泥 (1101) 、中鋼補跌。,-1
2018-10-24T02:52:00.000Z,傳產大型權值股台泥 (1101) 、中鋼補跌。,-1
2018-10-25T07:05:00.000Z,傳產股中僅剩龍頭股統一 (1216) 、台塑化 (6505) 撐盤的食品及油電燃氣股力抗空頭，水泥股在外資進場點火雙雄台泥 (1101) 、亞泥 (1102) 下跌勢收斂。,-1
2018-10-25T02:10:00.000Z, 今盤面八大類股僅剩食品股相對持穩，反彈約0.2%，統一 (1216) 、安心 (1259) ，水泥股則持續下探，台泥 (1101) 股價更創今年新低。,-1
2018-10-26T07:13:00.000Z,水泥股龍頭台泥 (1101) 宣布投資11億美元搶進土耳其市場，惟多頭不買單，表現虎頭蛇尾，拖累類指壓回2%。,1
2018-10-26T00:16:00.000Z,台泥董事會25日深夜通過設立全資荷蘭子公司Dutch TCC Holding，並與土耳其最大水泥集團OYAK成立合資公司JVC，台泥持股4成，若達成協議，JVC可獲OYAK所有土耳其水泥市場。,3
