PublishDate,Sentence,Score
2018-08-01T07:16:00.000Z,台股今日台積電 (2330) 扮演多頭先鋒，帶動蘋概股可成 (2474) 、良維 (6290) 同步勁揚，使指數維持萬一之上強勢整理，痛失股后寶座的國巨 (2327) 午盤過後向上走高，激勵被動元件族群奇力新 (2456) 反彈，配合聯發科 (2454) 利空出盡強勢大漲及水泥雙雄聯手反彈，推升指數一度攻上11100點，終場加權指數上漲40.62點為11098.13點，成交值為1436.1億元。,12
2018-08-01T06:41:00.000Z,台股權值最大的台積電 (2330) 領軍再攀高，台股早盤穩在1萬1000點之上強勢整理，金融股盤中翻紅走高，尾盤收高40點至11098點，逼近11100點高檔反壓。,5
2018-08-01T03:00:00.000Z,（中央社記者田裕斌台北2018年8月1日電）蘋果(Apple)財報優於預期，帶動蘋果概念股獲得資金青睞，尤其台積電 (2330) 扮演領軍角色，指數向上攀高挑戰11100點，分析師表示，指數可望挑戰前高。,6
2018-08-03T07:10:00.000Z,分析師表示，被動元件龍頭國巨今籠罩多空消息夾雜中，似有多方略勝一籌，出現止跌回穩跡象，但待底部訊號浮現前，仍宜以靜制動；台股今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。,-2
2018-08-03T06:03:00.000Z,分析師表示，目前盤面上缺乏主流，多屬於反映消息面或是財報利多單的，只是今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。,0
2018-08-01T07:16:00.000Z,台股今日台積電 (2330) 扮演多頭先鋒，帶動蘋概股可成 (2474) 、良維 (6290) 同步勁揚，使指數維持萬一之上強勢整理，痛失股后寶座的國巨 (2327) 午盤過後向上走高，激勵被動元件族群奇力新 (2456) 反彈，配合聯發科 (2454) 利空出盡強勢大漲及水泥雙雄聯手反彈，推升指數一度攻上11100點，終場加權指數上漲40.62點為11098.13點，成交值為1436.1億元。,12
2018-08-01T06:41:00.000Z,台股權值最大的台積電 (2330) 領軍再攀高，台股早盤穩在1萬1000點之上強勢整理，金融股盤中翻紅走高，尾盤收高40點至11098點，逼近11100點高檔反壓。,5
2018-08-01T03:00:00.000Z,（中央社記者田裕斌台北2018年8月1日電）蘋果(Apple)財報優於預期，帶動蘋果概念股獲得資金青睞，尤其台積電 (2330) 扮演領軍角色，指數向上攀高挑戰11100點，分析師表示，指數可望挑戰前高。,6
2018-08-03T07:10:00.000Z,分析師表示，被動元件龍頭國巨今籠罩多空消息夾雜中，似有多方略勝一籌，出現止跌回穩跡象，但待底部訊號浮現前，仍宜以靜制動；台股今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。,-2
2018-08-03T06:03:00.000Z,分析師表示，目前盤面上缺乏主流，多屬於反映消息面或是財報利多單的，只是今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。,0
2018-08-07T06:06:00.000Z,分析師表示，台股今天在亞股中獨弱，主要受到台積電影響，不過由於國際股市趨穩，台股待台積電持穩後，可望向上突圍，不過短線危機在於量能出現萎縮跡象，在成交值未達1500億元以上前，台股要站穩11100點有難度。,-1
2018-08-06T23:46:00.000Z,法人認為，台股短線在11000點附近徘徊，在無新主流有效帶領多頭下，近期量能萎縮，指數若要衝破11100點，成交值最好能增溫至1500億元之上，才能有效化解6月上旬的套牢賣壓。,3
2018-08-08T07:17:00.000Z,台股在三巨頭台積電 (2330) 擺脫病毒陰霾大漲，大立光 (3008) 、鴻海 (2317) 緊跟在後，加上國泰金 (2882) 、元大金 (2885) 等金融股助攻，推升加權指數開高走高，盤中一度大漲逾百點，進逼11100點高檔，表現相對亞股強勢，午盤過後受到被動元件股國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 、齊力新 (2456) 等翻黑殺低，以中小型股為主的店頭市場賣壓相繼出籠，終場以下跌1.14點或0.75%作收；加權指數則收漲91.81點為11075.25點，收復11000點關卡，成交值放大至1384.33億元。,3
2018-08-08T06:06:00.000Z,台股在台積電 (2330) 股價大漲6元作收，以及金融股助攻，加權指數開高走高，盤中大漲逾百點，一度逼近11100點高檔，收盤漲91點至11075點，重回1萬1千點之上；今日成交值1134億元。,4
2018-08-08T06:06:00.000Z, 美股續強，台積電ADR收高，今台積電開高走高，大漲6元回到本波高點且收復先前利空失土；金融以國泰金 (2882) 、富邦金 (2881) 走穩以及元大金 (2885) 帶量攻高，金融股指數上攻，加上台塑 (1301) 、南亞 (1303) 等原物料權值股穩健上揚；電金傳大型股均走高，台股不但回到1萬1千點之上，且盤中漲幅逾百點，一度攀高至11090點以上，再度進逼11100點。,6
2018-08-08T05:58:00.000Z,（中央社記者田裕斌台北2018年8月8日電）台積電 (2330) 回神吹起反攻號角，台股今天在亞股表現相對亮眼，盤中一度大漲112點，逼近11100點，不過被動元件尾盤急挫拖累盤勢，漲幅收斂。,2
2018-08-08T03:03:00.000Z,台股在台積電 (2330) 股價大漲並收復失土，以及金融股助攻，加權指數開高走高，盤中大漲逾百點，重回近11100點高檔，漲幅近1%，技術面強勢，且今日表現相對亞股強勢。,7
2018-08-08T03:03:00.000Z, 美股續強，台積電ADR收高，今台積電 (2330) 開高走高，盤中大漲5.5元至247元回到本波高點；金融以國泰金 (2882) 、富邦金 (2881) 走穩以及元大金 (2885) 帶量攻高，金融股指數上攻，加上台塑 (1301) 、南亞 (1303) 等穩健上揚；電金傳大型股均走高，台股不但回到1萬1千點之上，且盤中漲幅逾百點，至11090點以上，再度進逼11100點。,6
2018-08-08T02:57:00.000Z,（中央社記者田裕斌台北2018年8月8日電）台積電 (2330) 擺脫病毒陰霾，盤中大漲超過2%，帶領台股演出開高走高的大漲行情，指數盤中上漲超過100點，不但站回11000點，更蓄勢挑戰11100點。,2
2018-08-08T02:57:00.000Z,分析師表示，難能可貴的是，台股今天成交量明顯增溫，預估可超過1400億元，可望創下8月以來新大量，若尾盤站上11100點，技術面上即可吞噬2日長黑K棒，多方將重掌發球權。,4
2018-08-08T00:41:00.000Z,分析師表示，國際股市重啟多頭，台股卻在台積電壓力下，仍在11000點附近徘徊，所幸台積電美國存託憑證(ADR)小漲0.41%，加上國際股市走揚，可望帶動台股再登11000點之上，上攻11100點。,2
2018-08-09T03:12:00.000Z,凱基投顧表示，雖然台股仍在11100點附近，電子類股未破459.5點壓力區，但市場寄望蘋果新機帶動供應鏈，相關個股的股價並未明顯表態，漲價概念股被動元件族群轉弱後，就算有基本面利多，在多空角力下仍漲不動，促使大盤陷入區間整理格局。,1
2018-08-13T02:25:00.000Z,在美元持續走強下，後續外資對台股操作恐趨保守，台股短線估震盪拉回，預估本周指數於10800～11100點區間盤整。,0
