PublishDate,Sentence,Score
2017-05-11T07:07:00.000Z,傳產股方面，因中東齋戒月提前展開及美油庫存連跌5周，台塑四寶台化 (1326) 、台塑化 (6505) 、台塑 (1301) 、南亞 (1303) 動起來。,-1
2017-05-15T07:00:00.000Z,台股今日受惠電子、金融雙主流強勢攻堅，配合台塑化 (6505) 、台泥 (1101) 等傳產權值股穩盤，帶動指數震盪走高，再度收復萬點大關，創下近17年收盤新高水準，為520總統就職周年慶行情提前舖路。,8
2017-05-17T06:58:00.000Z,美國庫存意外增加，造成油價下滑，台塑化 (6505) 受衝擊走弱，收盤跌幅逾2%，進而拖累油電類股指數下跌2.18%，成為今日最弱勢的一群。,-7
2017-05-22T07:09:00.000Z,傳產股方面，油價站回50美元，台塑集團南亞 (1303) 、台化 (1326) 、台塑化 (6505) 領軍突圍，二線塑化股華夏 (1305) 、台苯 (1310) 、台達化 (1309) 緊跟在後。,2
2017-05-22T07:09:00.000Z,台股受惠台積電、鴻海、和碩 (4938) 與大立光等蘋概股拉尾盤，配合台化、台塑化等傳產權值股助攻，使盤勢開高走高，終場收復五日線，距離萬點大關不到3點。,2
2017-05-22T06:47:00.000Z,大立光 (3008) 及台積電 (2330) 搭汽車擺尾，台股萬點只差3點！　台股今天隨全球股市擺脫川普政治風暴，由Tesla概念股及車用零組件個股領軍，江申 (1525) 率先強攻漲停板，貿聯-KY (3665) 、和大 (1536) 、健和興 (3003) 、順德 (2351) 等Tesla供應商，以及胡連 (6279) 等同步收高，讓市場多頭再起，中場過後，績優及具題材的中小型股裕融 (9941) 、晶達 (4995) 、岳豐 (6220) 、華擎 (3515) 、中和 (1439) 、康樂-KY (4154) 、京晨科 (6419) 及新鉅科 (3630) 等強攻漲停板作收，台積電 (2330) 、大立光 (3008) 及台塑化 (6505) 亦在尾盤強勢收高，讓台股指數以今天最高點作收，順利站回5日線，逼近萬點關卡，惟美中不足是今天成交量仍是不足，僅700多億元，終場加權股價指數為9997.26點，上漲49.64點，成交量為701.72億元；OTC指數收盤為132.93點，上漲0.4點，成交量為238.24億元。,6
2017-05-24T07:00:00.000Z,傳產股方面，鋼鐵股龍頭中鋼 (2002) Q3盤價跌幅估降，激勵中鴻 (2014) 、新光鋼 (2031) 攜手攻高；外資看好今年油價可望衝上60美元，台塑化 (6505) 、台塑 (1301) 聞訊走揚；食品股泰山 (1218) 盤中亮燈漲停，帶動大成 (1210) 、卜蜂 (1215) 跟進大漲。,8
2017-05-24T07:00:00.000Z,台股在端節長假前夕送出大禮，今日由高價小型股扮攻堅主軸，搭配台塑化、廣達 (2382) 與聯發科等權值股穩盤，盤中高點10059.74點與收盤指數10044.42點，雙創近17年來新高水準，惟單日成交值僅793.3億元，呈現價量背離窘境。,0
2017-05-31T07:05:00.000Z,台塑 (1301) 河靜鋼廠傳出試車爆炸已遭否認，四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 尚稱穩健，台塑化 (6505) 逆勢走高1.8%。,1
2017-05-31T07:05:00.000Z,台塑 (1301) 河靜鋼廠傳出試車爆炸已遭否認，四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 尚稱穩健，台塑化 (6505) 逆勢走高1.8%。,1
