PublishDate,Sentence,Score
2018-04-02T07:10:00.000Z,  今日類股表現，以化工及化生醫類股、電纜股表現較佳，玻璃、油電、光電賣壓重。,-1
2018-04-02T07:10:00.000Z,"由於4月不確定因素提升，且11,000點壓力不易克服，宜採取各別操作，目前為年報公布時期，可留意題材面且兼具財務表現佳的個股，具有漲價題材的被動元件，受惠於高殖利率題材的發酵族群可多關注，風電、生技亦有表現機會。",5
2018-04-02T06:53:00.000Z,　國泰證期顧問處協理簡伯儀表示，指數在克服月線、10日線，5日均線也已經出現止跌翻揚，由於5日線自從3月20日失守後至今僅有一天站上外，其餘收盤均在5日線之下，因此，短線能夠扭轉5日線下彎的趨勢對於短多有相當的幫助。,1
2018-04-02T03:06:00.000Z,（中央社記者潘智義台北2018年4月2日電）台北股市今天以平高盤開出後，指數緩步向上，但近10時40分左右翻黑，跌破10900點整數關卡。,-2
2018-04-02T03:06:00.000Z,因此，內資著墨的生技股、風力發電概念股都有表現。,0
2018-04-03T07:24:00.000Z,由於IOPs高速效能將可為客戶應用產品帶來速度上的極大優勢，協助客戶拓展頂級儲存應用市場，包括有人工智慧(AI)、電競PC/筆電、商務行動SSD，以及中小型企業建置虛擬主機之伺服器等企業級高階儲存，因此PS5012-E12甫推出目前已經深獲一線國際大廠青睞。,7
2018-04-03T07:14:00.000Z,　5日RSI為34.23，10日RSI為42.97，9日K值為35.02，9日D值為38.94，20日乖離率為-1.10。,0
2018-04-03T00:17:00.000Z,　華南永昌證金商部表示，在權證篩選上，選擇以價外20％至價內10％區間的權證為主。,0
2018-04-03T00:17:00.000Z,更多權證資訊可上「華南永昌權證網」（http：//warrants.entrust.com.tw/）查詢。,0
2018-04-04T01:34:00.000Z,蘋果這項計畫代號為「Kalamata」，目前仍處於早期開發階段，業界分析蘋果此舉主要是要讓Mac與iPhone、iPad在內的所有蘋果產品的軟硬體，能夠相互相容及整合，不僅可掌握更大自主權，也不必遷就於英特爾新款處理器的推出時間。,4
2018-04-02T07:10:00.000Z,  今日類股表現，以化工及化生醫類股、電纜股表現較佳，玻璃、油電、光電賣壓重。,-1
2018-04-02T07:10:00.000Z,"由於4月不確定因素提升，且11,000點壓力不易克服，宜採取各別操作，目前為年報公布時期，可留意題材面且兼具財務表現佳的個股，具有漲價題材的被動元件，受惠於高殖利率題材的發酵族群可多關注，風電、生技亦有表現機會。",5
2018-04-02T06:53:00.000Z,　國泰證期顧問處協理簡伯儀表示，指數在克服月線、10日線，5日均線也已經出現止跌翻揚，由於5日線自從3月20日失守後至今僅有一天站上外，其餘收盤均在5日線之下，因此，短線能夠扭轉5日線下彎的趨勢對於短多有相當的幫助。,1
2018-04-02T03:06:00.000Z,（中央社記者潘智義台北2018年4月2日電）台北股市今天以平高盤開出後，指數緩步向上，但近10時40分左右翻黑，跌破10900點整數關卡。,-2
2018-04-02T03:06:00.000Z,因此，內資著墨的生技股、風力發電概念股都有表現。,0
