PublishDate,Sentence,Score
2017-12-01T13:05:00.000Z,各產業上市股票成交金額前3名及占比分別為半導體類2067.77億元、占26.82%，光電類1247.21億元、占16.18%，電子零組件類1030.69億元、占13.37%。,0
2017-12-01T08:55:00.000Z,  分析師表示，目前有鑑於台股技術及籌碼面尚未出現明顯反轉跡象，加上美稅改不確定性升溫，半導體前景亦出現雜音，短線建議保守操作，另外，儘管連日來破底的台積電今天止穩，只是鴻海、大立光仍持續下滑，其中大立光的M頭已然成形，相較不利於未來走勢，預計短線資金會陸續轉進傳產和金融類股。,-7
2017-12-01T02:31:00.000Z,　儘管美股再創新高，本週台股受到外資調降台積電 (2330) 等半導體個股投資評等影響，指數連日下挫，大立光也因外資及投信賣超，股價連番破底，今天盤中股價更大跌400元，失守至5000元關卡，更創下2017年6月16日以來新低。,0
2017-12-04T10:23:00.000Z,葉鴻儒指出，由於台股本波多頭仰賴的重心就在科技股，但近期半導體供應鏈承壓，當電子領頭羊轉弱，對整體盤勢將造成影響，因此，包括權值股龍頭、股王等指標股價是否回穩，是未來必須持續觀察的焦點。,1
2017-12-04T03:59:00.000Z,亞系外資表示，台股加權指數11月下跌2.2%，主要受到外資賣超和科技股下挫影響，預估台股目標2017年底10800點、2018年底11300點，並看好在半導體族群成長、iPhone X強勁週期帶動下，明年科技股表現仍將優於大盤。,1
2017-12-04T02:05:00.000Z,韓媒etnews 4日報導(見此)，三星平澤廠區的半導體一號廠，共有兩層樓。,0
2017-12-04T02:05:00.000Z,半導體一號廠的一樓設有餐廳和辦公室等，剩餘空間較少，每月只能生產10萬組晶片。,2
2017-12-01T13:05:00.000Z,各產業上市股票成交金額前3名及占比分別為半導體類2067.77億元、占26.82%，光電類1247.21億元、占16.18%，電子零組件類1030.69億元、占13.37%。,0
2017-12-01T08:55:00.000Z,  分析師表示，目前有鑑於台股技術及籌碼面尚未出現明顯反轉跡象，加上美稅改不確定性升溫，半導體前景亦出現雜音，短線建議保守操作，另外，儘管連日來破底的台積電今天止穩，只是鴻海、大立光仍持續下滑，其中大立光的M頭已然成形，相較不利於未來走勢，預計短線資金會陸續轉進傳產和金融類股。,-7
2017-12-01T02:31:00.000Z,　儘管美股再創新高，本週台股受到外資調降台積電 (2330) 等半導體個股投資評等影響，指數連日下挫，大立光也因外資及投信賣超，股價連番破底，今天盤中股價更大跌400元，失守至5000元關卡，更創下2017年6月16日以來新低。,0
2017-12-04T10:23:00.000Z,葉鴻儒指出，由於台股本波多頭仰賴的重心就在科技股，但近期半導體供應鏈承壓，當電子領頭羊轉弱，對整體盤勢將造成影響，因此，包括權值股龍頭、股王等指標股價是否回穩，是未來必須持續觀察的焦點。,1
2017-12-04T03:59:00.000Z,亞系外資表示，台股加權指數11月下跌2.2%，主要受到外資賣超和科技股下挫影響，預估台股目標2017年底10800點、2018年底11300點，並看好在半導體族群成長、iPhone X強勁週期帶動下，明年科技股表現仍將優於大盤。,1
2017-12-04T02:05:00.000Z,韓媒etnews 4日報導(見此)，三星平澤廠區的半導體一號廠，共有兩層樓。,0
2017-12-04T02:05:00.000Z,半導體一號廠的一樓設有餐廳和辦公室等，剩餘空間較少，每月只能生產10萬組晶片。,2
2017-12-05T02:04:00.000Z,韓媒etnews 4日報導，三星平澤廠區的半導體一號廠，共有兩層樓。,0
2017-12-05T00:36:00.000Z,MoneyDJ新聞 2017-12-05 08:36:39 記者 陳苓 報導半導體產業協會(SIA)4日公布，2017年10月份全球半導體銷售額為371億美元，再破空前新高。,1
2017-12-05T00:36:00.000Z,世界半導體貿易統計組織(World Semiconductor Trade Statistics，WSTS)上修年度展望，估計今年銷售額將成長20.6%、明年續增7.0%。,4
2017-12-05T00:36:00.000Z,"SIA總裁兼執行長John Neuffer聲明稿指出，全球半導體市場10月份持續大幅擴張，銷售創下單月新高，今年全年即將超過4,000億美元。",1
2017-12-05T00:36:00.000Z,市場不斷成長，部分原因是記憶體需求暢旺，不過其他半導體的合併銷售也有可觀提升，強健買氣橫跨各類別。,3
2017-12-05T00:36:00.000Z,"(詳細數據)費城半導體指數4日重挫2.45%、收1,227.85點，為10月27日以來收盤新低。",-1
2017-12-06T06:11:00.000Z,  美國科技股反彈無力，周二美股尾盤加速走跌，三大指數全面收黑，道瓊工業指數跌逾百點，費城半導體指數勉強收紅。,-4
2017-12-06T06:11:00.000Z,  受到美股本周費城半導體指數持續下挫，台股電子股指數周二摜破半年線支撐，周二台股收跌84點在10566點。,-2
2017-12-06T06:01:00.000Z,國泰證期指出，受到美國股市走弱，加上國內企業11月營收不如預期，台股跌破半年線支撐，短線維持弱勢整理走勢，後續觀察外資何時回補，以及美國費城半導體指數何時轉強。,-4
2017-12-06T03:07:00.000Z,  美國科技股反彈無力，周二美股尾盤加速走跌，三大指數全面收黑，費城半導體勉強收紅。,-4
2017-12-06T03:07:00.000Z,  受到美股本周費城半導體指數持續下挫，台股電子股指數周二摜破半年線支撐，周二台股收跌84點在10566點。,-2
2017-12-07T09:03:00.000Z,  台積電今(7)日舉辦第十七屆年度供應鏈管理論壇，感謝所有供應商夥伴在2017年對台積公司的支持，尤其是協助10奈米製程的產能擴充與7奈米及以下更先進製程的技術發展；共計有超過600個來自全球半導體業界之設備、原物料、封裝、測試、廠務、資訊系統與服務、環保及廢棄物處理等供應商共同參與。,4
2017-12-07T08:22:00.000Z,台積電下午舉行供應鏈管理論壇，共有超過600個來自全球半導體業界的設備、原物料、封裝、測試、廠務、資訊系統與服務等供應商參加。,2
2017-12-07T08:11:00.000Z,　　至於台積電總經理暨共同執行長劉德音則表次，在整個半導體產業因各式創新應用接二連三地出現，而感到興奮之際，台積電期待與供應商夥伴更緊密地合作，讓這些創新應用得以實現，也為世界打造一個更美好、更智能化的未來。,9
2017-12-07T08:11:00.000Z,　　台灣電今日的第十七屆年度供應鏈管理論壇，共計有超過600個來自全球半導體業界之設備、原物料、封裝、測試、廠務、資訊系統與服務、環保及廢棄物處理等供應商共同參與，並頒發在多個領域有卓越貢獻的供應商獎。,1
2017-12-08T07:08:00.000Z,分析師表示，台股目前持續陷入弱勢震盪，但已逐漸浮現量縮回穩的跡象，KD指標也位處超賣區，預計在前波低點壓力有守下，短期的負向乖離可使台股築底回升；以整體台股表現來看，預計11月營收表現、費城半導體指數走勢、蘋果表現及法人操作等再研判台股方向，選股可留意IC設計、3D感測、生技、金融、運輸、原物料等。,-3
2017-12-08T03:06:00.000Z,  分析師表示，台股目前受到外資動作保守下，僅管多方力圖振作，但在追價買盤不足下，三大法人連六日同步賣超，其中外資連賣十天，期現貨維持偏空操作，也使得技術面轉弱到超賣區，預期下檔空間有限，另外，櫃買指數受加權指數影響，跌破月、季線擴大跌幅，後續能否快速站回季線支撐，成為短線多空觀察指標，整體台股表現來說，預計11月營收表現、費城半導體指數走勢、蘋果走勢及法人操作等再研判台股方向。,-6
2017-12-11T09:53:00.000Z,中國信託台灣活力基金經理人周俊宏說，美國費城半導體指數領跌下，造成全球科技股明顯回檔，加上蘋果新機銷售差於預期，電子龍頭走軟，加權指數迅速跌破月線、季線、及半年線，短線乖離大可望反彈，但此波散戶比重持續上升，外資仍處賣方，不排除回測年線支撐，慎防獲利了結賣壓。,2
2017-12-11T04:00:00.000Z, 　今日上市各類股以玻璃類股表現最佳，上漲3.65%，其次是電子其他類股及光電類股，分別上漲2.77%及2.2%，表現較差者為汽車類股、鋼鐵類股及塑膠類股，汽車類股下跌0.06%，鋼鐵類股持平、塑膠類股小漲0.02%；上櫃部分，表現最佳為半導體類股，上漲2.86%，表現最差為航運類股，下跌0.49%。,0
2017-12-12T07:15:00.000Z,操作上，暫以低接、短線操作為宜，半導體、汽車電子、蘋概股、跌深但基本面佳個股可多加留意。,0
2017-12-12T07:04:00.000Z,（中央社記者黃雅娟台北2017年12月12日電）美系外資日前認為台積電成長因高效能運算相關的半導體需求出現隱憂，台積電董事長張忠謀今天表示，這跟人力市場一樣，都是「自由市場」，加上AI運用，未來沒有需求減緩的隱憂。,3
2017-12-12T07:04:00.000Z,張忠謀會後接受媒體訪問時，針對外資認為台積電高效能運算（HPC）相關的半導體需求有隱憂，提出回應。,3
2017-12-12T07:04:00.000Z,美系外資日前出具報告認為，台積電未來成長面臨3大障礙，首先是高效能運算（HPC）相關的半導體需求出現暫時性放緩；其次，智慧型手機處理器的晶片尺寸縮減，恐抵銷出貨量成長；第三，後段班的晶圓代工廠急起直追，恐導致競爭加劇、平均售價下滑。,-1
2017-12-12T02:44:00.000Z,半導體、汽車電子、蘋概股、跌深但基本面佳個股，可多加留意。,0
2017-12-14T07:02:00.000Z,半導體與食品股緊追在後；其中食品股的聯華 (1229) 收盤漲幅達2.7%，統一 (1216) 、鮮活-KY (1256) 收高逾1%。,2
2017-12-14T06:44:00.000Z,  觀察各類股表現，以電器電纜上漲1.45％最強，食品、其他電子、半導體均漲逾1.1％，成交量較大的電子股與金融股同步上漲逾0.7％。,1
2017-12-14T06:44:00.000Z,選股上可留意基本面佳的5G概念股，半導體矽晶圓、IntelPurley、塑化及生技等族群，具題材的中小型股亦有較大表現空間。,1
2017-12-14T06:43:00.000Z,科技部推動的「重點產業高階人才培訓與就業計畫」，將培訓的領域擴大，除了生技、智慧機械及半導體等外，申請領域擴及智慧機械、新農業與文創產業。,3
2017-12-14T06:43:00.000Z,他解釋，產業領域包括生技醫藥、智慧機械、亞洲o矽谷、綠能科技、循環經濟、新農業、數位經濟、國防科技、晶片設計及半導體等。,2
2017-12-14T03:18:00.000Z,  觀察類股表現，各類股普遍走揚，以其他電子、電器電纜股雙雙漲逾1.5％最強勢，成交量較大的電子、光電、半導體、電子零組件股亦全數漲近1％。,3
2017-12-14T03:18:00.000Z,  分析師預期，短期台股仍將呈現10300～10600點區間震盪態勢，由於年底集團作帳行情可望啟動，選股上可留意基本面佳的5G概念股，半導體矽晶圓、IntelPurley、塑化及生技等族群，具題材的中小型股亦有較大表現空間。,1
2017-12-15T06:23:00.000Z,在整理格局下，魏永祥表示，利基型個股較有表現機會，可留意半導體、網通、電子零組件、設備、電機、利基型中概股等類股。,3
2017-12-18T06:53:00.000Z,　今日上市各類股以油電氣類股表現最佳，上漲2.53%，其次是塑膠類股及電子零組件類股，分別上漲1.56%及1.39%，表現較差者為半導體類股、運輸類股及食品類股，半導體類股下跌0.93%，運輸類股下跌0.57%、食品類股下跌0.42%；上櫃部分，表現最佳為電子通路類股，上漲1.85%，表現最差為光電類股，下跌0.46%。,0
2017-12-18T06:53:00.000Z,　復華數位經濟基金經理人周奇賢表示，外資近期對台股態度偏向謹慎，技術面短線日KD轉為向上，但週KD、月KD仍處於向下延續修正整理走勢，加上指標電子權值股漲跌互見，預估大盤近1週仍可能處於震盪整理走勢，並以個股或族群表現為主，待年底法人實現獲利賣壓告一段落，明年初資金再開始重新布局後，台股仍將逐漸反應中期仍偏正向之基本面發展，由於半導體景氣循環仍向上，仍可留意相關具漲價及缺貨概念之電子零組件，或因近期資金流動而受惠的傳產及金融族群。,7
2017-12-18T04:07:00.000Z,　今日上市各類股以油電氣類股表現最佳，上漲2.53%，其次是塑膠類股及玻璃類股，分別上漲1.76%及1.69%，表現較差者為光電類股、半導體類股及運輸類股，光電類股下跌0.76%，半導體類股下跌0.75%、運輸類股下跌0.53%；上櫃部分，表現最佳為電子通路類股，上漲1.5%，表現最差為光電類股，下跌0.3%。,0
2017-12-20T00:31:00.000Z,　物聯網、人工智慧（AI）、電動車等新興科技領域應用大幅增加，分析師認為，未來10年內半導體需求成長速度將超乎預期，並占多數半導體產能，長線動能無虞，估短線籌碼整理後，利股價重啟漲勢。,8
2017-12-20T00:31:00.000Z,　半導體產業併購議題不斷，日月光及矽品雖打算在合併後2年內繼續維持獨立運作，產能部分採同步擴產計畫，已爭取更多IDM廠及記憶體廠的後段委外代工訂單、建立完整扇出型晶圓級封裝產能，與AI及HPC晶片完整生態系統3項效果。,1
2017-12-21T07:14:00.000Z,川普政府主打減稅的稅改案過關後，周三美股出現利多出盡後的修正行情，三大指數微幅收低，但美光財報亮眼帶動費城半導體指數收高，帶動今日台股在台積電 (2330) 回穩下小幅開高，惟指數逼近年線附近隨即壓回，市場交投清淡維持量縮整理，尾盤受到大立光 (3008) 殺低影響，終場加權指數下跌15.55點為10488.97點，10500點及5日線再度失守，成交值萎縮至979.32億元。,-3
2017-12-21T06:19:00.000Z,美國費城半導體指數收高，漲0.701%，帶動台積電股價止跌回升，收在225元，漲0.5元，終止連續4個交易日股價下跌走勢。,0
2017-12-21T04:05:00.000Z,（中央社記者張建中新竹2017年12月21日電）半導體製程技術持續不斷推進，不僅設備廠可望受惠，相關材料分析需求也將同步大幅成長，電子檢測驗證服務廠宜特 (3289) 營運將可連帶受惠。,2
2017-12-21T04:05:00.000Z,隨著製程技術不斷推進，半導體廠投資金額也將急遽增加，據半導體設備龍頭廠應用材料估計，晶圓代工廠設置一座7奈米廠需要的投資金額將較一座28奈米廠增加100%，這將是應用材料未來營運成長動能之一。,4
2017-12-21T04:05:00.000Z,半導體製程技術朝更先進發展，也將連帶帶動整個供應鏈的材料分析需求快速升溫，除晶圓代工廠外，半導體設備廠對材料分析的需求也將顯著成長。,4
2017-12-21T04:05:00.000Z,因應半導體設備廠客戶需求，宜特2016年材料分析檢測技術即已達到5奈米水準，法人預期，材料分析業務將是驅動宜特未來營運成長主要動能之一。,3
2017-12-21T03:29:00.000Z,（中央社記者張建中台北2017年12月21日電）美國費城半導體指數收高，漲0.701%，台積電 (2330) 股價止跌回升，支撐台股指數在10500點之上震盪小漲。,2
2017-12-21T03:29:00.000Z,隨著費半指數收高，台積電今天股價止跌回升，盤中一度達新台幣227元，漲2.5元，漲幅約1.11%，連帶帶動半導體類股指數一度漲0.99%，為電子股中表現較強的族群，也是支撐大盤的一大助力。,4
2017-12-22T06:19:00.000Z,  各類股指數尾盤漲勢普遍增加，以水泥、造紙、玻陶股齊揚逾1.3％領軍，成交量較大的電子、電子零組件、半導體、光電股漲幅亦增加至0.41～0.76％。,6
2017-12-22T03:37:00.000Z, Hyundai Investment & Securities主管Roh Keun-chang表示，和記憶體相比，晶圓代工的半導體體積較大，客戶重視穩定和可靠的產品，更勝於製程微縮。,4
2017-12-22T03:37:00.000Z,半導體業界人士指出，三星缺乏Know-how，難以依據客戶要求，用最少經費開發出最適製程，以相同規格產品而言，三星價格較不具競爭力。,-3
2017-12-22T00:22:00.000Z,美國參、眾兩院通過稅改法案後第2個交易日，美股依然漲跌互見，美股道瓊工業指數上漲55.64點，費城半導體指數下跌13.63點。,0
2017-12-24T04:16:00.000Z,（中央社記者張建中新竹2017年12月24日電）中國大陸寒武紀科技等5家公司今年入選為EE Times全球最值得關注的60家新興半導體企業；這5家大陸廠商中，有超過一半是台積電 (2330) 的客戶。,0
2017-12-24T04:16:00.000Z,除人工智慧晶片廠寒武紀科技外，大陸深度學習加速方案商深鑒科技、處理器廠天津飛騰、物聯網晶片廠泰淩微電子與記憶體製造廠長江存儲今年也都名列EETimes全球最值得關注的60家新興半導體企業中。,4
2017-12-25T08:52:00.000Z,周俊宏指出，相對其它股市，台股的本益比偏低，仍具吸引力，具有成長獲利題材如半導體、網通、數據中心、手機新應用技術等電子族群，及電動車、自動駕駛等非電族群皆可觀察留意。,6
2017-12-25T07:12:00.000Z,而成交比重高的類股，除了半導體力守平盤外，電子、電子零組件均呈現小跌。,0
2017-12-26T06:38:00.000Z,成交量較大的電子零組件重挫2.5％，電子、半導體、光電、其他電子、電腦設備股全數跌近1.5％。,-2
2017-12-26T06:38:00.000Z,  分析師認為，在電子股加速回檔下，台股負面因素逐漸消除，對於後市並不悲觀，在外資年初歸隊下，元月指數仍有落後補漲機會，可留意基本面佳的5G概念股，半導體矽晶圓、Intel Purley、塑化及生技等族群。,2
2017-12-26T06:21:00.000Z,鈺創 (5351) 董事長盧超群今(26)日表示，中國大陸對半導體的投資非常積極，對台灣來說是很大的警訊，惟儘管鈺創今年表現不如預期，但還是不會放棄發展記憶體，看好AI會是後續產業非常大的轉機。,-2
2017-12-26T06:21:00.000Z,  盧超群表示，三星躍升成為世界第一大半導體公司，台積電 (2330) 則是台灣市值第一大，今年台灣整體半導體成長只有3%，主要華亞科 (3474) 賣給美光是最大的影響，中國大陸卻是很厲害，成長得很快，中國大陸在投資半導體來說動作非常積極，是很大的警訊，他也說，今年鈺創儘管業績表現不如預期，但是還是會繼續發展記憶體，明年也會有新產品的推出，他強調，AI絕對是半導體產業很大的一個機會。,3
2017-12-26T06:21:00.000Z,  盧超群表示，鈺創持續積極轉型，轉向應用和技術層面，記憶體業務不再瞄準「大」容量產品，而會做出更精確的產品，瞄準人工智慧發展與半導體4.0世代之異質技術和產業整合，蘋果的Face ID確實是AI趨勢很重大的一個推手。,10
2017-12-26T03:09:00.000Z,成交量較大的電子零組件類股重挫逾2％，表現最為弱勢，電子、光電、半導體、其他電子等類股均跌逾1％，金融類股亦開高走低跌約0.3％，但跌勢相對受控。,-5
2017-12-26T03:09:00.000Z,  分析師認為，台股短線窄幅震盪、橫盤格局未變，惟今日受昆山停產等利空消息影響下，出現量增價跌的結帳賣壓，短期跌深股不急於進場搶進，宜進一部觀望多空變化，基本面佳的5G概念股，半導體矽晶圓、Intel Purley、塑化及生技等族群較值得留意。,2
2017-12-27T06:16:00.000Z,費城半導體指數收低0.97%。,-1
2017-12-27T02:21:00.000Z,費城半導體指數收低0.97%。,-1
2017-12-28T03:57:00.000Z,MoneyDJ新聞 2017-12-28 11:57:47 記者 陳苓 報導中韓半導體廠商大擴產，相關產能2018、2019年開出。,0
2017-12-28T03:57:00.000Z,業者增產，半導體原料需求大增，供給卻未相對成長，外界憂慮2019年半導體原料可能會爆發缺貨危機。,-3
2017-12-28T03:57:00.000Z,不只如此，中國半導體業者包括清華紫光、晉華積體電路(Fujian Jinhua Integrated Circuit)、長江存儲(YMTC)，明年也開始量產記憶體，會讓原料供給更加短缺。,1
2017-12-28T03:57:00.000Z,不具名的半導體人士透露，半導體業者擴產，半導體清洗溶劑異丙醇(Isopropyl alcohol、IPA)已經陷入供給不足，明年缺貨情況可能更嚴重。,-5
2017-12-28T03:57:00.000Z,中型晶圓代工廠主管也說，半導體原料如氦(helium)、tungsten和ceria研磨液、六氟化鎢(WF6)氣體可能供不應求。,1
2017-12-28T03:57:00.000Z,南韓Foosung、SK Materials都砸錢增產半導體原料，為之後供給熱潮預作準備。,1
2017-12-29T08:11:00.000Z,（中央社記者張建中新竹2017年12月29日電）台股今天封關，據法人統計，半導體類股今年市值大增新台幣2.27兆元，增幅達32.65%；其中，台積電 (2330) 市值增加最多，達1.24兆元，另有18家廠商市值倍增。,5
2017-12-29T08:11:00.000Z,台積電製程技術領先，產業龍頭地位穩固，未來營運成長可期，股息也可望穩定增加，頗受市場資金青睞，今年來股價表現強勁，市值大增1.24兆元，為今年市值增加最多的半導體廠。,10
2017-12-29T08:11:00.000Z,除台積電市值迭創新高，缺貨題材為今年半導體產業最受市場關注的焦點，包括矽晶圓、編碼型快閃記憶體(NOR Flash)與金氧半場效電晶體(MOSFET)都是熱門的缺貨產品，相關廠商股價多有亮麗表現。,6
2017-12-29T08:11:00.000Z,NOR Flash廠旺宏 (2337) 今年市值即增加630.4億元，增幅高達3.76倍，為今年市值增幅最大的半導體廠；另一NOR Flash廠華邦電 (2344) 今年市值也同步大增1.61倍。,4
2017-12-29T08:11:00.000Z,據法人統計，今年共有18家半導體廠市值倍增。,1
2017-12-29T07:09:00.000Z,另外兩大主力部隊是光電及半導體，主要集中在蘋概股，因市場對蘋果iPhone十週年新機效應高度期待，光電族群以大立光 (3008) 、玉晶光 (3406) ，GIS-KY (6456) 為代表；半導體族群則以權重占指數18%的台積電 (2330) 貢獻最大，飆股代表則是旺宏，受惠於NOR Flash漲價持續，旺宏全年大漲854%，勇奪年度飆股冠軍。,9
2017-12-29T07:09:00.000Z,儘管次族群輪動，市場焦點重心始終在電子股，然而，11月下旬隨著唱衰iPhone雜音不斷，加上美國科技股因稅改案大跌的拖累，半導體、光電等紅牌主流遭拋售，另一方面，國際原油價格緩步墊高，資金轉移，流入報價上漲的原物料相關類股，像是一整年都沒表現的台塑三寶，終於在最後一個月揚眉吐氣。,-1
2017-12-29T02:27:00.000Z,  台股指數目前已經越過半年線，搭配外資提前歸隊，量能回溫下，多方伺機向上挑戰反壓，預計2018年開紅盤後觀察重點包括美股高檔整理，對台股影響偏中性，盤面維持類股輪動以PCB、PA、光學、半導體設備、造紙、中國相關、汽車相關、鋼鐵及LED等為主，目前日技術指標KD及RSI值轉強，短線有利多方表現。,7
2017-12-29T08:11:00.000Z,（中央社記者張建中新竹2017年12月29日電）台股今天封關，據法人統計，半導體類股今年市值大增新台幣2.27兆元，增幅達32.65%；其中，台積電 (2330) 市值增加最多，達1.24兆元，另有18家廠商市值倍增。,5
2017-12-29T08:11:00.000Z,台積電製程技術領先，產業龍頭地位穩固，未來營運成長可期，股息也可望穩定增加，頗受市場資金青睞，今年來股價表現強勁，市值大增1.24兆元，為今年市值增加最多的半導體廠。,10
2017-12-29T08:11:00.000Z,除台積電市值迭創新高，缺貨題材為今年半導體產業最受市場關注的焦點，包括矽晶圓、編碼型快閃記憶體(NOR Flash)與金氧半場效電晶體(MOSFET)都是熱門的缺貨產品，相關廠商股價多有亮麗表現。,6
2017-12-29T08:11:00.000Z,NOR Flash廠旺宏 (2337) 今年市值即增加630.4億元，增幅高達3.76倍，為今年市值增幅最大的半導體廠；另一NOR Flash廠華邦電 (2344) 今年市值也同步大增1.61倍。,4
2017-12-29T08:11:00.000Z,據法人統計，今年共有18家半導體廠市值倍增。,1
2017-12-29T07:09:00.000Z,另外兩大主力部隊是光電及半導體，主要集中在蘋概股，因市場對蘋果iPhone十週年新機效應高度期待，光電族群以大立光 (3008) 、玉晶光 (3406) ，GIS-KY (6456) 為代表；半導體族群則以權重占指數18%的台積電 (2330) 貢獻最大，飆股代表則是旺宏，受惠於NOR Flash漲價持續，旺宏全年大漲854%，勇奪年度飆股冠軍。,9
2017-12-29T07:09:00.000Z,儘管次族群輪動，市場焦點重心始終在電子股，然而，11月下旬隨著唱衰iPhone雜音不斷，加上美國科技股因稅改案大跌的拖累，半導體、光電等紅牌主流遭拋售，另一方面，國際原油價格緩步墊高，資金轉移，流入報價上漲的原物料相關類股，像是一整年都沒表現的台塑三寶，終於在最後一個月揚眉吐氣。,-1
2017-12-29T02:27:00.000Z,  台股指數目前已經越過半年線，搭配外資提前歸隊，量能回溫下，多方伺機向上挑戰反壓，預計2018年開紅盤後觀察重點包括美股高檔整理，對台股影響偏中性，盤面維持類股輪動以PCB、PA、光學、半導體設備、造紙、中國相關、汽車相關、鋼鐵及LED等為主，目前日技術指標KD及RSI值轉強，短線有利多方表現。,7
