PublishDate,Sentence,Score
2018-03-01T07:23:00.000Z,　盤面上，電子權值股漲跌互見，股王大立 (3008) 去年每股賺193.65元，估配息逾72.5元，激勵股價強彈5.5%，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 震盪小跌；連8日大漲的撼訊 (6150) 遭列處置股今重摔跌停，拖累挖礦概念股麗臺 (2465) 、青雲 (5386) 、映泰 (2399) 同步壓回。,0
2018-03-01T06:28:00.000Z,非電子股方面，因美國原油儲存量大幅增加，衝擊塑化族群表現。,2
2018-03-01T04:11:00.000Z,MoneyDJ新聞 2018-03-01 12:11:31 記者 陳苓 報導三星電子突破高通佈下的專利地雷，成功研發出2G CDMA modem技術，未來三星行動處理器將支援所有通訊規格，有望刺激銷售，成為高通驍龍處理器的勁敵。,3
2018-03-01T02:45:00.000Z,  電子權值股今跌多漲少，股王大立 (3008) 通過2017年每股盈餘為193.65元，估配息逾72.5元，今股價反彈大漲逾4.5%，最高一度達3920元，持續朝向4000元大關挑戰；台積電 (2330) 、鴻海 (2317) 小跌震盪，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢走跌，惟宏碁 (2353) 因受到外資回補，早盤爆量翻紅，重返5日線上。,2
2018-03-01T02:45:00.000Z,  其餘電子焦點股方面，光寶科 (2301) 將旗下相機模組事業以百億元賣予港商，今爆量逆勢大漲逾2.5%；帆宣 (6196) 去年合併營收及獲利改寫歷史新高，今帶量走揚，股價上漲逾4.5%；至於撼訊 (6150) ，在經歷連8日大漲後，遭列處置股，今重跌逾6%。,6
2018-03-01T07:23:00.000Z,　盤面上，電子權值股漲跌互見，股王大立 (3008) 去年每股賺193.65元，估配息逾72.5元，激勵股價強彈5.5%，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 震盪小跌；連8日大漲的撼訊 (6150) 遭列處置股今重摔跌停，拖累挖礦概念股麗臺 (2465) 、青雲 (5386) 、映泰 (2399) 同步壓回。,0
2018-03-01T06:28:00.000Z,非電子股方面，因美國原油儲存量大幅增加，衝擊塑化族群表現。,2
2018-03-01T04:11:00.000Z,MoneyDJ新聞 2018-03-01 12:11:31 記者 陳苓 報導三星電子突破高通佈下的專利地雷，成功研發出2G CDMA modem技術，未來三星行動處理器將支援所有通訊規格，有望刺激銷售，成為高通驍龍處理器的勁敵。,3
2018-03-01T02:45:00.000Z,  電子權值股今跌多漲少，股王大立 (3008) 通過2017年每股盈餘為193.65元，估配息逾72.5元，今股價反彈大漲逾4.5%，最高一度達3920元，持續朝向4000元大關挑戰；台積電 (2330) 、鴻海 (2317) 小跌震盪，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢走跌，惟宏碁 (2353) 因受到外資回補，早盤爆量翻紅，重返5日線上。,2
2018-03-01T02:45:00.000Z,  其餘電子焦點股方面，光寶科 (2301) 將旗下相機模組事業以百億元賣予港商，今爆量逆勢大漲逾2.5%；帆宣 (6196) 去年合併營收及獲利改寫歷史新高，今帶量走揚，股價上漲逾4.5%；至於撼訊 (6150) ，在經歷連8日大漲後，遭列處置股，今重跌逾6%。,6
2018-03-05T07:11:00.000Z,美股上周五漲跌互見，台股今日由台積電 (2330) 、智原 (3035) 、國巨 (2327) 、華新科 (2492) 等電子股領軍，配合中小型題材股保銳 (8093) 、益安 (6499) 等強攻漲停，推升指數開高走高，一度站上季線；惟美國掀起全球貿易戰，台灣鋼鐵股首當其衝，中鴻 (2014) 及官田鋼 (2017) 等鋼鐵股重挫，玻陶股及金融股亦同步走弱，使盤中指數由紅翻黑跌落10650點之下，股王大立光 (3008) 向下殺盤引發逢反彈減碼賣壓，終場加權指數收在最低點10642.9點、下跌55.27點，失守半年線大關，成交值為1119.83億元。,-2
2018-03-05T07:11:00.000Z,　台積電 (2330) 無懼三星跨海攜聯電子公司智原 (3035) 大搶挖礦財，今日力撐紅盤，智原更是樂攻漲停，股王大立光 (3008) 2月營收因農曆春節年假因素較1月下滑，預計3月可望明顯回升，股價仍重挫4%，鴻海 (2317) 、日月光 (2311) 、聯發科 (2454) 等權值股同步走跌。,2
2018-03-05T06:26:00.000Z,鋼鐵原物料帶衰，台股虎頭蛇尾收黑！　美國總統川普在1日宣布將長期對進口鋼鐵、鋁材分別課徵25%、10%的關稅，預計本周簽署生效，點燃全球貿易戰火，讓原本認為通膨蠢蠢欲動，資金力拱的鋼鐵類股及原物料個股挨了一記悶棍，在全球貿易戰開打下，雖然美股在上周五開低收高，科技類股更止跌反彈，台股今天亦在台積電 (2330) 、智原 (3035) ，以及供不應求的被動元件個股—國巨 (2327) 、華新科 (2492) 大漲帶動下以高盤開出，但居高思危獲利了結賣壓出籠，鋼鐵類股等原物料股今天都遭逢不小的獲利了結賣壓，中鴻 (2014) 、官田鋼 (2017) 、海光 (2038) 、世紀鋼 (9958) 同步走弱，中鴻更被打至跌停板作收，台玻 (1802) 、榮成 (1909) 、寶隆 (1906) 等盤中股價亦拉回修正，傳產股積弱不振，電子股亦只演了半場好戲，股王—大立光 (3008) 股價以3700元作收，具題材顯卡概念股—美桀 (5255) 及撼訊 (6150) 盤中雖然漲停，但收盤未能收高，增添市場疑慮，加重台股跌勢，指數失守10650點，終場加權股價指數為10642.9點，下跌55.27點，成交量為1119.83億元；OTC指數為146.69點，下跌1.1點，成交量為306.58億元。,-5
2018-03-05T06:26:00.000Z,　今日上市各類股以其他電子類股表現最佳，上漲0.41%，其次是半導體類股及生醫類股，分別上漲0.18%及0.15%，表現較差者為玻璃類股、光電類股及造紙類股，玻璃類股下跌2.9%，光電類股下跌2.56%、造紙類股下跌2.14%；上櫃部分，表現最佳為電子通路類股，上漲0.92%，表現最差為化工類股，下跌1.9%。,0
2018-03-05T06:26:00.000Z,　復華數位經濟基金經理人周奇賢表示，短線大盤將受川普貿易保護政策影響後續發展影響，加上美股等主要國際股市波動加大，預期台股仍將持續受到干擾，不過從基本面觀察，目前美股2018年企業獲利成長上修幅度已高達19%，而此波美股修正後之反彈表現，以半導體及科技股類股表現最佳，加上汽車電子、人工智能、通訊等應用蓬勃發展，將使得半導體產業景氣仍正向發展，並提供美股下檔支撐，若遇市場回跌可持續留意相關類股及業績題材，預估大盤近期暫呈現10500點到11000點區間整理、個別股輪動表現為主，後續關注各大廠法說、外資動向及各央行政策會議結論、美債殖利率變化。,8
2018-03-05T03:50:00.000Z,　今日上市各類股以電子零組件類股表現最佳，上漲0.34%，其次是半導體類股及塑膠類股，分別上漲0.23%及0.06%，表現較差者為玻璃類股、光電類股及鋼鐵類股，玻璃類股下跌2.25%，光電類股下跌2.15%、鋼鐵類股下跌2.13%；上櫃部分，表現最佳為電子通路類股，上漲1.01%，表現最差為資訊服務類股，下跌1.78%。,0
2018-03-05T03:21:00.000Z,台積電 （2330） 與南韓三星電子間的晶圓代工戰火愈來愈激烈！台積電今年以高速運算(HPC)業務為主要成長動能，其中尤以虛擬貨幣挖礦需求最為火爆；三星除了先前傳出接獲俄、中兩家挖礦硬體公司訂單外，又傳跨海來台找上聯電集團旗下的智原 (3035) 合作，擴大挖礦晶片客戶來源，積極爭搶挖礦財。,4
2018-03-06T07:22:00.000Z,台股今日受惠美股周一勁彈激勵短多士氣，加上台積電領軍電子股吹反彈號角，以及金融與台塑四寶等權值股成功穩盤，使指數開高走高，連續收復10700點、五日線、季線、月線與半年線等關卡。,6
2018-03-07T07:22:00.000Z,全球貿易戰擔憂減緩，使周二美股三大指數收高，但美國白宮首席經濟顧問科恩請辭消息重創美股期貨，致亞股早盤普遍承壓，台股在日月光 (2311) 、鴻海 (2317) 等大型電子股撐盤下雖一度翻紅，惟盤中美股期指跌勢未見緩和，使獲利了結賣壓出籠，尾盤更遭大單敲出壓低指數，終場加權指數下跌39.02點收在今日最低10745.32點，失守月線及季線大關，成交值放大至1207.36億元。,-3
2018-03-07T07:22:00.000Z,　電子權值股表現方面，昨日強勢領漲的台積電 (2330) 今日拉回整理，聯發科 (2454) 、日月光 (2311) 、鴻海 (2317) 相對有撐，股王大立光 (3008) 則擺尾收紅，暫解持續探低的窘境；近來表現強悍的挖礦概念股青雲 (5386) 、映泰 (2399) 齊飆漲停續登高，群電 (6412) 、立隆 (2472) 躋身比特大陸廠供應商激勵股價雙雙勁揚；被動元件族群禾伸堂 (3026) 、日電貿 (3090) 、國巨 (2327) 續強上攻。,10
2018-03-07T07:22:00.000Z,操作上，中小型轉機股、低價股與電子股的短多格局可望延續，聚焦機器人、汽車電子、挖礦、被動元件與矽晶圓等相關概念股。,0
2018-03-07T06:03:00.000Z,全球貿易戰的擔憂減輕，美股周二收高，但周三受到美國白宮首席經濟顧問科恩（Gary Cohn）請辭衝擊，台股雖早盤在權值股力挺再攀升至10800點以上，但盤中隨著美股期指電子盤跌勢未收斂，台股收跌39點至10745點，收最低，成交值增至1207億元。,-3
2018-03-07T06:03:00.000Z,  台股早盤隨著利空消息震盪，不過，亞股早盤似乎打了預防針，台股也由日月光 (2311) 、鴻海 (2317) 等大型電子股撐盤，金融、傳產走穩，開低走高，一度回到10800點之上，同時間，日韓港股也都翻紅。,1
2018-03-07T06:03:00.000Z,  今日台股早盤仍硬挺，昨天大漲的台積電 (2330) 早盤仍有撐，隨著低檔買盤積極，日月光、鴻海等電子權值股，以及近來最強勢的挖礦股撼訊 (6150) 、青雲 (5386) 續攻，被動元件日電貿 (3090) 強勢上揚，加上大型金控的富邦金 (2881) 撐住金融股，以及台塑 (1301) 四寶走穩，台股早盤回升至10800點之上，守住月季線關卡。,6
2018-03-07T06:03:00.000Z,  不過，美股期指電子盤跌勢仍大，盤中獲利了結賣壓出籠，台積電壓回，早盤的強勢股漲幅收斂，使得台股隨亞股翻黑，收在相對低點，回探周二收復的月季線關卡。,0
2018-03-07T06:03:00.000Z,  今日櫃買市場表現相對強勢，除了環球晶 (6488) 等電子股仍強勢外，中裕 (4147) 強攻漲停，激勵上櫃生技股跟進大漲，也帶動大股東潤泰全 (2915) 股價上攻。,8
2018-03-07T03:30:00.000Z,（中央社記者潘智義台北2018年3月7日電）白宮首席顧問寇恩（Gary Cohn）辭職，引發美國期貨電子盤走低，帶動台北股市今天早盤開低，直到盤中才翻紅。,-1
2018-03-07T03:30:00.000Z,類股漲跌互見，生技醫療、食品、造紙等類股表現強勁，電子小漲，金融持平，營建、泥窯類股小跌。,1
2018-03-07T03:30:00.000Z,凱基投顧指出，白宮首席經濟顧問寇恩（GaryCohn）辭職，市場解讀為川普提高進口關稅的態度堅定，造成美股盤後電子期貨下跌，促使今天台股早盤殺低。,-1
2018-03-08T07:15:00.000Z,美股隔夜漲跌互見，Nasdaq、費半指數收高激勵台股今日開高走高，在晶圓雙雄聯電 (2303) 、台積電 (2330) 及面板雙虎友達 (2409) 、群創 (3481) 領軍電子股強彈，推升盤中指數一度大漲百點，最高衝上10852.33點，一舉攻克各期均線，終場加權指數上漲77.92點為10823.24點，成交值縮為1204.8億元；櫃買指數率先來到近月高點，終場收在150.27點，上漲1.26點，成交值373.98億元。,9
2018-03-08T07:15:00.000Z,　台股今日由晶圓雙雄聯電 (2303) 、台積電 (2330) 及面板雙虎友達 (2409) 、群創 (3481) 領軍電子股強彈，權值股大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 亦同步走揚；記憶體模組廠商宇瞻 (8271) 看好今年記憶體市場仍供不應求，帶動南亞科 (2408) 、華邦電 (2344) 、旺宏 (2337) 聯袂走高；砷化鎵三雄在全新 (2455) 衝高領軍帶動下，穩懋 (3105) 、宏捷科 (8086) 跟進大漲；近期火紅的挖礦族群漲多壓回，撼訊 (6150) 、映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 打落跌停。,10
2018-03-08T07:15:00.000Z,周三美股道瓊跌幅收斂、科技股反彈收高激勵，使台股周四在台積電、鴻海等電子股領軍衝高，加上聯發科 (2454) 、聯電 (2303) 、南亞科 (2408) 及台塑化 (6505) 等權值股力挺多方，推升指數成功收復月線、季線及10800點等關卡。,4
2018-03-08T05:55:00.000Z,加權股價指數終場上漲77.92點、漲幅0.73%、收在10823.24點、成交值新台幣1204.8億元，電子指數漲幅1.05%，以中小型股為主的櫃買指數則是收復2月6日的長黑K棒，不過近期強勢的挖礦概念股轉趨弱勢，指標股撼訊 (6150) 跌停收在280元，連帶概念股映泰 (2399) 、麗臺 (2465) 、承啟 (2425) 出現重挫走勢。,-1
2018-03-08T05:55:00.000Z,分析師表示，台積電、鴻海、大立光 (3008) 今天同步走揚，讓電子股穩定軍心，今天即將舉行法人說明會的被動元件龍頭國巨 (2327) 站上400元大關，也帶動相關族群維持強勢。,8
2018-03-08T05:55:00.000Z,法人指出，台股指數恐在10700點至10900點之間區間震盪，等待國際股市有較明確的方向，不過由於美國NASDAQ指數及費城半導體指數表現優於S&P 500指數，電子股可望仍是下波多頭重點。,3
2018-03-08T01:34:00.000Z,科技部啟動AI創新研究中心計畫，預計5年投入新台幣50億元，培養AI人才；科技部推動成立的清華大學人工智慧製造系統研究中心7日揭牌，未來將投入半導體、電子業、IC設計、傳統產業等智慧製造。,3
2018-03-09T06:23:00.000Z,  台積公司今年強勁成長動能來自HPC（高效能運算）、物聯網和車用電子，當中HPC中又以虛擬貨幣、人工智慧、繪圖晶片成長性較高，手機今年持平。,7
2018-03-09T06:20:00.000Z,台積電董事長張忠謀對今年營運展望樂觀，預估今年美元營收可望成長達10%至15%，高速運算、物聯網與車用電子將是主要營運成長動能。,5
2018-03-12T07:14:00.000Z,預期3月台股將呈現區間盤整格局，傳金電三大類股均有表現機會，看好電子零組件缺貨概念、5G和矽晶圓相關類股，以及部分具防禦型傳產個股。,3
2018-03-12T06:46:00.000Z, 　今日上市各類股以水泥類股表現最佳，上漲2.51%，其次是電子其他類股及油電氣類股，分別上漲2.11%及2.1%，表現較差者為玻璃類股、觀光類股及網路通信類股，玻璃類股下跌0.75%，觀光類股下跌0.27%，網路通信類股下跌0.21%；上櫃部分，表現最佳為半導體類股，上漲2.49%，表現最差為資訊服務類股，下跌1.46%。,0
2018-03-12T06:46:00.000Z, 　復華數位經濟基金經理人周奇賢表示，台股隨國際股市震盪向上重返各均線之上，其中被動元件、DRAM、Wafer、晶圓代工等半導體供應鏈及汽車電子等族群受科技指數大漲帶動下表現相對強勢，生技股亦因利多走強，由於恐慌指數連6日回落，降低市場不確定氣氛，預估台股在電子股帶動及類股輪動表現下維持震盪向上表現。,2
2018-03-12T03:45:00.000Z, 　今日上市各類股以其他電子類股表現最佳，上漲2%，其次是水泥類股及金融類股，分別上漲1.83%及1.73%，表現較差者為玻璃類股、網路通信類股及觀光類股，玻璃類股下跌1.44%，網路通信類股下跌0.21%、觀光類股下跌0.01%；上櫃部分，表現最佳為半導體類股，上漲3.1%，表現最差為資訊服務類股，下跌1.1%。,0
2018-03-12T03:45:00.000Z,看好電子零組件缺貨概念、5G和矽晶圓相關類股，以及部分具防禦型傳產個股。,1
2018-03-13T00:25:00.000Z,法人認為，台股12日跟隨國際股市大漲，在電子、金融領軍下重返11000點之上，重回各日均線，為2月2日以來新高點；近期若美股走穩，台股短、中期趨勢仍應偏多看待。,5
2018-03-14T07:10:00.000Z,受到美國國務卿提勒森遭撤換以及美國將擴大對中國進口商品課徵關稅的雙重消息打擊，周二美股三大指數全面收黑，亞股今日普遍承壓，台股在蘋概股龍頭大立光 (3008) 、台積電 (2330) 及鴻海 (2317) 同步拉回下開低，盤中指數一度進逼11000點整數關卡，所幸金融、傳產股力撐盤勢，終場加權指數下跌56.83點為11038.8點，仍守住5日線及11000點關卡，跌勢相對亞股輕微，成交值縮至1184.24億元；櫃買市場在中小型電子及生技股點火下，支撐指數逆勢收紅。,1
2018-03-14T06:09:00.000Z,美股周二開高走低，台股在蘋果供應鏈為主的大型電子權值股熄火，今日開低走低，收盤跌56點至11038點，仍守穩5日線及1.1萬點關卡，且相對亞股跌勢較輕。,-4
2018-03-14T06:09:00.000Z,  台股周二攻回1.1萬點之上前波高點區，但受到美股壓回，今早台積電 (2330) 及鴻海 (2317) 等大型電子股股價拉回，台股盤中維持盪，目前來到前波歷史高檔區，但受到美股拖累未能再進一步上攻高檔套牢區。,0
2018-03-14T06:09:00.000Z,  整體而言，因台積電等電子權值股回檔，國泰金 (2882) 、富邦金 (2881) 等金控股亦熄火下，台股今在漲多後呈現整理，櫃買市場的中小型電子以及生技股仍有個股表現，今櫃買指數收盤逆勢收高，生技的大學光 (3218) 、順藥 (6535) 等收盤漲停。,4
2018-03-14T06:08:00.000Z,加權股價指數今天收盤下跌56.83點、跌幅0.51%、收在11038.80點、成交值新台幣1184.24億元，電子權值股感受外資出脫的壓力，台積電 (2330) 、鴻海 (2317) 整場在平盤下遊走，不過中小型電子股表現相對突出，櫃買指數以小紅作收，生技、二線光學、博弈、網通小兵強勢。,-2
2018-03-14T06:08:00.000Z,分析師表示，台股今天雖跟著國際股市走跌，但跌幅有限，不但守住11000點整數關卡，不僅連5日線10964點支撐都未觸及，且在電子權值股回檔之際，包括國泰金 (2882) 、富邦金 (2881) 、華南金 (2880) 、第一金 (2892) 都穩在平盤之上，協助多頭守住關鍵位置。,0
2018-03-14T03:00:00.000Z,（中央社記者田裕斌台北2018年3月14日電）美國總統川普宣布解除國務卿提勒森(Rex Tillerson)職務再度在國際股市掀起波瀾，亞股今天普遍走低，台股雖開低，但在非電子股力守下，跌幅縮減相對有撐。,-3
2018-03-14T03:00:00.000Z,截至10時40分，加權股價指數下跌35.83點、為10059.80點、成交值新台幣586.90億元，電子權值股包括台積電 (2330) 、鴻海 (2317) 在外資調節下走跌，金融、傳產順勢接棒，原物料族群包括二線塑化、二線鋼鐵挺身而出。,-2
2018-03-14T02:52:00.000Z,美股周二開高走低，台股周二攻回1.1萬點之上前波高點區，但受到美股壓回，今台積電 (2330) 及鴻海 (2317) 等大型電子股股價拉回，台股早盤強守5日線，仍守穩1.1萬點，惟尚欠缺量能續攻前波歷史高檔區。,0
2018-03-14T02:52:00.000Z,  整體而言，因台積電等電子權值股回檔，國泰金 (2882) 等金控股亦熄火下，台股今早在漲多後呈現整理，櫃買市場的中小型電子以及生技股仍有個股表現，今早櫃買指數逆勢上揚。,3
2018-03-15T06:01:00.000Z,  非電子股方面，首屆「台北米其林」名單轟動全台，成功摘星的觀光股今股價也表現亮麗，雲品 (2748) 、寒舍 (2739) 一度攻上漲停，盤中維持4～6%漲勢，帶動亞都 (5703) 同歡。,5
2018-03-15T02:38:00.000Z,電子股盤中跌0.16%，金融股跌0.2%。,-1
2018-03-15T02:38:00.000Z,主要電子權值股日月光 (2311) 來到41.95元，跌1.5%。,-1
