PublishDate,Sentence,Score
2018-06-01T07:03:00.000Z,另一方面，受到大摩降美光評等影響，壓抑台灣DRAM股表現，南亞科 (2408) 跌逾2%、華邦電 (2344) 也下挫1.5%。,-4
2018-06-01T07:03:00.000Z,美歐貿易戰開打，台灣因先前並未被豁免被課高關稅，但隨著中鋼第三季內銷盤價持續穩揚，世紀鋼 (9958) 收在漲停，中鋼 (2002) 、中鴻 (2014) 、新光鋼 (2031) 等今早股價均走揚，顯示利空鈍化。,2
2018-06-01T06:13:00.000Z,  非電子股方面，美歐貿易戰開打，美國宣布對加拿大、墨西哥與歐盟的鋼鐵與鋁開徵進口關稅，台灣因先前並未被豁免被課高關稅，隨著中鋼第三季內銷盤價持續穩揚，世紀鋼 (9958) 收在漲停，中鋼 (2002) 、中鴻 (2014) 、新光鋼 (2031) 等今早股價均走揚，對利空反應逐步鈍化。,2
2018-06-03T07:03:00.000Z,儲祥生說，弱勢美元可望引動資金回流入台，屆時台積電將是外資回補標的之一，而費半指數若能突破3月時創下的高點，必然對台灣半導體股產生連動，台積電也可望再度成為台股領漲指標。,4
2018-06-04T12:59:00.000Z,（中央社記者田裕斌台北2018年6月4日電）根據台灣證券交易所統計，外資上週在集中市場賣超新台幣197.28億元，不過，投信業者表示，周線KD指標已接近超跌區，日線及日KD指標也有回穩跡象。,-2
2018-06-04T12:59:00.000Z,中國信託台灣活力基金經理人周俊宏說，台股能否回穩可先觀察電子股動態，觀察本次領跌的蘋果概念股近日出現彈升，晶圓代工龍頭廠台積電 (2330) 雖然第2季展望保守，但扮演後續主要動能的7奈米(nm)製程也將自第3季中下旬放量，有機會營造出落底契機。,3
2018-06-04T03:30:00.000Z,  外資今年以來賣超亞股，主要減碼台灣及韓國，因為兩國的出口增速在去年九月後明顯轉弱。,-1
2018-06-01T07:03:00.000Z,另一方面，受到大摩降美光評等影響，壓抑台灣DRAM股表現，南亞科 (2408) 跌逾2%、華邦電 (2344) 也下挫1.5%。,-4
2018-06-01T07:03:00.000Z,美歐貿易戰開打，台灣因先前並未被豁免被課高關稅，但隨著中鋼第三季內銷盤價持續穩揚，世紀鋼 (9958) 收在漲停，中鋼 (2002) 、中鴻 (2014) 、新光鋼 (2031) 等今早股價均走揚，顯示利空鈍化。,2
2018-06-01T06:13:00.000Z,  非電子股方面，美歐貿易戰開打，美國宣布對加拿大、墨西哥與歐盟的鋼鐵與鋁開徵進口關稅，台灣因先前並未被豁免被課高關稅，隨著中鋼第三季內銷盤價持續穩揚，世紀鋼 (9958) 收在漲停，中鋼 (2002) 、中鴻 (2014) 、新光鋼 (2031) 等今早股價均走揚，對利空反應逐步鈍化。,2
2018-06-03T07:03:00.000Z,儲祥生說，弱勢美元可望引動資金回流入台，屆時台積電將是外資回補標的之一，而費半指數若能突破3月時創下的高點，必然對台灣半導體股產生連動，台積電也可望再度成為台股領漲指標。,4
2018-06-04T12:59:00.000Z,（中央社記者田裕斌台北2018年6月4日電）根據台灣證券交易所統計，外資上週在集中市場賣超新台幣197.28億元，不過，投信業者表示，周線KD指標已接近超跌區，日線及日KD指標也有回穩跡象。,-2
2018-06-04T12:59:00.000Z,中國信託台灣活力基金經理人周俊宏說，台股能否回穩可先觀察電子股動態，觀察本次領跌的蘋果概念股近日出現彈升，晶圓代工龍頭廠台積電 (2330) 雖然第2季展望保守，但扮演後續主要動能的7奈米(nm)製程也將自第3季中下旬放量，有機會營造出落底契機。,3
2018-06-04T03:30:00.000Z,  外資今年以來賣超亞股，主要減碼台灣及韓國，因為兩國的出口增速在去年九月後明顯轉弱。,-1
2018-06-05T08:44:00.000Z,台積電 (2330) 董事長張忠謀強調，台積公司會根留台灣，將持續投資台灣。,1
2018-06-05T08:44:00.000Z,  台積股東會後記者會，針對有媒體提出說外傳台積電對現有政府沒有信心要出走台灣，張忠謀回應，他一向支持民選總統，現在也是支持蔡英文總統，他強調，台積公司根留台灣，投資台灣，他並批評這些傳言是「亂七八糟。,-1
2018-06-05T07:36:00.000Z,張忠謀還說，台積電將根留台灣，會繼續在台灣投資。,1
2018-06-05T07:36:00.000Z,他並說，台積電會根留台灣，繼續在台灣投資。,1
2018-06-05T07:36:00.000Z,張忠謀肯定鴻海董事長郭台銘是很有才能的企業家，不過，他說，未來台灣不會只有郭台銘一人，相信江山代有才人出。,3
2018-06-06T06:59:00.000Z,從近期公布的經濟數據來看，美國公布和台灣出口連動性高的5月ISM製造業指數，再度向上擴張，台灣國發會5月公布綜合製造業及非製造業對未來6個月展望保持在60左右較高水準，企業信心強勁有助資本支出增長，預期近期台股股東會釋放出樂觀展望。,9
2018-06-06T06:59:00.000Z,國泰台灣低波動30ETF (00701) 約持有台積電18.47%、中華電 (2412) 9.66%、南亞 (1303) 7.81%，前5大持股累計50%，都是低波動、高股息，競爭力強的產業龍頭股，籌碼穩定，是現階段最佳投資標的。,3
2018-06-06T06:33:00.000Z,  周二蘋果股價上漲至歷史高點，激勵台灣蘋概股表現。,3
2018-06-06T03:44:00.000Z,受惠於行動裝置普及化及規格不斷升級，加上物聯網、車用電子及高速運算等新興應用擴增，推升台灣積體電路出口屢創新高，由2011年出口564億美元，增至去(2017年)年923億美元，平均每年增8.9%，占總出口比重由2011年18%，升至去年的29.1%，積體電路可說是我國出口主力。,5
2018-06-06T03:38:00.000Z,  周二蘋果股價上漲至歷史高點，激勵台灣蘋概股表現。,3
2018-06-11T07:07:00.000Z,  權值股今日表現平平，國泰金 (2882) 及聯發科 (2454) 力守紅盤，中華電 (2412) 、統一超 (2912) 、台灣大 (3045) 、台塑化 (6505) 收小黑，中鋼 (2002) 、統一 (1216) 、日月光投控 (3711) 下跌逾1%相對弱勢。,-1
