PublishDate,Sentence,Score
2017-07-03T07:04:00.000Z,今日外資賣超3.2485億元，投信賣超4.6816億元，自營商買超3.8923億元，三大法人賣超4.03億元。,-1
2017-07-03T04:46:00.000Z,中國信託台灣活力基金經理人周俊宏表示，台股突破萬點門檻之後，指數持續緩漲，上週更一度來到波段高點10512點，突破2000年2月10393點的高位，今年來已上漲1141點，且連續7個月月線收紅；從資金面來看，過去1週3大法人僅投信站在賣方，外資資金仍緩和流入，但台期指未平倉淨多單目前已回到約4萬8000口，顯示台股來到高點，外資態度亦較為謹慎。,8
2017-07-03T02:20:00.000Z,（中央社記者田裕斌台北2017年7月3日電）台股6月一度突破網路泡沫時10393點高點，投信表示，能否續強除了觀察台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 後市外，量能也需維持新台幣800億元之上。,0
2017-07-03T07:04:00.000Z,今日外資賣超3.2485億元，投信賣超4.6816億元，自營商買超3.8923億元，三大法人賣超4.03億元。,-1
2017-07-03T04:46:00.000Z,中國信託台灣活力基金經理人周俊宏表示，台股突破萬點門檻之後，指數持續緩漲，上週更一度來到波段高點10512點，突破2000年2月10393點的高位，今年來已上漲1141點，且連續7個月月線收紅；從資金面來看，過去1週3大法人僅投信站在賣方，外資資金仍緩和流入，但台期指未平倉淨多單目前已回到約4萬8000口，顯示台股來到高點，外資態度亦較為謹慎。,8
2017-07-03T02:20:00.000Z,（中央社記者田裕斌台北2017年7月3日電）台股6月一度突破網路泡沫時10393點高點，投信表示，能否續強除了觀察台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 後市外，量能也需維持新台幣800億元之上。,0
2017-07-05T06:59:00.000Z,今日外資賣超22.2565億元，投信賣超4.0875億元，自營商買超27.7883億元，三大法人買超1.44億元。,-1
2017-07-10T07:10:00.000Z,今日外資賣超21.4221億元，投信賣超1.7973億元，自營商買超5.5412億元，三大法人賣超17.67億元。,-1
2017-07-11T10:36:00.000Z,外資及陸資今天買超111.29億元，投信賣超1.77億元，自營商買超16.89億元，三大法人合計買超126.41億元。,0
2017-07-11T06:46:00.000Z,今日外資買超111.2894億元，投信賣超1.7732億元，自營商買超16.8945億元，三大法人買超126.41億元。,2
2017-07-12T06:52:00.000Z,今日外資買超30.4307億元，投信買超9.503億元，自營商買超18.05億元，三大法人買超57.98億元。,3
2017-07-13T07:00:00.000Z,今日外資買超8.4645億元，投信賣超2.3245億元，自營商賣超22.1433億元，三大法人賣超16億元。,2
2017-07-14T06:55:00.000Z,今日外資賣超21.0253億元，投信賣超1.4569億元，自營商賣超1.3234億元，三大法人賣超23.8億元。,-2
2017-07-14T00:30:00.000Z,13日外資買超現貨9.42億元，但投信與自營商賣超，使得三大法人合計賣超台股14億元。,2
2017-07-17T06:53:00.000Z,今日外資買超10.7677億元，投信賣超3.3729億元，自營商買超12.1307億元，三大法人買超19.52億元。,2
2017-07-18T07:07:00.000Z,今日外資買超10.7034億元，投信賣超6.6449億元，自營商賣超9.4232億元，三大法人賣超5.36億元。,2
2017-07-19T07:16:00.000Z,今日外資買超41.99億元，投信買超0.5195億元，自營商賣超11.2607億元，三大法人買超31.24億元。,2
2017-07-20T07:01:00.000Z,今日外資賣超10.7641億元，投信賣超8.9908億元，自營商賣超3.6513億元，三大法人賣超23.4億元。,-2
2017-07-21T03:45:00.000Z,國泰投信基金經理人蘇鼎宇建議，投資人規避台股修正風險，可配置台股反向ETF。,-1
2017-07-24T06:57:00.000Z,今日外資買超13.3217億元，投信賣超7.0985億元，自營商買超7.0172億元，三大法人買超13.24億元。,2
2017-07-25T07:14:00.000Z,客製化IC領導廠商創意 (3443) 積極卡位人工智慧(AI)領域商機，未來營運成長性高，下半年和明年業績看旺，今年以來吸引市場買盤紛紛進駐，累計7月投信共加碼約2300張，今日更於開盤後約1個半小時，股價以漲停179.5元一價鎖死，委買張數逾1500張，再度創下波段新高。,12
2017-07-26T06:51:00.000Z,今日外資賣超25.3539億元，投信賣超3.9049億元，自營商賣超14.3604億元，三大法人賣超43.61億元。,-2
2017-07-27T07:05:00.000Z,今日外資買超49.4396億元，投信賣超6.7546億元，自營商買超6.7532億元，三大法人買超49.43億元。,2
2017-07-28T10:49:00.000Z,半導體矽晶圓環球晶圓 (6488) 在外資、投信與自營商聯手賣超1771張下，股價大跌24元，跌幅達8.96%，市值也縮水104.9億元。,-3
2017-07-28T07:11:00.000Z,今日外資賣超71.7373億元，投信賣超4.5797億元，自營商賣超15.9224億元，三大法人賣超92.23億元。,-2
2017-07-31T07:16:00.000Z,今日外資賣超12.123億元，投信賣超3.8149億元，自營商買超3.2829億元，三大法人賣超12.65億元。,-1
2017-07-31T07:16:00.000Z,今日外資賣超12.123億元，投信賣超3.8149億元，自營商買超3.2829億元，三大法人賣超12.65億元。,-1
