PublishDate,Sentence,Score
2019-01-02T07:11:00.000Z,今日外資(不含外資自營商)賣超95.2553億元，投信買超0.6499億元，自營商賣超4.3257億元，三大法人賣超98.93億元。,0
2019-01-02T01:43:00.000Z," 法人指出，台股在2018年年底強拉兩天後，短期支撐為9,500點至5日線，上檔壓力為季線至9900點。",0
2019-01-01T23:50:00.000Z,觀察各投顧法人機構對今年的展望，法人心之所趨，不出5G、電動車及AI等三大產業，在概念股中包括台積電 （2330） 、智邦 （2345） 、貿聯-KY （3665） 等14檔上周獲法人買超、抱股過年，準備迎接本周行情。,3
2019-01-01T23:50:00.000Z,"　盤面上列入5G概念股的智邦、台燿、先豐、智易、中磊、宏捷科，AI族群的台積電、宏碁、緯創、廣達、智原，以及電動車相關個股的貿聯-KY、啟碁、致茂等14檔本周獲法人買超、最高達5,821張，且上周五法人對這些個股仍持續站在買方，積極抱股過年。",5
2019-01-03T10:38:00.000Z,法人認為，晶圓代工廠台積電因產品交期長，2018年第4季營運受影響應有限，單季營收仍可望改寫歷史新高紀錄。,1
2019-01-03T10:38:00.000Z,不過，在手機晶片大廠高通(Qualcomm)訂單可望回籠，以及超微(AMD)7奈米訂單挹注下，法人預期，台積電2019年業績仍可望延續成長趨勢。,2
2019-01-03T10:38:00.000Z,法人指出，目前可成超過70%營收來自蘋果相關裝置，客戶集中度高，且iPhone、MacBook及iPad近年出貨量僅持平到小幅衰退，影響可成的成長動能。,-1
2019-01-03T07:06:00.000Z,今日外資(不含外資自營商)賣超88.7675億元，投信賣超7.4479億元，自營商買超33.7935億元，三大法人賣超62.42億元。,0
2019-01-03T06:07:00.000Z,法人認為，短線市場資金集中在對今年產業景氣較具共識的產業，其中尤以5G最受法人青睞，生技、散熱等次族群也有資金零星點火，台股元月行情雖尚未破滅，但漲勢難全面擴大，可能只有部分族群較有表現。,5
2019-01-03T03:39:00.000Z,公開資訊觀測站公告(2330)台積電-本公司一百年度第二期無擔保普通公司債-乙類終止櫃檯買賣公告本公司一百年度第一期無擔保普通公司債-乙類於108年1月11日到期，依財團法人中華民國證券櫃檯買賣中心中華民國107年12月5日證櫃債字第10704101312號函，自到期日之次一營業日起終止櫃檯買賣。,0
2019-01-03T02:55:00.000Z,法人認為，近期上市櫃公司進入去年12月營收公布期，若基本面表現凸出的個股有表現機會，尤其是中小型個股更容易受到法人青睞。,3
2019-01-03T02:23:00.000Z, 法人指出，台積電今年雖然可望有高通(Qualcomm)訂單回籠，還有超微(AMD)7奈米訂單挹注，應有助減緩蘋果銷售不佳對其營運衝擊，但對公司今年第一季看法保守，預計台積電上季業績如預期季增逾1成，且創新高，但本季淡季業績估季減逾1成，恐比上季營收減幅達15%。,2
2019-01-03T01:55:00.000Z, 11.良維 (6290) ：搶進AI連網商機，獲外資連日買超，昨本土法人加入多頭行列，激勵早盤放量大漲逾7.5%、最高至35.1元。,9
2019-01-04T07:13:00.000Z,今日外資(不含外資自營商)賣超92.8666億元，投信賣超8.3375億元，自營商買超47.3404億元，三大法人賣超53.86億元。,0
2019-01-04T07:13:00.000Z,然電子類大型權值股顯然持續受到法人提款，國巨 (2327) 、聯發科 (2454) 、光寶科 (2301) 、日月光投控 (3711) 、群創 (3481) 、廣達 (2382) 全面黯淡。,0
2019-01-04T02:45:00.000Z, 法人指出，由於2018年11月6日的美國期中選舉結果，係由川普所屬的共和黨及在野的民主黨分別掌控參、眾兩院，此結果也預告川普未來兩年將形成所謂的「跛腳執政」，川普先前提出的第二波減稅法案將可能在朝野角力下而無法順利於國會通過，加上從目前多項經濟指標觀察，美國的經濟成長似乎已有到頂的跡象。,1
