PublishDate,Sentence,Score
2017-11-01T03:38:00.000Z,MoneyDJ新聞 2017-11-01 11:38:45 記者 賴宏昌 報導日經亞洲評論10月31日報導，Alphabet Inc.旗下自駕車單位Waymo LLC本週一(10月30日)邀請一群媒體記者前往位於美國加州艾特瓦特(Atwater)的最高機密測試基地(暱稱為「城堡(Castle)」)、親自體驗自駕車乘坐感受。,1
2017-11-01T03:38:00.000Z,Waymo旗下目前擁有600輛自駕車在美國公共道路進行路測、平均每天合計行駛里程數超過1萬英里。,1
2017-11-01T03:38:00.000Z,根據Alphabet Inc.於美國股市10月26日盤後公佈的2017年第3季(截至2017年9月30日為止)財報，涵蓋Waymo、創投、Verily、Nest的「其他賭注(Other Bets)」第3季營收年增53%至3.02億美元，當季營損自一年前的8.61億美元降至8.12億美元。,0
2017-11-01T00:14:00.000Z,他說，儘管新晶片會在短期內送樣，並於今年下半量產，但是蘋果和美國通訊商對品質管控要求極高，晶片須經漫長的認證程序，不太可能用於今年的新iPhone(全文見此)。,-1
2017-11-01T00:10:00.000Z,"外國人部分，以日本3,162件最高，其次依序為美國(1,476件)、南韓(520件)、中國大陸(484件)、德國(289件)。",1
2017-11-01T00:10:00.000Z,"外國人部分，以日本3,026件最高，其次為美國(1,873件)、南韓(495件)、中國大陸(355件)、德國(253件)。",1
2017-11-01T00:10:00.000Z,"(三)外國人部分，以中國大陸(1,197件)最高，其次依序為美國(991件)、日本(974件)、南韓(499件)、香港(404件)。",1
2017-11-02T06:02:00.000Z,雖然美國聯邦準備理事會（Fed）表示，經濟穩定成長，但美國主要股市漲跌互見。,3
2017-11-02T03:47:00.000Z,CNBC、Business Insider報導，CME表示，獲得美國商品期貨交易委員會(CFTC)核准後，將推出比特幣期貨。,2
2017-11-02T03:47:00.000Z,更讓他憂慮的是，要是CFTC點頭，美國證管會(SEC)可能也會屈服於壓力，核准比特幣ETF。,-5
2017-11-02T03:12:00.000Z,雖然美國聯邦準備理事會（Fed）表示，經濟穩定成長，但美國主要股市漲跌互見；由於基本資源類股大幅攀升，加上歐元連續第2天貶值帶動出口類股上揚，歐洲主要股市創2年高點。,5
2017-11-02T03:12:00.000Z,國泰證期指出，相較歐美，新興國家製造業復甦明顯落後，台灣算是新興國家中表現最強；在通膨因素下降，巴西、印度、俄羅斯繼續降息，整體上雖有資金回流美國壓力，新興國家政策偏多，資金大逆轉尚未出現徵兆。,-3
2017-11-02T02:59:00.000Z,美國聯準會宣布維持基準利率不變，並暗示12月將再度升息，帶動美元指數走高，市場觀望外資動向變動。,2
2017-11-02T02:20:00.000Z,中國人臉辨識技術成果突出，上週在義大利舉行的國際電腦視覺大會，陸企表現擊敗谷歌、臉書、微軟等美國科技巨擘。,1
2017-11-03T06:59:00.000Z,美國總統川普提名鮑威爾為聯準會下任主席，周四美股道瓊指數再創新高，受到蘋果財報優於預期且iPhone X今日在台開賣激勵，台股今日小幅開高，在股王大立光 (3008) 衝高領軍蘋概股強彈，推升盤中指數一度攻抵10835.7點，惟台積電 (2330) 續弱壓抑指數表現，尾盤在金融股拉抬助陣下，終場加權指數剛好站上10800點大關，上漲12.26點收在10800.77點，成交值為1130.32億元；周線翻紅上漲91.66點。,14
2017-11-03T06:17:00.000Z,國泰證期今天表示，美國聯邦準備理事會（Fed）維持利率不變，加上鮑爾(Jerome Powell)接任Fed主席，其鴿派立場為美元走勢帶來壓力，將有利於後續資金流向亞洲；新台幣若因此轉強，後續外資有望維持偏多格局不變，加上國際股市強勢、美股持續高漲，台股維持偏多格局不變。,6
2017-11-03T06:03:00.000Z,  美國總統川普(Donald Trump)正式提名立場偏鴿派的鮑威爾(Jerome ’Jay’Powell)接任下屆聯準會(Fed)主席，道瓊指數周四再創新高。,5
2017-11-03T06:03:00.000Z,  蘋果(Apple Inc.)於美國股市2日盤後公布2017年度第4季財報，優於預期，激勵台蘋果供應鏈；大立光 (3008) 領軍、玉晶光 (3406) 漲勢再起，華通 (2313) 股價強攻；相對而言，Tesla業績遜預期，股價挫6.8%，和大 (1536) 、貿聯-KY (3665) 近期也隨消息面持續拉回。,7
2017-11-03T05:52:00.000Z,(相關圖片按此1、2)在新加坡烏節路的Apple Store於1日下午就出現排隊人潮；德國柏林也有很多消費者撐傘在雨中等待iPhone X開賣；美國加州帕羅奧圖的Apple Store在2天前就有消費者坐著等買iPhone X。,1
2017-11-03T02:06:00.000Z,  美國總統川普(Donald Trump)正式提名立場偏鴿派的包威爾(Jerome ’Jay’ Powell)接任下屆聯準會(Fed)主席，道瓊指數周四創新高。,4
2017-11-03T02:06:00.000Z,  蘋果(Apple Inc.)於美國股市2日盤後公布2017年度第4季財報，優於預期，激勵台蘋果供應鏈；大立光 (3008) 領軍、玉晶光 (3406) 、亞光 (3019) 漲勢再起，華通 (2313) 股價強攻；相對而言，Tesla業績遜預期，股價挫6.8%，和大 (1536) 、貿聯-KY (3665) 以及前波漲多的美琪瑪 (4721) 、康普 (4739) 也隨消息面持續拉回。,7
2017-11-01T03:38:00.000Z,MoneyDJ新聞 2017-11-01 11:38:45 記者 賴宏昌 報導日經亞洲評論10月31日報導，Alphabet Inc.旗下自駕車單位Waymo LLC本週一(10月30日)邀請一群媒體記者前往位於美國加州艾特瓦特(Atwater)的最高機密測試基地(暱稱為「城堡(Castle)」)、親自體驗自駕車乘坐感受。,1
2017-11-01T03:38:00.000Z,Waymo旗下目前擁有600輛自駕車在美國公共道路進行路測、平均每天合計行駛里程數超過1萬英里。,1
2017-11-01T03:38:00.000Z,根據Alphabet Inc.於美國股市10月26日盤後公佈的2017年第3季(截至2017年9月30日為止)財報，涵蓋Waymo、創投、Verily、Nest的「其他賭注(Other Bets)」第3季營收年增53%至3.02億美元，當季營損自一年前的8.61億美元降至8.12億美元。,0
2017-11-01T00:14:00.000Z,他說，儘管新晶片會在短期內送樣，並於今年下半量產，但是蘋果和美國通訊商對品質管控要求極高，晶片須經漫長的認證程序，不太可能用於今年的新iPhone(全文見此)。,-1
2017-11-01T00:10:00.000Z,"外國人部分，以日本3,162件最高，其次依序為美國(1,476件)、南韓(520件)、中國大陸(484件)、德國(289件)。",1
2017-11-01T00:10:00.000Z,"外國人部分，以日本3,026件最高，其次為美國(1,873件)、南韓(495件)、中國大陸(355件)、德國(253件)。",1
2017-11-01T00:10:00.000Z,"(三)外國人部分，以中國大陸(1,197件)最高，其次依序為美國(991件)、日本(974件)、南韓(499件)、香港(404件)。",1
2017-11-02T06:02:00.000Z,雖然美國聯邦準備理事會（Fed）表示，經濟穩定成長，但美國主要股市漲跌互見。,3
2017-11-02T03:47:00.000Z,CNBC、Business Insider報導，CME表示，獲得美國商品期貨交易委員會(CFTC)核准後，將推出比特幣期貨。,2
2017-11-02T03:47:00.000Z,更讓他憂慮的是，要是CFTC點頭，美國證管會(SEC)可能也會屈服於壓力，核准比特幣ETF。,-5
2017-11-02T03:12:00.000Z,雖然美國聯邦準備理事會（Fed）表示，經濟穩定成長，但美國主要股市漲跌互見；由於基本資源類股大幅攀升，加上歐元連續第2天貶值帶動出口類股上揚，歐洲主要股市創2年高點。,5
