PublishDate,Sentence,Score
2018-08-01T07:16:00.000Z,傳中美兩大經濟體試圖重行談判，激勵周二美股反彈收高。,2
2018-08-01T06:41:00.000Z,傳中美兩大經濟體正試圖重行談判，周二美股反彈收高。,0
2018-08-01T03:11:00.000Z,傳中美兩大經濟體正試圖重行談判，周二美股反彈收高。,0
2018-08-01T03:00:00.000Z,法人表示，蘋果在服務方面的收入成長力道強勁，讓財報數字優於預期，對第4季展望也符合外界期待，在美股盤後股價上漲3.7%，帶動蘋概股成為今天盤面多頭指標；不過，國巨 (2327) 在痛失股后後今天股價在平盤附近整理，被動元件個股表現也分歧，奇力新 (2456) 較強，華新科 (2492) 、大毅 (2478) 、禾伸堂 (3026) 偏弱。,11
2018-08-02T07:27:00.000Z,操作上，電子股暫失焦點，美股又有調整風險，但大陸有擴大基礎建設的題材，故選股轉向傳產股，原物料中塑膠、紡織有獲利支撐，還有填息行情可期待。,5
2018-08-02T02:43:00.000Z,受益於蘋果財報表現亮眼，帶動科技股漲勢，但油價走低及提高關稅消息，美股跌多漲少，台股今天開低後，受到台積電 (2330) 、大立光 (3008) 及鴻海 (2317) 等電子大型股及金控股走跌影響，指數一路走跌，盤中跌破11000點，跌點近百點，回測10日均線支撐。,1
2018-08-02T02:43:00.000Z,電子股暫失焦點，美股又有調整風險，但中國有擴大基礎建設的題材，故選股轉向傳產股，原物料中塑膠、紡織平穩，有獲利支撐，還有填息行情可期待。,6
2018-08-03T06:18:00.000Z,美國科技業巨擘蘋果公司股價2日大漲近3%，成為美國第一家市值突破一兆美元的上市公司，美股終場漲多跌少，那斯達克指數勁揚逾1%。,4
2018-08-03T06:18:00.000Z,分析師指出，昨天台股重挫，但下殺量能並未明顯暴增，顯示短線無恐慌氣氛，加上大盤下檔有月線、季線支撐，隨國際股市跌勢收斂，台股今天反彈；看好美股四大指數轉上攻，短、中多格局不變，台股則觀察近期趨勢持續走多、具整併題材的金融股，非電金近期仍是以生技、原物料、內需與環保為主軸，化工、Tesla概念也有表現。,-1
2018-08-03T03:16:00.000Z,（中央社記者江明晏台北2018年8月3日電）蘋果市值突破兆元，帶動美股那斯達克指數勁揚，台股2日因貿易戰升溫影響重挫後，今天盤中股價反彈逾70點，在「萬一」整數關卡附近徘徊，蘋概3巨頭走揚。,2
2018-08-03T03:16:00.000Z,美國科技業巨擘蘋果公司股價2日大漲近3%，成為美國第一家市值突破1兆美元的上市公司，美股終場漲多跌少，那斯達克指數勁揚逾1%，終場上漲95.40點，收在7802.69點。,4
2018-08-03T02:54:00.000Z,美股四大指數漲多跌少，僅道瓊收跌7.66點，日韓股市反彈，陸股則在美國持續出手貿易戰下，壓回震盪，台股今開漲27.53點，報在10957.3點，隨後指數持續震盪走高，力拚重回11000點大關，期貨強於現貨，目前美國擬以第二回合貿易戰手段逼出大陸談判，攸關全球政經局勢，台股短線持續存在壓力。,0
2018-08-01T07:16:00.000Z,傳中美兩大經濟體試圖重行談判，激勵周二美股反彈收高。,2
2018-08-01T06:41:00.000Z,傳中美兩大經濟體正試圖重行談判，周二美股反彈收高。,0
2018-08-01T03:11:00.000Z,傳中美兩大經濟體正試圖重行談判，周二美股反彈收高。,0
2018-08-01T03:00:00.000Z,法人表示，蘋果在服務方面的收入成長力道強勁，讓財報數字優於預期，對第4季展望也符合外界期待，在美股盤後股價上漲3.7%，帶動蘋概股成為今天盤面多頭指標；不過，國巨 (2327) 在痛失股后後今天股價在平盤附近整理，被動元件個股表現也分歧，奇力新 (2456) 較強，華新科 (2492) 、大毅 (2478) 、禾伸堂 (3026) 偏弱。,11
2018-08-02T07:27:00.000Z,操作上，電子股暫失焦點，美股又有調整風險，但大陸有擴大基礎建設的題材，故選股轉向傳產股，原物料中塑膠、紡織有獲利支撐，還有填息行情可期待。,5
2018-08-02T02:43:00.000Z,受益於蘋果財報表現亮眼，帶動科技股漲勢，但油價走低及提高關稅消息，美股跌多漲少，台股今天開低後，受到台積電 (2330) 、大立光 (3008) 及鴻海 (2317) 等電子大型股及金控股走跌影響，指數一路走跌，盤中跌破11000點，跌點近百點，回測10日均線支撐。,1
2018-08-02T02:43:00.000Z,電子股暫失焦點，美股又有調整風險，但中國有擴大基礎建設的題材，故選股轉向傳產股，原物料中塑膠、紡織平穩，有獲利支撐，還有填息行情可期待。,6
2018-08-03T06:18:00.000Z,美國科技業巨擘蘋果公司股價2日大漲近3%，成為美國第一家市值突破一兆美元的上市公司，美股終場漲多跌少，那斯達克指數勁揚逾1%。,4
2018-08-03T06:18:00.000Z,分析師指出，昨天台股重挫，但下殺量能並未明顯暴增，顯示短線無恐慌氣氛，加上大盤下檔有月線、季線支撐，隨國際股市跌勢收斂，台股今天反彈；看好美股四大指數轉上攻，短、中多格局不變，台股則觀察近期趨勢持續走多、具整併題材的金融股，非電金近期仍是以生技、原物料、內需與環保為主軸，化工、Tesla概念也有表現。,-1
2018-08-03T03:16:00.000Z,（中央社記者江明晏台北2018年8月3日電）蘋果市值突破兆元，帶動美股那斯達克指數勁揚，台股2日因貿易戰升溫影響重挫後，今天盤中股價反彈逾70點，在「萬一」整數關卡附近徘徊，蘋概3巨頭走揚。,2
2018-08-03T03:16:00.000Z,美國科技業巨擘蘋果公司股價2日大漲近3%，成為美國第一家市值突破1兆美元的上市公司，美股終場漲多跌少，那斯達克指數勁揚逾1%，終場上漲95.40點，收在7802.69點。,4
2018-08-03T02:54:00.000Z,美股四大指數漲多跌少，僅道瓊收跌7.66點，日韓股市反彈，陸股則在美國持續出手貿易戰下，壓回震盪，台股今開漲27.53點，報在10957.3點，隨後指數持續震盪走高，力拚重回11000點大關，期貨強於現貨，目前美國擬以第二回合貿易戰手段逼出大陸談判，攸關全球政經局勢，台股短線持續存在壓力。,0
2018-08-05T05:07:00.000Z,美股財報表現略佳，部分個股有利多出盡的情況，反觀台股資金流向穩健權值股，預估短期指數將延續區間震盪。,2
2018-08-07T07:08:00.000Z,臉書擬推出新服務，激勵周一美股三大指數收高！台股在雙王台積電 (2330) 仍受累中毒事件走弱，大立光 (3008) 亦上演5000元保衛戰，加上台塑四寶僅台化 (1326) 相對有撐，拖累指數再陷萬一攻防，惟空方大軍略勝一籌，指數多於盤下震盪，最後一盤遭大單賣出壓低指數，終場加權指數下跌40.66點為10983.44點，收在今日最低點，並失守11000點關卡，成交值為1188.28億元。,-5
2018-08-07T06:43:00.000Z,美股走揚拉不動台股大盤，台股今日開高走低，失守萬一城池。,-2
2018-08-07T02:57:00.000Z,（中央社記者韓婷婷台北2018年8月7日電）美股走揚帶動亞股全面上漲，台股卻因台積電 (2330) 續弱跌破10日線244.65元，大立光 (3008) 也一度跌破5000元關卡，拖累指數在亞股中獨黑，多空在11000點激戰，量能持續失血。,-3
