PublishDate,Sentence,Score
2018-03-01T07:23:00.000Z,今日外資(不含外資自營商)賣超28.7993億元，投信賣超2.3192億元，自營商賣超12.9412億元，三大法人賣超44.05億元。,-1
2018-03-02T07:18:00.000Z,今日外資(不含外資自營商)賣超155.7629億元，投信買超0.2723億元，自營商賣超2.2076億元，三大法人賣超157.69億元。,0
2018-03-01T07:23:00.000Z,今日外資(不含外資自營商)賣超28.7993億元，投信賣超2.3192億元，自營商賣超12.9412億元，三大法人賣超44.05億元。,-1
2018-03-02T07:18:00.000Z,今日外資(不含外資自營商)賣超155.7629億元，投信買超0.2723億元，自營商賣超2.2076億元，三大法人賣超157.69億元。,0
2018-03-05T07:11:00.000Z,今日外資(不含外資自營商)賣超102.1311億元，投信賣超2.3813億元，自營商賣超21.0519億元，三大法人賣超125.56億元。,-1
2018-03-06T07:22:00.000Z,今日外資(不含外資自營商)買超37.3137億元，投信賣超2.1283億元，自營商賣超6.8083億元，三大法人買超28.37億元。,0
2018-03-07T07:22:00.000Z,今日外資(不含外資自營商)賣超1.622億元，投信買超3.9824億元，自營商買超7.9659億元，三大法人買超10.32億元。,0
2018-03-08T07:15:00.000Z,今日外資(不含外資自營商)賣超9.5189億元，投信賣超2.9484億元，自營商買超9.7725億元，三大法人賣超2.69億元。,0
2018-03-08T02:14:00.000Z,  25.矽統 (2363) ：搶進3D手勢控制、ADAS市場，且外資、自營商相挺，股價一度走揚近3%。,3
2018-03-09T07:10:00.000Z,今日外資(不含外資自營商)賣超19.8049億元，投信買超3.0245億元，自營商買超13.3764億元，三大法人賣超3.40億元。,0
2018-03-12T07:14:00.000Z,今日外資(不含外資自營商)買超123.7117億元，投信買超2.4243億元，自營商買超14.1443億元，三大法人買超140.28億元。,1
2018-03-14T07:10:00.000Z,今日外資(不含外資自營商)賣超83.1881億元，投信賣超2.0156億元，自營商賣超7.5078億元，三大法人賣超92.71億元。,-1
2018-03-15T07:19:00.000Z,今日外資(不含外資自營商)賣超20.5712億元，投信賣超6.6659億元，自營商買超5.351億元，三大法人賣超21.88億元。,0
2018-03-16T07:13:00.000Z,今日外資(不含外資自營商)買超15.6414億元，投信買超0.0936億元，自營商賣超12.2528億元，三大法人買超3.48億元。,0
2018-03-20T07:15:00.000Z,今日外資(不含外資自營商)買超0.4027億元，投信賣超6.0222億元，自營商賣超1.6897億元，三大法人賣超7.30億元。,0
2018-03-20T02:05:00.000Z,  23.威盛 (2388) ：不畏列入警示股，昨外資、自營商回頭買超，股價漲近4%，續創波段新高價。,0
2018-03-22T07:06:00.000Z,今日外資(不含外資自營商)買超32.621億元，投信買超1.1816億元，自營商賣超49.9276億元，三大法人賣超16.12億元。,0
2018-03-23T07:11:00.000Z,今日外資(不含外資自營商)賣超60.318億元，投信賣超6.9293億元，自營商賣超38.6894億元，三大法人賣超105.93億元。,-1
2018-03-26T07:16:00.000Z,今日外資(不含外資自營商)賣超87.9925億元，投信賣超7.9603億元，自營商賣超20.4億元，三大法人賣超116.35億元。,-1
2018-03-27T07:06:00.000Z,今日外資(不含外資自營商)買超25.4234億元，投信賣超1.5228億元，自營商賣超10.6985億元，三大法人買超13.20億元。,0
2018-03-28T07:19:00.000Z,今日外資(不含外資自營商)賣超84.94億元，投信賣超7.0684億元，自營商賣超44.1979億元，三大法人賣超136.20億元。,-1
2018-03-29T07:15:00.000Z,今日外資(不含外資自營商)賣超125.057億元，投信賣超5.1732億元，自營商賣超6.2818億元，三大法人賣超136.51億元。,-1
2018-03-30T07:13:00.000Z,今日外資(不含外資自營商)買超19.5693億元，投信賣超7.4796億元，自營商買超2.7678億元，三大法人買超14.85億元。,0
2018-03-31T07:09:00.000Z,今日外資(不含外資自營商)賣超0.6456億元，投信賣超0.4446億元，自營商賣超2.6976億元，三大法人賣超3.78億元。,-1
2018-03-31T07:09:00.000Z,今日外資(不含外資自營商)賣超0.6456億元，投信賣超0.4446億元，自營商賣超2.6976億元，三大法人賣超3.78億元。,-1
2018-03-30T07:13:00.000Z,今日外資(不含外資自營商)買超19.5693億元，投信賣超7.4796億元，自營商買超2.7678億元，三大法人買超14.85億元。,0
2018-03-29T07:15:00.000Z,今日外資(不含外資自營商)賣超125.057億元，投信賣超5.1732億元，自營商賣超6.2818億元，三大法人賣超136.51億元。,-1
