PublishDate,Sentence,Score
2017-10-03T07:42:00.000Z,9月份中國關閉虛擬貨幣交易所和戴蒙發言，一度導致比特幣重挫，不過比特幣已經站穩腳步，收復9月份所有失土(圖表見此)。,-1
2017-10-03T07:42:00.000Z,"中國宣布關閉虛擬貨幣網站時，比特幣曾跌破3,000美元大關。",-1
2017-10-03T01:58:00.000Z,  6.淘帝-KY (2929) ：2018春夏訂貨會加入山西代理商，中國布局再下一城，股價持續偏多，早盤漲幅約1%。,3
2017-10-03T07:42:00.000Z,9月份中國關閉虛擬貨幣交易所和戴蒙發言，一度導致比特幣重挫，不過比特幣已經站穩腳步，收復9月份所有失土(圖表見此)。,-1
2017-10-03T07:42:00.000Z,"中國宣布關閉虛擬貨幣網站時，比特幣曾跌破3,000美元大關。",-1
2017-10-03T01:58:00.000Z,  6.淘帝-KY (2929) ：2018春夏訂貨會加入山西代理商，中國布局再下一城，股價持續偏多，早盤漲幅約1%。,3
2017-10-05T04:03:00.000Z,研調機構IC Insights最新報告指出，中國大陸晶圓代工市場今年估將年增16%至近70億美元規模，台積電 (2330) 在中國市場的市占率估達46%居龍頭地位，且包括台積電、聯電 (2303) 等多家晶圓代工業者持續在中國新建廠房。,2
2017-10-05T04:03:00.000Z,  IC Insights表示，IC設計廠崛起，帶動中國大陸晶圓代工需求升溫，預估今年大陸晶圓代工市場規模將逼近70億美元，將增加16%，增幅將是整體晶圓代工市場的1倍以上。,2
2017-10-05T04:03:00.000Z,中國晶圓代工市場於2015年占全球市場的11%，2016年估為12%，預計今年將占整體晶圓代工比重達13%。,0
2017-10-05T04:03:00.000Z,聯電預計在中國福建興建12吋晶圓廠，製造採用聯電開發的32奈米技術的DRAM。,1
2017-10-05T04:03:00.000Z,  台積電中國南京的12吋晶圓廠今年9月舉行進機典禮，預計將於明年下半年量產。,2
2017-10-05T04:01:00.000Z,　　中國大陸政府砸大錢扶植本土的半導體產業，加上大陸IC設計業者大舉崛起，對晶圓代工需求日甚，兩相加總下，今年中國大陸晶圓代工市場規模，今年可望逼近70億美元，不單年增16%，增幅將是整體晶圓代工市場的1倍以上，占整體晶圓代工比重將達13%，凸顯出中國大陸晶圓代工產業崛起速度之快。,1
2017-10-05T04:01:00.000Z,　　另外，若光以今年大陸晶圓代工市場來說，台積電今年在大陸的業績規模雖然僅約31.7億美元，但台積電在中國大陸的市占率，高達46%，龍頭霸主地位無法撼動。,0
2017-10-05T04:01:00.000Z,而中芯國際今年大陸市場業績約14.55億美元，在大陸市場的占有率約21%，為老二，聯電則是在中國大陸市占率第三的晶圓代工廠，今年大陸市場業績約6.35億美元，大陸市占率約9%。,-1
2017-10-06T07:02:00.000Z,　蘋概股今日扮領頭羊，可成 (2474) 9月營收首度突破百億元帶動股價勁彈，台積電 (2330) 、鴻海 (2317) 、和碩 (4938) 等表現穩健，致伸 (4915) 、順達 (3211) 、美律 (2439) 大漲逾半根停板，股王大立光 (3008) 9月營收續創今年新高、10月會更好，惟股價翻黑收低；非蘋陣營聯發科 (2454) 受惠中國大陸十一連假，當地品牌智慧機銷售告捷，加上外資喊上380元，激勵股價收高；太陽光電展18日登場，概念股碩禾 (3691) 、國碩 (2406) 、太極能 (4934) 、元晶 (6443) 表現不俗。,8
2017-10-06T06:21:00.000Z,  電子股權值股聚焦個股表現，股王大立光 (3008) 儘管9月營收報喜，但股價卻是壓低震盪，終場下跌100元，報在5490元，在市場擔憂蘋果iPhone X良率不佳下，包括蘋果概念指標股表現也備受壓抑，台積電 (2330) 則收在平盤位置，報在224.5元，鴻海 (2317) 也僅小漲0.5元，報在106.5元，反倒是具有非蘋概念的聯發科 (2454) ，受惠中國大陸十一連假，當地品牌智慧機銷售告捷，加上外資上調目標價最高到380元，終場收漲2.11%，報在291元。,-1
