PublishDate,Sentence,Score
2017-06-01T07:09:00.000Z,分析師表示，台股今日量縮反彈，顯示市場籌碼仍相對安定，短多穩步走高仍審慎樂觀；目前權值股仍持穩輪動，台股短期下檔空間不必過分悲觀，但上檔受制大戶逢高獲利了結心態濃厚，使盤勢高檔整理時間恐將拉長。,4
2017-06-01T05:55:00.000Z,分析師表示，台股守在所有均線之上，顯示多方依舊對盤勢有掌控力，只不過位處萬點之上，指數有震盪清洗籌碼的必要，短線指數恐仍在萬點附近震盪，等待新的主流類股脫穎而出。,0
2017-06-01T05:55:00.000Z,分析師認為，雖然成交量降至800億元左右，但上檔籌碼壓力並不重，主要是市場受到心理面影響，逢高獲利了結賣壓持續湧出，加上主流類股漲多有休息需要，其他族群未能適時接棒，造成短線出現震盪。,3
2017-06-01T02:41:00.000Z,  分析師表示，端午過後指數表現中性偏弱，主要因電子族群在五窮六絕之下較無表現，因此壓抑指數表現，但第三季將步入旺季，且今年IPhone在下半年有望推升相關零組件的業績，因此短線指數即使震盪整理，後續仍有強勢機會。,2
2017-06-01T02:40:00.000Z,分析師表示，台股擺脫昨天收中黑的陰霾，指數開盤後即展現強攻意圖，高點一度達10100點，不過高檔獲利了結賣壓仍重，過10時後多方面臨明顯壓力，漲幅有縮小之勢，金融股受到美國金融股重挫的影響，今天表現也相對弱勢。,-1
2017-06-01T02:40:00.000Z,分析師認為，台股短線恐在10000點附近進行震盪整理，一方面多方可重整旗鼓，另一方面籌碼也能進行沈澱，由於指數陷入震盪，權值股表現空間有限，中小型股若有利基題材，有機會率先突圍而出。,3
2017-06-02T07:13:00.000Z,分析師表示，台股持穩萬點之上溫和上漲，目前技術面型態均線多頭架構完整、消息面利多大於利空，但量能仍無法有效放大，待蘋果新機拉貨概念題材逐步發酵下，可望延續上攻動能。,4
2017-06-02T06:21:00.000Z,  就台股目前盤勢結構來看，分析師指出，加權指數呈現狹幅震盪，持穩萬點之上的溫和上漲，但權值類股走勢分化明顯，短期均線再度呈現糾結，且量能顯著下滑，在6月具較高升息預期影響市場買盤積極程度下，台股指數短期仍偏向震盪整理後，待蘋果新機拉貨概念題材逐步發酵將具上攻動能。,6
2017-06-02T02:26:00.000Z,  分析師指出，台股今日持續走揚，日線也已經連2紅，惟值得注意的是，大盤現階段日成交量出現大幅萎縮逾，且不及月均量，顯示儘管指數位居萬點之上，投資人還是普遍謹慎操作，但所幸技術面仍穩健，考量中經院及日經公布的5月製造業PMI指數台灣皆穩定擴張，外資未出現連續擴大賣超，台股有機會於萬點之上持續整理，接下來可留意5月營收表現亮眼、低本益比的公司波段操作，預計短線大盤未跌破9900點支撐之前，研判台股短多趨勢不變。,11
2017-06-03T07:08:00.000Z,分析師表示，目前台股均線仍呈現多頭排列，周指標強勢偏多未變，大盤仍可望維持於萬點之上持續上行；操作上，可聚焦財報亮眼、股東會營運展望正向及具籌碼優勢個股。,8
2017-06-03T06:37:00.000Z,　分析師表示，近期三大指數中，電子指數延續強勢走勢，與大盤同步維持創高格局，而非金電指數自5月中旬以來亦見走強，只有金融指數走勢偏弱，可見電子股無異是推升台股的主要動力，短線上，大盤漲勢仍有賴電子權值股的表現，操作上，由於6月後包括國外FOMC與ECB會議、英法大選及國內公司公布5月營收、股東會等因素將持續干擾，後續市場氛圍或將受到影響，而台股現處高位亦應抱持居高思危心態，因此現階段建議仍以具有基本面及業績展望的個股為主要擇股標的，短線上可留意Computex、WWDC等展覽題材股適度因應，以及股價已回檔、業績展望看佳的個股及高殖息率股票。,7
2017-06-03T06:17:00.000Z,CoinDesk研究分析師Alex Sunnarborg說，比特幣全球交易量大稱，其中尤以日本和當地bitFlyer交易平台活動最為熱絡。,1
2017-06-03T02:43:00.000Z,（中央社記者吳家豪台北2017年6月3日電）台股今天獨家開市，呈現量縮盤整格局，資金輪動以中小型股為主，觀光族群表現強勢；分析師認為，新台幣強勢將引導資金流入，短線外資偏多操作的格局不變，指數將持續震盪走高。,4
2017-06-03T02:43:00.000Z,分析師表示，新台幣兌美元維持在30.1元附近震盪，表現相對強勢，將引導資金流入，加上美股強勢創高，短線外資偏多操作的格局不變，有利指數維持強勢，加上市場信心指標OTC走勢強於大盤，短線趨勢不變下，指數將持續震盪走高，預期5日線下將具明顯支撐，震盪回檔都可逢低買進。,11
2017-06-01T07:09:00.000Z,分析師表示，台股今日量縮反彈，顯示市場籌碼仍相對安定，短多穩步走高仍審慎樂觀；目前權值股仍持穩輪動，台股短期下檔空間不必過分悲觀，但上檔受制大戶逢高獲利了結心態濃厚，使盤勢高檔整理時間恐將拉長。,4
2017-06-01T05:55:00.000Z,分析師表示，台股守在所有均線之上，顯示多方依舊對盤勢有掌控力，只不過位處萬點之上，指數有震盪清洗籌碼的必要，短線指數恐仍在萬點附近震盪，等待新的主流類股脫穎而出。,0
2017-06-01T05:55:00.000Z,分析師認為，雖然成交量降至800億元左右，但上檔籌碼壓力並不重，主要是市場受到心理面影響，逢高獲利了結賣壓持續湧出，加上主流類股漲多有休息需要，其他族群未能適時接棒，造成短線出現震盪。,3
2017-06-01T02:41:00.000Z,  分析師表示，端午過後指數表現中性偏弱，主要因電子族群在五窮六絕之下較無表現，因此壓抑指數表現，但第三季將步入旺季，且今年IPhone在下半年有望推升相關零組件的業績，因此短線指數即使震盪整理，後續仍有強勢機會。,2
2017-06-01T02:40:00.000Z,分析師表示，台股擺脫昨天收中黑的陰霾，指數開盤後即展現強攻意圖，高點一度達10100點，不過高檔獲利了結賣壓仍重，過10時後多方面臨明顯壓力，漲幅有縮小之勢，金融股受到美國金融股重挫的影響，今天表現也相對弱勢。,-1
2017-06-01T02:40:00.000Z,分析師認為，台股短線恐在10000點附近進行震盪整理，一方面多方可重整旗鼓，另一方面籌碼也能進行沈澱，由於指數陷入震盪，權值股表現空間有限，中小型股若有利基題材，有機會率先突圍而出。,3
2017-06-02T07:13:00.000Z,分析師表示，台股持穩萬點之上溫和上漲，目前技術面型態均線多頭架構完整、消息面利多大於利空，但量能仍無法有效放大，待蘋果新機拉貨概念題材逐步發酵下，可望延續上攻動能。,4
2017-06-02T06:21:00.000Z,  就台股目前盤勢結構來看，分析師指出，加權指數呈現狹幅震盪，持穩萬點之上的溫和上漲，但權值類股走勢分化明顯，短期均線再度呈現糾結，且量能顯著下滑，在6月具較高升息預期影響市場買盤積極程度下，台股指數短期仍偏向震盪整理後，待蘋果新機拉貨概念題材逐步發酵將具上攻動能。,6
2017-06-02T02:26:00.000Z,  分析師指出，台股今日持續走揚，日線也已經連2紅，惟值得注意的是，大盤現階段日成交量出現大幅萎縮逾，且不及月均量，顯示儘管指數位居萬點之上，投資人還是普遍謹慎操作，但所幸技術面仍穩健，考量中經院及日經公布的5月製造業PMI指數台灣皆穩定擴張，外資未出現連續擴大賣超，台股有機會於萬點之上持續整理，接下來可留意5月營收表現亮眼、低本益比的公司波段操作，預計短線大盤未跌破9900點支撐之前，研判台股短多趨勢不變。,11
2017-06-03T07:08:00.000Z,分析師表示，目前台股均線仍呈現多頭排列，周指標強勢偏多未變，大盤仍可望維持於萬點之上持續上行；操作上，可聚焦財報亮眼、股東會營運展望正向及具籌碼優勢個股。,8
2017-06-03T06:37:00.000Z,　分析師表示，近期三大指數中，電子指數延續強勢走勢，與大盤同步維持創高格局，而非金電指數自5月中旬以來亦見走強，只有金融指數走勢偏弱，可見電子股無異是推升台股的主要動力，短線上，大盤漲勢仍有賴電子權值股的表現，操作上，由於6月後包括國外FOMC與ECB會議、英法大選及國內公司公布5月營收、股東會等因素將持續干擾，後續市場氛圍或將受到影響，而台股現處高位亦應抱持居高思危心態，因此現階段建議仍以具有基本面及業績展望的個股為主要擇股標的，短線上可留意Computex、WWDC等展覽題材股適度因應，以及股價已回檔、業績展望看佳的個股及高殖息率股票。,7
2017-06-03T06:17:00.000Z,CoinDesk研究分析師Alex Sunnarborg說，比特幣全球交易量大稱，其中尤以日本和當地bitFlyer交易平台活動最為熱絡。,1
2017-06-03T02:43:00.000Z,（中央社記者吳家豪台北2017年6月3日電）台股今天獨家開市，呈現量縮盤整格局，資金輪動以中小型股為主，觀光族群表現強勢；分析師認為，新台幣強勢將引導資金流入，短線外資偏多操作的格局不變，指數將持續震盪走高。,4
2017-06-03T02:43:00.000Z,分析師表示，新台幣兌美元維持在30.1元附近震盪，表現相對強勢，將引導資金流入，加上美股強勢創高，短線外資偏多操作的格局不變，有利指數維持強勢，加上市場信心指標OTC走勢強於大盤，短線趨勢不變下，指數將持續震盪走高，預期5日線下將具明顯支撐，震盪回檔都可逢低買進。,11
2017-06-05T03:32:00.000Z,分析師認為，盤勢短線仍將呈現高檔震盪，但本周仍有向上挑戰17年高點10393點機會。,2
2017-06-05T03:32:00.000Z,　分析師指出，台股在外資持續匯入拉抬下，指數近期維持驚驚漲格局，隨著進入5月營收公布期，且台積電、台塑化、華碩 （2357） 等將召開股東會，釋出下半年營運展望；而美國FOMC會議下周將召開，市場關注是否持續升息，則將影響美股表現及外資後續資金流動。,5
2017-06-05T03:32:00.000Z,　分析師指出，由於台股指數已處高檔，隨著步入除權息時期，指數表現將受其影響而有所失真，因此操作上應選股不選市，可留意展望績優、具展覽題材、高殖利率等族群個股，逢較大回檔時進場布局的短打策略因應。,5
2017-06-05T03:02:00.000Z,分析師表示，本週進入5月營收公布期，具有營收利多的個股可望突圍而出，個股表現將優於指數空間，尤其是中小型電子股在內資回籠下，有機會出現明顯攻勢。,6
2017-06-06T06:18:00.000Z,分析師表示，過去兩個月台股已醞釀相當的漲幅，未來1~2個月可優先布局高股息殖利率股以因應市場的震盪。,2
2017-06-06T06:18:00.000Z,  分析師表示，本周要觀察歐洲央行利率會議決策，及上市櫃公司5月營收狀況，若表現持續正向，有利資金行情。,2
2017-06-06T06:09:00.000Z,元大投顧分析師薛舜日表示，現階段台股主軸還是看國際股市，前天美股3大指數創新高，台股隨美股走揚，前一交易日已創17年新高，今天順勢隨美股在平盤附近震盪，但仍在5日線之上。,4
2017-06-06T02:52:00.000Z,  分析師表示，雖然美國6月中旬即將升息，但台股即將進入除權息旺季、殖利率近4%，吸引資金進駐，又具有蘋果新iPhone題材，後市仍具支撐，惟過去兩個月已醞釀相當的漲幅，建議未來1~2個月可優先布局高股息殖利率股以因應市場的震盪。,6
2017-06-07T06:10:00.000Z,分析師王兆立表示，台股短期可望延續盤堅走勢，將以個股表現為主。,1
2017-06-08T06:58:00.000Z,分析師表示，受到國際政局三大黑天鵝籠罩，包括英國國會大選、歐洲央行召開貨幣決策會議及美國通俄門疑雲，前聯邦調查局長柯米出庭作證等不確定因素影響，使全球市場觀望氣氛濃厚，壓抑台股今日買氣；惟外資不偏空，股東會行情及國際景氣持續回溫，台股緩步震盪盤堅驚驚漲格局仍審慎樂觀。,3
2017-06-09T07:01:00.000Z,分析師表示，股東會行情可望持續點燃多頭行情，在5日、月線及季線續呈多頭排列下，盤勢在萬點上小碎步向前行仍審慎樂觀。,4
