PublishDate,Sentence,Score
2017-01-04T10:17:00.000Z,外資賣超2.67億元、投信買超3.04億元、自營商（自行買賣）買超0.63億元、自營商（避險）買超2.42億元。,-1
2017-01-05T08:16:00.000Z,外資買超28.57億元、投信買超3.92億元、自營商（自行買賣）買超6.62億元、自營商（避險）買超1.85億元。,3
2017-01-06T08:26:00.000Z,外資買超26.19億元、投信買超7.39億元、自營商（自行買賣）買超1.89億元、自營商（避險）賣超4.31億元。,2
2017-01-09T11:48:00.000Z,外資買超9.84億元、投信賣超0.92億元、自營商（自行買賣）賣超4.31億元、自營商（避險）賣超0.49億元。,2
2017-01-10T08:52:00.000Z,外資買超32.83億元、投信賣超0.95億元、自營商（自行買賣）賣超4.15億元、自營商（避險）賣超9.33億元。,2
2017-01-11T11:24:00.000Z,外資買超36.47億元、投信賣超3.34億元、自營商（自行買賣）買超3.30億元、自營商（避險）賣超9.99億元。,2
2017-01-12T10:26:00.000Z,外資買超104.40億元、投信賣超2.12億元、自營商（自行買賣）賣超3.14億元、自營商（避險）賣超8.72億元。,2
2017-01-13T09:56:00.000Z,外資買超10.75億元、投信賣超0.02億元、自營商（自行買賣）賣超2.06億元、自營商（避險）買超0.84億元。,2
2017-01-17T11:32:00.000Z,外資買超36.17億元、投信賣超0.87億元、自營商（自行買賣）賣超1.54億元、自營商（避險）買超9.46億元。,2
2017-01-18T10:56:00.000Z,外資買超17.45億元、投信賣超0.34億元、自營商（自行買賣）買超0.50億元、自營商（避險）賣超2.34億元。,2
2017-01-19T10:42:00.000Z,外資賣超30.69億元、投信買超6.07億元、自營商（自行買賣）賣超0.02億元、自營商（避險）賣超2.39億元。,-1
2017-01-20T11:43:00.000Z,外資買超25.08億元、投信買超6.50億元、自營商（自行買賣）買超0.39億元、自營商（避險）賣超3.28億元。,2
2017-01-23T10:27:00.000Z,外資買超100.15億元、投信買超5.17億元、自營商（自行買賣）賣超2.09億元、自營商（避險）賣超1.99億元。,2
2017-01-24T10:34:00.000Z,外資買超123.14億元、投信買超2.35億元、自營商（自行買賣）賣超3.58億元、自營商（避險）賣超6.32億元。,2
2017-01-24T10:34:00.000Z,外資買超123.14億元、投信買超2.35億元、自營商（自行買賣）賣超3.58億元、自營商（避險）賣超6.32億元。,2
