PublishDate,Sentence,Score
2018-11-01T07:22:00.000Z,金融股多頭休兵，國泰金 (2881) 、台新金 (2887) 、兆豐金 (2886) 表現偏弱表現。,1
2018-11-02T01:18:00.000Z,期貨方面，11月台指期、金融期及電子期今日聯袂開高。,0
2018-11-16T06:55:00.000Z,　盤面各類股以光電股橡膠上漲1.68％、食品上漲1.33％領軍，水泥、電器電纜漲逾1％，金融股小漲0.34％。,2
2018-11-16T06:55:00.000Z,　傳產、金融權值股表現則相對較強，中信金 （2891） 尾盤漲勢擴大、收漲1.93％，統一 （1216） 、中鋼 （2002） 分別上漲1.63％、1.45％，台塑化 （6505） 、南亞 （1303） 、台化 （1326） 亦小漲，僅統一超 （2912） 續跌1.25％較弱。,1
2018-11-16T06:55:00.000Z,　而觀察法人近期動向，外資操作雖相對偏多，但多集中買超金融，以及傳產的航空、電子的面板及載板等低位階族群，操作仍屬保守，投信亦有類似情況。,0
2018-11-16T03:25:00.000Z,　觀察盤面各類股表現，以橡膠漲逾1.5％最強勢，光電、電器電纜、電子零組件漲逾1％，金融股於平盤上下微幅震盪。,2
2018-11-16T02:59:00.000Z,電子股跌0.39%，金融股漲0.03%。,0
2018-11-16T01:19:00.000Z,　期貨方面，11月台指期、金融期及電子期今日聯袂開高。,0
2018-11-19T07:15:00.000Z,金融股的富邦金 (2881) 、國泰金 (2882) 、永豐金 (2890) 、合庫金 (5880) 、中信金 (2891) 、台新金 (2887) 等亦多有撐盤。,0
2018-11-19T06:08:00.000Z,"香港01、英國金融時報報導，受到iPhone銷量減少，伯恩光學惠州工廠於11月先後兩次宣布裁員5,000人和3,000人。",-1
2018-11-20T01:15:00.000Z,台灣期貨方面，11月台指期、金融期及電子期今日聯袂開低。,-1
2018-11-21T07:13:00.000Z,美股周二再遭空襲，油價大跌拖累能源類股，Target財報獲利不佳使零售類股承壓，蘋果難甩頹勢再挫，股價創半年來新低，亦拖累科技股續滑，金融股也隨美股大盤轉黑，那指收盤大跌119.65點，創逾7個月來新低，道瓊指數亦一度狂瀉逾600點。,-5
2018-11-21T03:27:00.000Z,事實上，追查金融騙局已有10年之久的德州大學財經教授John Griffin，今年6月曾跟研究生Amin Shams聯合發表一份研究，直指比特幣至少有一半漲幅是遭人為操控。,1
2018-11-22T06:05:00.000Z,周三美股科技股反彈，但台股在台積電 (2330) 尾盤回到平盤，電子類股指數收低，加上金融傳產亦不強，台股上攻9800點前多頭卻步，尾盤翻黑，距今日早盤高點差了逾70點，收盤跌26點為9714點，成交值縮減至992億元。,-3
2018-11-22T06:05:00.000Z,金融指數亦收黑。,-1
2018-11-26T07:15:00.000Z,金融股在國泰金 (2882) 、富邦金 (2881) 虎頭蛇尾下開高收平。,0
2018-11-26T07:15:00.000Z,後市觀察台股指數是否能守穩在9600點之上並站回5日線，可留意半導體、蘋概、網通、PCB、車用、風電、生技、金融、自行車等。,1
2018-11-26T06:11:00.000Z,終場加權指數收在9765.36點，上漲98.06點，漲幅1.01%，成交值來到新台幣883.09億元，電子股漲1.59%，金融股小漲0.01%。,2
2018-11-26T03:03:00.000Z,就類股而言，對於半導體先進製程、ASIC、5G、高速傳輸、汽車電子的看法不變；在傳產股部份，除個別股的布局外，看好金融類股、水泥、鋼鐵、塑膠與紡織等的表現。,1
2018-11-26T02:52:00.000Z,電子股盤中漲1.8%，金融股漲0.61%。,1
