PublishDate,Sentence,Score
2017-11-02T06:08:00.000Z,今日資金強力湧進鋼鐵的不鏽鋼族群，因鎳價大漲激勵，允強 (2034) 、彰源 (2030) 、大成鋼 (2027) 等均噴出大漲。,3
2017-11-02T06:02:00.000Z,觀察類股族群表現，電子族群下跌0.34 %，金融股今天小漲0.03%，電器類、鋼鐵類、百貨股、觀光股表現相對亮眼。,0
2017-11-02T03:12:00.000Z,觀察類股族群表現，電子族群下跌，盤中跌0.03%，金融股今天盤中小漲0.13%，電器類、造紙類、鋼鐵類、生技類股、百貨股、觀光股表現相對亮眼。,0
2017-11-02T02:59:00.000Z,  觀察各類股表現，以電器電纜漲逾1.8％、鋼鐵漲近1.5％最強勁，生技、貿易百貨股亦漲逾1％。,2
2017-11-03T06:59:00.000Z,看好IC設計、蘋果供應鏈、PCB與上游、被動元件、5G概念、人工智慧、塑化、鋼鐵及電動車等具業績題材、前景展望佳族群可追蹤布局。,3
2017-11-02T06:08:00.000Z,今日資金強力湧進鋼鐵的不鏽鋼族群，因鎳價大漲激勵，允強 (2034) 、彰源 (2030) 、大成鋼 (2027) 等均噴出大漲。,3
2017-11-02T06:02:00.000Z,觀察類股族群表現，電子族群下跌0.34 %，金融股今天小漲0.03%，電器類、鋼鐵類、百貨股、觀光股表現相對亮眼。,0
2017-11-02T03:12:00.000Z,觀察類股族群表現，電子族群下跌，盤中跌0.03%，金融股今天盤中小漲0.13%，電器類、造紙類、鋼鐵類、生技類股、百貨股、觀光股表現相對亮眼。,0
2017-11-02T02:59:00.000Z,  觀察各類股表現，以電器電纜漲逾1.8％、鋼鐵漲近1.5％最強勁，生技、貿易百貨股亦漲逾1％。,2
2017-11-03T06:59:00.000Z,看好IC設計、蘋果供應鏈、PCB與上游、被動元件、5G概念、人工智慧、塑化、鋼鐵及電動車等具業績題材、前景展望佳族群可追蹤布局。,3
2017-11-15T08:50:00.000Z,觀察今天外資賣超前30名，蘋概股指標股鴻海賣超7.61萬張居首，廣達賣超2.18萬張，緯創 (3231) 賣超1.61萬張，台積電 (2330) 賣超9989張，第一金 (2892) 賣超8582張，和碩 (4938) 賣超7584張，元大金 (2885) 賣超7279張；部分面板、鋼鐵族群也名列前茅。,-2
2017-11-16T00:14:00.000Z,台股電子權值股昨（15）日表現不佳，台積電 （2330） 、鴻海 （2317） 雙巨頭熄火，蘋概股表現疲軟，專家認為，科技股是推升台股站上萬點功臣，但盤面類股輪動明顯，資金可望從科技股轉移至塑化、鋼鐵、原物料等族群。,4
2017-11-16T00:14:00.000Z,"　塑化指標股之一的台塑，10月合併營收達165.81億元，月減5.8％、但年增9.6％，股價昨收紅，單日成交量放大至6,826張，已突破5日線及月線，上攻挑戰季線意味濃厚，其他塑化及鋼鐵族群個股，如豐興、高興昌、燁興、榮化、台苯表現都優於大盤，漲幅達0.21～0.96％。",6
2017-11-16T00:14:00.000Z,　鋼鐵部分，簡伯儀認為，由於市況逐漸回穩、需求復甦，近期報價反彈，銷量也增加，鋼鐵產業獲利應該會不錯，若台股持續類股輪動，這些族群未來可望獲得資金青睞。,5
2017-11-16T00:14:00.000Z,　日盛投顧總經理李秀利指出，2017年即將步入結算期，部分資金開始要往2018年作布局，若類股輪動趨勢明顯的話，市場投資方向可能從科技股轉移到今年以來漲幅相對溫吞的塑化、原物料、鋼鐵等族群，未來表現可望有亮點。,5
2017-11-17T07:08:00.000Z,台股昨日回探季線獲支撐，推升今日開高向上反彈，在蘋概股雙雄鴻海 (2317) 、台積電 (2330) 領軍衝高激勵下，成功收復5日線及10700點關卡，店頭市場也表現相當火熱，在鋼鐵、化學等族群奮勇突圍下，盤中指數一度以148.94點創下新高。,13
2017-11-23T07:02:00.000Z,傳產股方面，中鋼 (2002) Q4內銷盤價翻揚、明年Q1鋼價有撐，加上股價經修正投資價值逐步浮現，引領中鴻 (2014) 、高興昌 (2008) 、燁輝 (2023) 等鋼鐵股走穩，醞釀補漲行情。,4
