PublishDate,Sentence,Score
2017-09-07T08:29:00.000Z,  瑞銀證最青睞個股名單：台積電 (2330) 、英業達 (2356) 、富邦金 (2881) 、遠傳 (4904) 、台灣大 (3045) ；最不青睞個股則有：宏達電 (2498) 、鴻準 (2354) 、緯創 (3231) 、上銀 (2049) 、正新 (2105) 、群創 (3481) 。,1
2017-09-07T06:06:00.000Z,金控股平盤下整理，國泰金 (2882) 收在48.15元，跌0.31%，富邦金 (2881) 收47.45元，跌0.32%。,-1
2017-09-07T02:49:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 在平盤附近整理。,0
2017-09-08T07:03:00.000Z,金融股指數重返各短均之上，富邦金 (2881) 、中信金 (2891) 攜手勁揚1%。,1
2017-09-08T07:03:00.000Z,台股今日在台積電、大立光等權值股持續走揚，搭配中小型股活蹦亂跳，以及國泰金、富邦金等金融股回神力挺多方，使指數開高走高，連續收復5日線、10600關卡，呈現周線連三紅。,4
2017-09-08T06:08:00.000Z,金融股全面上揚，富邦金 (2881) 漲0.42%，收47.65元；國泰金 (2882) 漲1.04%，收48.65元；兆豐金 (2886) 漲0.63%，收23.95元；中信金 (2891) 漲1.57%，收19.45元。,2
2017-09-12T07:14:00.000Z,台股今日受惠蘋概股三劍客台積電、鴻海與大立光領軍電子股攻高，加上國泰金、富邦金與台塑化等權值股穩盤，使短多士氣相對高昂，激勵盤勢開高走高，終場收復10600點及五日線。,5
2017-09-13T06:59:00.000Z,金融股弱勢整理，富邦金 (2881) 、元大金 (2885) 、開發金 (2883) 聯袂收低。,-1
2017-09-18T07:04:00.000Z,金融類指躍上各短均線，國泰金 (2882) 、富邦金 (2881) 、元大金 (2885) 、新光金 (2888) 攜手上攻。,0
2017-09-18T06:16:00.000Z,金控股漲跌互見，國泰金 (2882) 收在48.7元，漲1.1%，富邦金 (2881) 收47.1元，漲0.6%。,0
2017-09-18T02:53:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 在平盤附近整理。,0
2017-09-19T06:09:00.000Z,金融股漲跌互見，富邦金 (2881) 跌0.32%，收46.95元；國泰金 (2882) 跌1.23%，收48.1元；兆豐金 (2886) 漲0.21%，收23.75元；中信金 (2891) 跌0.51%，收19.4元。,0
2017-09-20T07:05:00.000Z,金融股整體表現弱勢，僅國泰金 (2882) 力撐盤勢，富邦金 (2881) 、開發金 (2883) 、元大金 (2885) 、新光金 (2888) 、中信金 (2891) 全面下挫。,0
2017-09-20T06:02:00.000Z,  今早電子仍是交投重心，惟電子股指數下滑，以及大型金控富邦金 (2881) 等下跌，電金權值股表現不強，以威剛 (3260) 等記憶體廠以及穩懋 (3105) 續強，加上太陽能族群仍在高檔，櫃買指數相對抗跌。,-3
2017-09-20T02:23:00.000Z,  今早電子仍是交投重心，惟電子股指數下滑，以及大型金控富邦金 (2881) 等下跌，電金權值股表現不強，以威剛 (3260) 等記憶體廠以及穩懋 (3105) 續強，加上太陽能族群仍在高檔，櫃買指數相對抗跌。,-3
2017-09-21T06:08:00.000Z,金控股走勢堅挺，國泰金 (2882) 收在49.2元，漲1.9%，富邦金 (2881) 收46.8元，漲0.4%。,1
2017-09-21T03:03:00.000Z,金控股國泰金 (2882) 盤中來到49.15元，漲1.8%，富邦金 (2881) 、中信金 (2891) 盤中穩健。,2
2017-09-21T02:47:00.000Z,金融股在Fed決議符預期下表現較強，國泰金 （2882） 、中信金 （2891） 、富邦金 （2881） 持穩紅盤。,1
2017-09-25T06:33:00.000Z,金融股一片慘綠，富邦金 (2881) 跌0.43%，收46.55元；國泰金 (2882) 跌0.1%，收48.25元；兆豐金 (2886) 跌0.21%，收23.6元；中信金 (2891) 跌1.04%，收18.95元。,-2
2017-09-29T06:37:00.000Z,  權值股中以統一超 （2912） 及統一 （1216） 漲約2％最強勢，台化 （1326） 、日月光 （2311） 、中華電 （2412） 漲約1.5％；台積電 （2330） 穩揚逾1％，收復5日線及季線，南亞 （1303） 漲逾1％，國泰金 （2882） 、鴻海 （2317） 、富邦金 （2881） 亦收紅盤，均發揮撐盤效果。,5
