PublishDate,Sentence,Score
2017-12-01T08:55:00.000Z,  在電子權值股無力撐盤下，金融股今日成功救火，旺旺保 (2816) 大漲逾7%，國泰金 (2882) 、中壽 (2823) 勁揚5%、4%，富邦金 (2881) 亦走揚逾3%，中信金 (2892) 、開發金 (2883) 也同步跟漲，此外，台股連日放量，也帶動證券股元富證 (2856) 、統一證 (2855) 等扮演多頭指標。,6
2017-12-01T07:01:00.000Z,11點過後多方開始反攻，指數翻紅，更上漲百點逼近5日線，台積電 (2330) 揮別陰霾，大漲3%；鴻海 (2317) 失守百元後探低拉升，力拚穩住100大關；大立光亦從低點4740元攀回5字頭；金融股在升息預期的偏多心態帶動下，富邦金 (2881) 、國泰金 (2882) 等權重股領漲，重新站回5日及10日線。,7
2017-12-01T07:01:00.000Z,瑞銀證最新2018年台股策略報告，給金融股「加碼」評等，看好明年FED升息有助於擴大銀行存放利差，國泰金大漲5%，富邦金勁揚3.7%，2大權重股領漲下，金融指數重新站回5日及10日線，收盤漲幅近2%。,9
2017-12-01T06:19:00.000Z,金融股今天表現撐盤，富邦金 (2881) 漲3.77%，收50.9元；國泰金 (2882) 漲5.03%，收54.3元；兆豐金 (2886) 漲0.21%，收23.7元；中信金 (2891) 漲1.75%，收20.35元。,1
2017-12-04T06:32:00.000Z,加權股價指數終場上漲50.74點、漲幅0.48%、收在10651.11點、成交值新台幣1280.95億元，雖然台積電站回季線之上，但股王大立光 (3008) 持續弱勢，股價收盤重跌，鴻海 (2317) 早盤股價也一度測試前波低點98元，顯示外資調節動作還在進行中，所幸國泰金、富邦金 (2881) 、開發金 (2883) 站在多方，資金進行「拉金融、出電子」的挪移。,2
2017-12-01T08:55:00.000Z,  在電子權值股無力撐盤下，金融股今日成功救火，旺旺保 (2816) 大漲逾7%，國泰金 (2882) 、中壽 (2823) 勁揚5%、4%，富邦金 (2881) 亦走揚逾3%，中信金 (2892) 、開發金 (2883) 也同步跟漲，此外，台股連日放量，也帶動證券股元富證 (2856) 、統一證 (2855) 等扮演多頭指標。,6
2017-12-01T07:01:00.000Z,11點過後多方開始反攻，指數翻紅，更上漲百點逼近5日線，台積電 (2330) 揮別陰霾，大漲3%；鴻海 (2317) 失守百元後探低拉升，力拚穩住100大關；大立光亦從低點4740元攀回5字頭；金融股在升息預期的偏多心態帶動下，富邦金 (2881) 、國泰金 (2882) 等權重股領漲，重新站回5日及10日線。,7
2017-12-01T07:01:00.000Z,瑞銀證最新2018年台股策略報告，給金融股「加碼」評等，看好明年FED升息有助於擴大銀行存放利差，國泰金大漲5%，富邦金勁揚3.7%，2大權重股領漲下，金融指數重新站回5日及10日線，收盤漲幅近2%。,9
2017-12-01T06:19:00.000Z,金融股今天表現撐盤，富邦金 (2881) 漲3.77%，收50.9元；國泰金 (2882) 漲5.03%，收54.3元；兆豐金 (2886) 漲0.21%，收23.7元；中信金 (2891) 漲1.75%，收20.35元。,1
2017-12-04T06:32:00.000Z,加權股價指數終場上漲50.74點、漲幅0.48%、收在10651.11點、成交值新台幣1280.95億元，雖然台積電站回季線之上，但股王大立光 (3008) 持續弱勢，股價收盤重跌，鴻海 (2317) 早盤股價也一度測試前波低點98元，顯示外資調節動作還在進行中，所幸國泰金、富邦金 (2881) 、開發金 (2883) 站在多方，資金進行「拉金融、出電子」的挪移。,2
2017-12-05T06:34:00.000Z,金控股國泰金 (2882) 翻黑收在54.5元，跌0.91%，富邦金 (2881) 收51.5元，漲0.39%。,-1
2017-12-05T03:14:00.000Z,金控股國泰金 (2882) 盤中來到55.7元，漲1.2%，富邦金 (2881) 、中信金 (2891) 走勢穩健。,2
2017-12-06T07:00:00.000Z,金融股在富邦金 (2881) 、國泰金 (2882) 、中信金 (2891) 、第一金 (2892) 同步壓回下，拖累類指下挫1%。,-3
2017-12-06T06:11:00.000Z,  除了受到蘋果供應鏈為主的大型電子股續走弱，富邦金 (2881) 、國泰金 (2882) 等大型金控也回檔致金融股指數下跌，電金均下跌，台股陷入群龍無首的困境。,-4
2017-12-06T03:07:00.000Z,受到蘋果供應鏈為主的大型電子股續走弱，富邦金 (2881) 、國泰金 (2882) 等大型金控也回檔致金融股指數下跌，加上前波強勢的二線塑化也呈現整理。,-1
2017-12-07T07:00:00.000Z,金融股表現弱勢，富邦金 (2881) 、國泰金 (2882) 、中信金 (2891) 、新光金 (2888) 、兆豐金 (2886) 等齊挫1%。,-1
2017-12-07T07:00:00.000Z,台股今日雖有大立光、鴻海及聯發科 (2454) 等電子股回神，使指數開高一度站回10400點關卡之上，仍不敵台積電、國泰金及富邦金等權值股疲軟走勢，使盤勢開高震盪持續探底。,1
2017-12-12T07:15:00.000Z,金融股在富邦金 (2881) 、國泰金 (2882) 領跌下弱勢整理，惟開發金 (2883) 前11月獲利逾百億元、EPS達0.75元，激勵股價帶量上衝2%改寫逾2年新高價。,4
2017-12-13T06:33:00.000Z,金融股也開高走高，包括國泰金 (2882) 、富邦金 (2881) 、新光金 (2888) 今早均走揚，新光金盤中上漲3.4%，最高10.65元，再觸日前創下的10.65元新高。,6
2017-12-13T03:05:00.000Z,  台股在電子跌勢收斂，金融股向上，包括國泰金 (2882) 、富邦金 (2881) 、新光金 (2888) 今早均走揚；以及傳產持穩下，今日早盤維持震盪盤堅格局。,2
2017-12-15T07:12:00.000Z,其餘權值股方面，電子、金融全數熄火，聯發科 (2454) 、面板雙虎群創 (3481) 、友達 (2409) 同步拉回修正，宏達電 (2498) Vive Focus在大陸預購報捷，早盤一度收復70元，成為盤面抗跌支撐股；金融股表現亦弱勢，元大金 (2885) 、富邦金 (2881) 、國泰金 (2881) 、中信金 (2891) 全面走跌。,2
2017-12-15T07:12:00.000Z,台股今日由台積電、鴻海及大立光蘋果三劍客領跌，加上國泰金、富邦金等金融股表現弱勢，使指數開低走低一度下殺百點，所幸台積電尾盤跌幅收斂，終場指數得以強拉回5日線之上。,-4
2017-12-15T06:23:00.000Z,金控股平盤下整理，國泰金 (2882) 收在53.7元，跌1.1%，富邦金 (2881) 收50.2元，跌0.99%。,-1
2017-12-15T03:12:00.000Z,金控股國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 盤中跌幅逾1%。,-2
2017-12-15T02:57:00.000Z,  其餘權值股方面，今電子、金融全數熄火，聯發科 (2454) 宣告積極揮軍智慧健康市場，惟股價依舊不賞光，跌幅一度達3%，面板雙虎群創 (3481) 、友達 (2409) 亦拉回修正，反倒是宏達電 (2498) 在VR一體機Vive Focus在大陸市場預購傳出捷報，股價大漲3%，一度收復70元大關，成為今日盤面抗跌支撐股；金融股今也表現弱勢，大型金控股表現無力，元大金 (2885) 下跌逾2%，富邦金 (2881) 、國泰金 (2881) 、中信金 (2892) 跌幅也逾1%。,4
