PublishDate,Sentence,Score
2017-06-01T07:09:00.000Z,金融股受到美國金融股重挫影響，猶力守平盤及半年線，國泰金 (2882) 、富邦金 (2881) 、元大金 (2891) 、兆豐金 (2886) 相對有撐。,0
2017-06-01T02:41:00.000Z,另外，國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 、兆豐金 (2886) 等金融股也僅盤上小幅震盪，走勢表現同樣不佳。,-1
2017-06-03T06:06:00.000Z,金融股表現穩健，富邦金 (2881) 漲0.65%、收46.45元；國泰金 (2882) 收平盤47.55元；兆豐金 (2886) 漲0.41%、收24.5元；中信金 (2891) 漲0.52%、收19.4元。,2
2017-06-01T07:09:00.000Z,金融股受到美國金融股重挫影響，猶力守平盤及半年線，國泰金 (2882) 、富邦金 (2881) 、元大金 (2891) 、兆豐金 (2886) 相對有撐。,0
2017-06-01T02:41:00.000Z,另外，國泰金 (2882) 、富邦金 (2881) 、中信金 (2891) 、兆豐金 (2886) 等金融股也僅盤上小幅震盪，走勢表現同樣不佳。,-1
2017-06-03T06:06:00.000Z,金融股表現穩健，富邦金 (2881) 漲0.65%、收46.45元；國泰金 (2882) 收平盤47.55元；兆豐金 (2886) 漲0.41%、收24.5元；中信金 (2891) 漲0.52%、收19.4元。,2
2017-06-05T03:32:00.000Z,金融股表現仍略顯疲弱，兆豐金 （2886） 力撐紅盤，富邦金 （2881） 、中信金 （2891） 則於盤下震盪。,0
2017-06-08T06:58:00.000Z,金融股擺尾收紅，兆豐金 (2886) 、第一金 (2892) 相對強勢。,3
2017-06-09T07:01:00.000Z,金融股開高走低，險守半年線大關，富邦金 (2881) 、國泰金 (2882) 、元大金 (2885) 、兆豐金 (2886) 同步收黑。,-2
2017-06-13T07:03:00.000Z,金融股今日續扮撐盤要角，富邦金 (2881) 、國泰金 (2882) 、兆豐金 (2886) 攜手上攻。,1
2017-06-15T07:12:00.000Z,金融股甩尾翻紅，國泰金 (2882) 、兆豐金 (2886) 、新光金 (2888) 、遠東銀 (2845) 攜手勁揚。,2
2017-06-23T06:53:00.000Z,金融股弱勢整理，國泰金 (2882) 、兆豐金 (2886) 、中信金 (2891) 成領跌指標。,-2
2017-06-28T06:59:00.000Z,金融股漲多拉回，富邦金 (2881) 、元大金 (2885) 、兆豐金 (2886) 走勢尤弱。,2
2017-06-29T07:01:00.000Z,金融股由壽險金控龍頭國泰金 (2882) 及富邦金 (2881) 領軍上攻，公股金控華南金 (2880) 、兆豐金 (2886) 及第一金 (2892) 同步走高，推升類股指數站上近2年新高。,5
2017-06-29T07:01:00.000Z,台股今日由鴻海、台積電、大立光三巨頭開高牽引下，加上國泰金、富邦金及兆豐金等金融股力挺多方，指數一度攻上5日線，尾盤因摩台期結算使漲幅收斂，終場指數仍力守10400點之上。,3
2017-06-29T07:01:00.000Z,金融股由壽險金控龍頭國泰金 (2882) 及富邦金 (2881) 領軍上攻，公股金控華南金 (2880) 、兆豐金 (2886) 及第一金 (2892) 同步走高，推升類股指數站上近2年新高。,5
2017-06-29T07:01:00.000Z,台股今日由鴻海、台積電、大立光三巨頭開高牽引下，加上國泰金、富邦金及兆豐金等金融股力挺多方，指數一度攻上5日線，尾盤因摩台期結算使漲幅收斂，終場指數仍力守10400點之上。,3
