PublishDate,Sentence,Score
2017-08-01T07:02:00.000Z,傳產股方面，鋼鐵股受惠陸黑色系金屬飆漲，中鋼 (2002) 領軍喊衝，新光鋼 (2031) 強拉漲停，中鴻 (2014) 、官田鋼 (2017) 、燁輝 (2023) 、彰源 (2030) 聯袂勁揚成多頭悍將；造紙股滿面紅光，寶隆 (1906) 爆量漲停登歷史天價，帶動榮成 (1909) 、正隆 (1904) 、華紙 (1902) 等同步上攻，推升類指飆漲3%，勇奪類股漲幅之冠。,12
2017-08-01T02:52:00.000Z,國際鐵礦價格站上每公噸70美元大關，激勵大陸黑色系金屬周一大漲，中鋼 (2002) Q4鋼價可望止跌回升，加上不鏽鋼本月亦順利調漲，鋼鐵股今早帶量上攻，成為多頭主將之一。,10
2017-08-01T07:02:00.000Z,傳產股方面，鋼鐵股受惠陸黑色系金屬飆漲，中鋼 (2002) 領軍喊衝，新光鋼 (2031) 強拉漲停，中鴻 (2014) 、官田鋼 (2017) 、燁輝 (2023) 、彰源 (2030) 聯袂勁揚成多頭悍將；造紙股滿面紅光，寶隆 (1906) 爆量漲停登歷史天價，帶動榮成 (1909) 、正隆 (1904) 、華紙 (1902) 等同步上攻，推升類指飆漲3%，勇奪類股漲幅之冠。,12
2017-08-01T02:52:00.000Z,國際鐵礦價格站上每公噸70美元大關，激勵大陸黑色系金屬周一大漲，中鋼 (2002) Q4鋼價可望止跌回升，加上不鏽鋼本月亦順利調漲，鋼鐵股今早帶量上攻，成為多頭主將之一。,10
2017-08-22T07:03:00.000Z,  分析師表示，台股今日開高震盪走高，終場收復季線，線型上揚抬頭，將挑戰月線，期貨表現較現貨強勢，今日盤面由中鋼、台塑、大立光、可成等大型龍頭權值股撐盤，收盤量能放大至逾千億元。,2
2017-08-22T02:53:00.000Z,  盤面上，周一LME鎳價攀升至每噸1.1萬美元以上，不鏽鋼上游報價可望連續兩個月調漲，不鏽鋼族群今持續上演多頭行情，彰源 (2030) 續攻新高、允強 (2034) 、運錩 (2069) 、大成鋼 (2027) 等聯袂上漲，此外，中鋼第四季盤價看漲，上下游都可望穩定獲利，今日包括中鴻 (2014) 、新光鋼 (2031) 、燁輝 (2023) 、盛餘 (2029) 等全面走揚，推升鋼鐵類指飆漲逾2%，扮演大盤領頭羊。,10
2017-08-23T01:55:00.000Z,  台股昨日由台積電 (2330) 、中鋼 (2002) 等權值股領軍上攻，延續本波反彈的走勢，並一舉攻回季線；今日隨著美國科技股強彈，台股由電子股領軍，電金權值股走穩，蘋果供應鏈及光學族群強者恆強，台股買盤持續回籠，再克服月線壓力，技術面重新回到多頭排列。,4
2017-08-26T07:20:00.000Z,台股買盤回籠，外資本周連4日買超達181億元，推升大盤站穩月線之上，群創 （3481） 、台積電 （2330） 、中鋼 （2002） 等，8月以來遭到外資冷落的16檔個股，近4個交易日跟隨外資回頭，成為反手回補的核心指標，可望助攻股價衝出一波亮麗表現。,5
2017-08-26T07:20:00.000Z,　篩選8月以來外資站在賣方，但近4日回頭喊買最多，且本周平均成交量達千張以上（代表交投活絡），共有16檔個股，有群創、台積電、宏達電等8檔電子股，中鋼、大同、至上等5檔傳產股，中信金、玉山金、兆豐金3檔金控股。,2
2017-08-26T07:20:00.000Z,　據統計，8月至21日止，群創遭賣超10萬張以上最多，台積電也遭外資賣超8.78萬張，另外，大同、玉山金、中鋼、中信金等，外資都賣超1.5～3萬張以上。,-2
2017-08-28T06:58:00.000Z,傳產股方面，中鋼 (2002) 第4季報價喊漲，惟鋼鐵股呈現利多出盡，中鴻 (2014) 、燁輝 (2023) 、彰源 (2030) 、新光鋼 (2031) 等同步拉回。,2
