PublishDate,Sentence,Score
2017-10-18T08:26:00.000Z,--2009年：張忠謀回鍋兼任台積電執行長。,0
2017-10-18T08:26:00.000Z,--2009年：台積電成立新事業組織，投入太陽能及固態照明領域，由蔡力行擔任新事業組織總經理。,0
2017-10-18T08:26:00.000Z,--2009年：台積電斥資62億元，參與茂迪私募，持股比重20%，成為茂迪最大股東。,2
2017-10-19T09:57:00.000Z,張忠謀2009年以「台積人是台積最重要資產」為主軸，透過錄影方式對內部員工談話，邀請被裁員工回任，他並回鍋兼任總執行長，還請回蔣尚義擔任研究發展資深副總經理，穩住不安局勢。,1
2017-10-20T09:19:00.000Z,張忠謀2009年透過錄影方式感性對內部員工談話，表示「台積人是台積最重要資產」，邀請被裁員的員工回任，他並回鍋兼任總執行長，還請回蔣尚義擔任研究發展資深副總經理，穩定台積電的軍心。,4
2017-10-20T09:19:00.000Z,梁孟松2009年離開台積電後，跳槽到台積電勁敵韓國三星，台積電因而對他提起訴訟，請求不得使用或洩漏台積電營業秘密，不得洩漏台積電人員資訊促使三星進行惡意挖角，以及禁止梁孟松2015年底前為三星提供服務。,-5
2017-10-21T02:37:00.000Z,台積電同樣看好綠能產業前景及趨勢，2009年跟進成立新事業組織，投入太陽能及固態照明領域發展，，並斥資新台幣約62億元，參與茂迪私募，取得茂迪20%股份，成為茂迪最大股東。,4
2017-10-21T02:37:00.000Z,不過，太陽能市場嚴重供過於求，產品價格直直落，茂迪與益通營運遭受不小衝擊，兩公司2009年毛利率都慘跌到個位數百分點水準。,-4
2017-10-21T02:37:00.000Z,LED產業方面，龍頭廠晶元光電股份有限公司 (2448) 2009年毛利率雖高於茂迪與益通，但仍僅24.23%，比台積電的44.31%低了20個百分點。,0
2017-10-23T06:16:00.000Z,　另外，台積電也為每位來參加30週年慶活動的賓客準備一份伴手禮，內容是阿里山的茶葉並以金銀兩色精緻包裝，台積電在附上的字卡中寫明這份伴手禮是2009年8月阿里山風災時後，台積電曾幫助的八里山里佳部落重整被風災凌虐的製茶廠，台積電希望藉30週年慶，與里佳部落聯手奉上一盞感恩茶。,6
