PublishDate,Sentence,Score
2017-10-04T02:56:00.000Z,特別是2014年上次iPhone超級週期，雖然台股在新款iPhone發表的9月下跌5%，但隨後卻有5個月上漲，表現不容小覷。,0
2017-10-04T02:56:00.000Z,特別是2014年上次iPhone超級週期，雖然台股在新款iPhone發表的9月下跌5%，但隨後卻有5個月上漲，表現不容小覷。,0
2017-10-11T11:08:00.000Z,證交所統計，外資上週自集中市場買超最多的前3名上市公司分別為聯電4萬6539張、台積電 (2330) 1萬7745張、集盛 (1455) 1萬2014張。,1
2017-10-20T09:19:00.000Z,蔡力行2014年離開台積電，接任中華電信 (2412) 董事長，不久，他於2016年又遭到撤換。,-1
2017-10-20T09:19:00.000Z,在劉德音與魏哲家2013年接任共同執行長後，陳俊聖不久便請辭，於2014年1月出任宏?皏?球總裁暨執行長。,0
2017-10-26T06:56:00.000Z,傳產股漲跌互見，鋼鐵骨隨著鋼價下半年回穩，個股近期逐漸擺脫頹勢，中鴻 (2014) 、新光鋼 (2031) 雙雙走揚。,1
2017-10-31T03:59:00.000Z,Bernstein報告稱，要是DRAM獲利提高到誘人地步，三星可能會增產，一如該公司在2014、2015年所做。,4
2017-10-31T03:59:00.000Z,他們估計，三星DRAM毛利將拉高至58~59%的高點，類似2014/15年，屆時三星應會在17號產線或新落成的平澤廠等閒置廠房增加產能，如此一來，市場將從供不應求，轉為平衡，甚至演變為供給過剩。,3
2017-10-31T03:59:00.000Z,Bernstein報告稱，要是DRAM獲利提高到誘人地步，三星可能會增產，一如該公司在2014、2015年所做。,4
2017-10-31T03:59:00.000Z,他們估計，三星DRAM毛利將拉高至58~59%的高點，類似2014/15年，屆時三星應會在17號產線或新落成的平澤廠等閒置廠房增加產能，如此一來，市場將從供不應求，轉為平衡，甚至演變為供給過剩。,3
