PublishDate,Sentence,Score
2017-01-12T09:32:00.000Z,  台積公司董事長張忠謀也預期今年公司營收將持續成長5~10%再創新高，張忠謀並重申台積電2015~2020年的營收及營業利益的年複合成長率將介於5~10%之間。,6
2017-01-18T01:41:00.000Z,根據嘉實XQ全球贏家系統報價，蘋果17日上揚0.81%，收120.0美元，創2015年11月9日以來收盤新高水準。,2
2017-01-18T01:41:00.000Z,華爾街日報、Phone Arena等外電報導，蘋果在去年11月21日早晨於官網指出，已出售的iPhone 6s中，極少數可能會無預警關機，這並無安全上的疑慮，且只有2015年9月至10月製造的部分型號受影響。,-1
2017-01-19T08:01:00.000Z,MoneyDJ新聞 2017-01-19 16:01:43 記者 郭妍希 報導大數據(或稱海量資料)是2015年中國投資的大主流，但根據顧問機構KPMG的統計，到了2017年，中國的創業投資將逐漸集中到人工智慧(artificial intelligence，簡稱AI)領域。,3
2017-01-19T08:01:00.000Z,CNBC報導，KPMG中國地區合夥人Lyndon Fung 18日在接受專訪時表示，早在2015年，人們重點在蒐集大數據，如今已進入第二階段，企業開始擷取並分析自己需要的數據，然後想辦法從中獲利，而人工智慧能夠改變人類生活的方式，自駕車就是一例。,4
2017-01-19T08:01:00.000Z,"其中，在亞洲的投資額維持在390億美元不變，但投資件數從2015年的2,266件下滑至1,742件。",0
2017-01-19T08:01:00.000Z,MGI預估，2015-2065年期間自動化將可令全球生產力成長率平均年增0.8-1.4%。,4
2017-01-20T06:43:00.000Z,2015年和2016年上半，半導體類股表現慘淡，投資人棄之如敝屣。,1
2017-01-23T04:30:00.000Z,全年營收39.2億元，年減19.63％，前三季毛利率-3.42％、營益率-13.38％，稅後虧損3.63億元、每股虧損1.35元，均較2015年同期大幅轉虧。,-3
2017-01-23T04:30:00.000Z,　精材受客戶訂單流失、稼動率偏低拖累，2015年第三季上櫃以來由盈轉虧，截至去年第三季已連5季財報繳出紅字。,-4
2017-01-24T00:50:00.000Z,MoneyDJ新聞 2017-01-24 08:50:24 記者 蔡承啟 報導日經新聞24日報導，日本電子零件大廠訂單已呈現好轉，上季(2016年10-12月)日本6大電子零件廠(村田製作所、TDK、京瓷、日本電產、Alps Electric和日東電工)訂單額合計較去年同期成長約3%至約1.42兆日圓，為5季來首度呈現增長，季度別訂單額僅次於2015年7-9月的約1.46兆日圓、創史上次高水準。,1
2017-01-26T02:43:00.000Z,  SEMI台灣區總裁曹世綸表示，2016年最後一個月訂單水準除接近20億美元外，出貨亦有顯著的成長，使得2016年北美半導體設備製造商銷售高於2015年水準，並為2017年奠定良好基礎。,4
2017-01-26T02:43:00.000Z,  SEMI台灣區總裁曹世綸表示，2016年最後一個月訂單水準除接近20億美元外，出貨亦有顯著的成長，使得2016年北美半導體設備製造商銷售高於2015年水準，並為2017年奠定良好基礎。,4
