PublishDate,Sentence,Score
2017-11-03T01:34:00.000Z,MoneyDJ新聞 2017-11-03 09:34:29 記者 陳苓 報導2015年夏天，中國股市牛氣沖天，眾人爭相湧入，新開的證券戶數直線上升。,2
2017-11-03T01:34:00.000Z,MoneyDJ新聞 2017-11-03 09:34:29 記者 陳苓 報導2015年夏天，中國股市牛氣沖天，眾人爭相湧入，新開的證券戶數直線上升。,2
2017-11-16T00:14:00.000Z,"　塑化指標股之一的台塑，10月合併營收達165.81億元，月減5.8％、但年增9.6％，股價昨收紅，單日成交量放大至6,826張，已突破5日線及月線，上攻挑戰季線意味濃厚，其他塑化及鋼鐵族群個股，如豐興、高興昌、燁興、榮化、台苯表現都優於大盤，漲幅達0.21～0.96％。",6
2017-11-20T07:00:00.000Z,  尾盤時，台股指數再向下壓，僅勉強守住5日線，OTC則是續創2015年3月以來新高，終場加權股價指數為10664.55點，下跌37.09點，成交量為1083.23億元；OTC指數為148.02點，上漲0.04點，成交量為446.66億元。,-2
2017-11-20T07:00:00.000Z,　就技術面來看，上周五美股漲多拉回收低，且台積電面臨反壟斷調查，讓台股再逢壓，今天台股指數以小紅開出後就因台積電等權值股走弱而開高走低，中場過後，中小型股獲利了結賣壓湧現，台股指數回防10650點，終場下跌37.09點，以10664.55點作收，但OTC指數收盤指數148.02點，創下2015年3月以來新高；台股上周回測季線後出現反彈，終場以短紅K重返5日均線之上，今天台股雖然開高走低收黑，但仍守住5日均線，短線上盤勢已現止跌回穩跡象，觀察台股自11月9日帶量跌破月線以下3條均線後，盤勢即開始明顯轉弱，上周回落10700點下方，並一度向下測試10600點關卡，所幸現仍持續走升的季線位置恰在10月11日多方缺口附近，在下檔獲得較有力的支撐下，促使盤勢在消息面配合下展開反彈，然而，目前10700點上方仍存在先前長達近1個月的盤整區間，在此位置料將面臨不小的調節壓力，加上尚有10日均線與月線反壓存在，故短線上除非上攻量能配合，進而帶動多方重返所有均線之上，方有機會延續短多氣勢，而在此之前，大盤料將暫在季線與月線間稍作震盪整理；整體而言，短線上多方試圖反撲，惟考量上檔壓力恐仍不輕，推估短時間內盤勢將以區間格局為主，後續表現將端視電子權值股的反彈氣勢而定，考量10日均線與月線仍呈蓋頭反壓，除非指數在短期內再度突破中長均線壓力，否則短線仍將處於盤整，若國際股市能持穩，預估本周台股指數區間在10700點上下150點整理。,-2
2017-11-21T03:35:00.000Z,國外科技網站Appleinsider日前報導，蘋果在2014年併購LuxVue，以及傳出在2015年4月於台灣龍潭設立實驗室研發Micro LED技術，顯示布局Micro LED的企圖心。,1
2017-11-22T06:55:00.000Z,金融股今日再扮領頭羊，大型金控股富邦金 (2881) 、國泰金 (2882) 及中信金 (2891) 、玉山金 (2884) 、元大金 (2885) 等帶頭上攻，推升金融類指再創2015年7月以來新高。,3
2017-11-22T01:56:00.000Z,嘉實XQ全球贏家報價系統顯示，Square Inc. 11月21日大漲6.30%、收48.06美元，創2015年11月19日初次公開發行(IPO)以來收盤新高；今年迄今股價漲幅高達252.60%。,7
2017-11-23T06:03:00.000Z,Square Inc. 11月22日漲1.56%、收48.81美元，創2015年11月19日初次公開發行(IPO)以來收盤新高；今年迄今股價漲幅高達258.11%。,6
2017-11-27T07:05:00.000Z,封測廠頎邦 (6147) 因法人看好第四季營運持穩高檔，今日放量開飆，早盤一度飆升8.92％至63.5元，創2015年7月以來近2年5個月高點，無奈大盤表現不佳，市場追價力道降溫，股價收60.2元，漲幅縮至3.2%。,4
2017-11-30T04:27:00.000Z,  亞系外資表示，台積電製程近年升級到16奈米和10奈米，惟在先進製程的客戶有限、競爭加劇下，2015年到2017年的平均售價成長趨緩，不如2011年到2014年升級至28奈米和20奈米的成長幅度。,-3
2017-11-30T01:42:00.000Z,亞系外資指出，台積電製程近年升級到16奈米和10奈米，導致2015年到2017年的平均售價成長趨緩，不如2011年到2014年升級至28奈米和20奈米的成長幅度，主要原因包括先進製程的客戶有限、競爭加劇。,-3
2017-11-30T04:27:00.000Z,  亞系外資表示，台積電製程近年升級到16奈米和10奈米，惟在先進製程的客戶有限、競爭加劇下，2015年到2017年的平均售價成長趨緩，不如2011年到2014年升級至28奈米和20奈米的成長幅度。,-3
2017-11-30T01:42:00.000Z,亞系外資指出，台積電製程近年升級到16奈米和10奈米，導致2015年到2017年的平均售價成長趨緩，不如2011年到2014年升級至28奈米和20奈米的成長幅度，主要原因包括先進製程的客戶有限、競爭加劇。,-3
