PublishDate,Sentence,Score
2017-07-03T06:01:00.000Z,（中央社記者吳家豪台北2017年7月3日電）國際股市漲多整理，台股技術面偏弱，今天指數橫盤整理收紅；投顧表示，台股指數衝高後拉回整理，指標修正壓力仍在，加上美股波動衝擊多方信心，短期盤勢中性看待。,4
2017-07-03T04:46:00.000Z,（中央社記者田裕斌台北2017年7月3日電）根據台灣證券交易所統計，外資上週在集中市場買超新台幣204.52億元，掃貨聯電 (2303) 39.1萬張，累計今年至6月底止，外資買超2662.72億元。,3
2017-07-03T02:51:00.000Z,（中央社記者吳家豪台北2017年7月3日電）台股在7月第一個交易日開盤小跌，隨後量縮整理，量能預估約870億元，大型權值股休息，部分除息的面板與金融股表現較佳，資金流向傳產股的運輸、玻璃、紡織族群。,-1
2017-07-03T02:20:00.000Z,（中央社記者田裕斌台北2017年7月3日電）台股6月一度突破網路泡沫時10393點高點，投信表示，能否續強除了觀察台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 後市外，量能也需維持新台幣800億元之上。,0
2017-07-03T01:58:00.000Z,MoneyDJ新聞 2017-07-03 09:58:51 記者 蔡承啟 報導韓聯社報導，三星電子2日宣布，去年(2016年)因電池起火召回的Galaxy Note 7翻新機(refurbished phone)將以「Galaxy Note Fan Edition(以下簡稱Note FE)」名稱於7月7日在南韓市場販售，售價為69.96萬韓圜、限量40萬支，且也正考慮在海外市場販售Note FE。,1
2017-07-04T05:53:00.000Z,（中央社記者韓婷婷台北2017年7月4日電）NASDAQ及費城半導體指數大跌衝擊投資人信心，台股今天盤中一度翻紅，不過隨後一路走低，跌破10400點，金融股雖有國泰金 (2882) 、富邦金 (2881) 撐盤，但難擋跌勢。,1
2017-07-04T03:19:00.000Z,（中央社記者韓婷婷台北2017年7月4日電）雖然美股大漲百餘點，但科技股表現卻呈現弱勢，台股今天早盤一度翻至平盤之上，但電子權值股無力撐盤，指數再度紅翻黑，在10400點附近震盪。,-2
2017-07-04T00:27:00.000Z,MoneyDJ新聞 2017-07-04 08:27:11 記者 陳苓 報導半導體產業協會(SIA)3日公布，2017年5月份全球半導體銷售額來到319億美元，和前月相比，攀升1.9%。,1
2017-07-04T00:27:00.000Z,SIA總裁兼執行長John Neuffer聲明稿指出，2017年全球半導體市場進入顯著穩定的成長時期，5月份銷售遠勝去年同期。,4
2017-07-04T00:08:00.000Z,"根據台灣證券交易所統計，上週（2017/6/26~2017/6/30）外資在集中市場總買進金額為1,651.12億元，總賣出金額為1,446.60億元，累計買超為204.52億元，另統計自2017年年初至6月30日止，外資總買進金額為3兆1,050.27億元，總賣出金額為2兆8,387.55億元，累計買超為2,662.72億元。",1
2017-07-03T06:01:00.000Z,（中央社記者吳家豪台北2017年7月3日電）國際股市漲多整理，台股技術面偏弱，今天指數橫盤整理收紅；投顧表示，台股指數衝高後拉回整理，指標修正壓力仍在，加上美股波動衝擊多方信心，短期盤勢中性看待。,4
2017-07-03T04:46:00.000Z,（中央社記者田裕斌台北2017年7月3日電）根據台灣證券交易所統計，外資上週在集中市場買超新台幣204.52億元，掃貨聯電 (2303) 39.1萬張，累計今年至6月底止，外資買超2662.72億元。,3
2017-07-03T02:51:00.000Z,（中央社記者吳家豪台北2017年7月3日電）台股在7月第一個交易日開盤小跌，隨後量縮整理，量能預估約870億元，大型權值股休息，部分除息的面板與金融股表現較佳，資金流向傳產股的運輸、玻璃、紡織族群。,-1
2017-07-03T02:20:00.000Z,（中央社記者田裕斌台北2017年7月3日電）台股6月一度突破網路泡沫時10393點高點，投信表示，能否續強除了觀察台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 後市外，量能也需維持新台幣800億元之上。,0
2017-07-03T01:58:00.000Z,MoneyDJ新聞 2017-07-03 09:58:51 記者 蔡承啟 報導韓聯社報導，三星電子2日宣布，去年(2016年)因電池起火召回的Galaxy Note 7翻新機(refurbished phone)將以「Galaxy Note Fan Edition(以下簡稱Note FE)」名稱於7月7日在南韓市場販售，售價為69.96萬韓圜、限量40萬支，且也正考慮在海外市場販售Note FE。,1
2017-07-04T05:53:00.000Z,（中央社記者韓婷婷台北2017年7月4日電）NASDAQ及費城半導體指數大跌衝擊投資人信心，台股今天盤中一度翻紅，不過隨後一路走低，跌破10400點，金融股雖有國泰金 (2882) 、富邦金 (2881) 撐盤，但難擋跌勢。,1
2017-07-04T03:19:00.000Z,（中央社記者韓婷婷台北2017年7月4日電）雖然美股大漲百餘點，但科技股表現卻呈現弱勢，台股今天早盤一度翻至平盤之上，但電子權值股無力撐盤，指數再度紅翻黑，在10400點附近震盪。,-2
2017-07-04T00:27:00.000Z,MoneyDJ新聞 2017-07-04 08:27:11 記者 陳苓 報導半導體產業協會(SIA)3日公布，2017年5月份全球半導體銷售額來到319億美元，和前月相比，攀升1.9%。,1
2017-07-04T00:27:00.000Z,SIA總裁兼執行長John Neuffer聲明稿指出，2017年全球半導體市場進入顯著穩定的成長時期，5月份銷售遠勝去年同期。,4
2017-07-04T00:08:00.000Z,"根據台灣證券交易所統計，上週（2017/6/26~2017/6/30）外資在集中市場總買進金額為1,651.12億元，總賣出金額為1,446.60億元，累計買超為204.52億元，另統計自2017年年初至6月30日止，外資總買進金額為3兆1,050.27億元，總賣出金額為2兆8,387.55億元，累計買超為2,662.72億元。",1
2017-07-05T06:00:00.000Z,（中央社記者鍾榮峰台北2017年7月5日電）台股今天上下震盪達百點，電子回神反彈，終場大盤收在今天最高，重返10400點之上。,2
2017-07-05T02:41:00.000Z,（中央社記者鍾榮峰台北2017年7月5日電）台股盤中電子回神，大盤跌幅收斂，月線有撐。,-1
2017-07-05T01:44:00.000Z,"MoneyDJ新聞 2017-07-05 09:44:11 記者 蔡承啟 報導日本電玩專門雜誌Famitsu 4日公布統計數據指出，拜任天堂(Nintendo)3月3日開賣的新款遊戲機「Nintendo Switch」熱賣加持，2017年H1(1-6月、實際統計期間為2016年12月26日-2017年6月25日)日本國內家用電玩市場規模(遊戲主機銷售額+遊戲軟體銷售額)較去年同期成長14.8%至1,532億日圓，為3年來首度呈現增長。",4
2017-07-05T01:44:00.000Z,"截至2017年6月25日為止，PS4日本累計銷售量為479萬9,246台、3DS為2,278萬4,033台、PS Vita為550萬7,715台、Xbox One為7萬8,041台。",0
2017-07-05T01:44:00.000Z,Famitsu指出，因遊戲產業代表性人氣系列最新作品「勇者鬥惡龍11 追尋逝去的時光」將在7月29日開賣，加上「Splatoon 2(預計7月21日開賣)」開賣有望推升Switch買氣，因此期待下半年(2017年7-12月)日本電玩市場有望持續熱絡。,5
2017-07-05T01:44:00.000Z,Famitsu 6月28日宣布，截至2017年6月25日為止，任天堂Switch日本累計銷售量正式突破100萬台大關，和現行仍在市面上持續進行販售的其他桌上型遊戲機相比(Wii U、PS4、Xbox One；不含3DS、PS Vita等掌上機)，Switch累銷突破百萬台的速度最快。,5
2017-07-05T01:44:00.000Z,任天堂6月22日透過日本官網表示，新款遊戲機「Nintendo Switch」於2017年3月3日開賣以來，就持續在日本市場呈現缺貨狀態，對此向消費者及銷售通路致上深深的歉意。,1
2017-07-05T01:44:00.000Z,"任天堂目前將2017年度(2017年4月-2018年3年)Switch全球銷售量目標設定為1,000萬台。",1
2017-07-06T01:22:00.000Z,MoneyDJ新聞 2017-07-06 09:22:08 記者 郭妍希 報導美國科技類股連日走軟，不少人反手放空，那斯達克指數空單暴增、比雷曼兄弟倒閉時還要多，不料那斯達克指數卻在回測季線數日後強彈，空單不幸被軋。,-4
2017-07-07T06:16:00.000Z,（中央社記者韋樞台北2017年7月7日電）台股除權息行情失靈，國際股市也是跌多漲少，台股今天開低走低，尾盤月線撐不住，跌破1萬300點，幾乎收在最低點。,-6
2017-07-09T01:52:00.000Z,（中央社記者張建中新竹2017年7月9日電）台積電與大立光法說會將於13日登場，鴻海也在13日除息，法人預期，台積電與大立光料將會釋出正面訊息，只是第3季展望能否超乎市場預期，將是牽動台股後市關鍵。,2
2017-07-10T08:45:00.000Z,（中央社記者韓婷婷台北2017年7月10日電）根據台灣證券交易所統計，外資上週在集中市場賣超新台幣131.92億元，賣超友達 (2409) 居冠；不過，多頭指標台積電 (2330) 、鴻海 (2317) 都遭外資大舉倒貨。,-1
2017-07-10T06:11:00.000Z,（中央社台北2017年7月10日電）台股今天開高後，雖有股王大立光 (3008) 一枝獨秀，重回5000元大關，但無力力挺指數回到10300點之上，即將在13日除息的鴻海 (2317) 則有熱身跡象。,0
2017-07-10T06:09:00.000Z,（中央社記者張建中新竹2017年7月10日電）晶圓代工廠台積電 (2330) 6月業績持續攀高，合併營收達新台幣841.87億元，為近3個月新高水準；台積電第2季合併營收2138.55億元，順利達成營運目標。,5
2017-07-10T05:55:00.000Z,台積電 (2330) 2017年6月合併營收約為841.87億元，較5月增加15.6%，較去年同期增加3.4%。,2
2017-07-10T05:55:00.000Z,  台積電2017年1至6月營收約為4477.7億元，較去年同期增加5.3%。,1
2017-07-10T03:42:00.000Z,　魏永祥指出，2017年進入升息循環且企業獲利恢復成長後，資金對業績成長股偏好度提升，此外，過去一年來中小型股股價落後於大型股，後市業績若有亮眼的表現，中小型股股價可望優於於大型股，看好族群為：半導體、網通、電子零組件、iPhone 8新規格、文創、利基型傳產股等。,5
2017-07-11T10:36:00.000Z,（中央社記者吳家豪台北2017年7月11日電）外資及陸資今天買超達新台幣111億元，是自6月26日以來首次再現百億買超，推升台股指數大漲逾百點；電子權值股與蘋概股仍是外資買盤主力，也有部分資金轉向金融股。,6
2017-07-11T05:59:00.000Z,（中央社記者張建中台北2017年7月11日電）股王大立光 (3008) 股價再創歷史新高，加上台積電 (2330) 與鴻海 (2317) 同步走高，振奮市場多頭信心，台股價量齊揚，指數終場大漲125.66點，一舉收復月線與5日均線。,10
2017-07-11T03:39:00.000Z,（中央社記者張建中新竹2017年7月11日電）晶圓代工廠台積電 (2330) 股價開高走高，盤中一度達新台幣211元，順利擺脫貼息窘境，為即將到來的法說行情暖身。,0
2017-07-11T03:07:00.000Z,（中央社記者張建中台北2017年7月11日電）股王大立光 (3008) 再創新天價，台積電 (2330) 與鴻海 (2317) 股價也連袂走揚，帶動台股開高走高，指數順利收復10337點月線關卡。,7
2017-07-11T02:58:00.000Z,MoneyDJ新聞 2017-07-11 10:58:39 記者 陳苓 報導比特幣面臨重大轉捩點，將修改軟體，倘若礦工不願接受，可能會爆發「內戰」。,1
2017-07-11T02:26:00.000Z,（中央社記者吳家豪台北2017年7月11日電）晶圓代工廠台積電 (2330) 將於13日舉行法人說明會，外資圈搶先出具報告，除了美系外資將目標價調高到190元，2家歐系外資和另一家美系外資目標價維持202元、233元、250元。,3
2017-07-12T07:29:00.000Z,MoneyDJ新聞 2017-07-12 15:29:06 記者 陳苓 報導三星電子覬覦晶圓代工市場，發下豪語今年要超車聯電(2303)，晉身全球晶圓代工二哥，未來還要擠下台積電(2330)，躍居市場霸主。,-1
2017-07-12T07:29:00.000Z,半導體設備材料協會(SEMI)估計，2017年南韓晶圓設備的投資額將飆升68.7%、達129.7億美元，勝過台灣的127.3億美元。,3
2017-07-12T06:14:00.000Z,（中央社記者吳家豪台北2017年7月12日電）台股今天股匯齊揚，量能突破千億，一度攻上10450.87點，終場漲幅收斂，挑戰6月27日盤中高點10545點；投顧分析，權值股營收回溫，激勵台股反彈，短線有利多方表現。,8
2017-07-12T03:11:00.000Z,（中央社記者吳家豪台北2017年7月12日電）日系外資預估晶圓代工廠龍頭台積電 (2330) 第3季營收成長將低於市場預期，今年更傾向「先蹲後跳」格局，且獲利成長恐不如對手三星，維持「中立」評等，目標價上修到222元。,0
2017-07-12T03:01:00.000Z,MoneyDJ新聞 2017-07-12 11:01:29 記者 陳苓 報導蘋果十週年新機「iPhone 8」納入許多新科技，據稱眼看發布日期逐漸逼近，新iPhone的軟體問題仍舊搞不定，讓蘋果焦頭爛額，陷入恐慌。,-8
2017-07-12T02:52:00.000Z,MoneyDJ新聞 2017-07-12 10:52:04 記者 賴宏昌 報導奧迪(AUDI AG)11日在巴塞隆納奧迪高峰會上首度對外發表全新第四代旗艦車款「Audi A8(見圖)」。,0
2017-07-12T02:52:00.000Z,"奧迪A8、A8 L將在德國Neckarsulm生產基地投產，預計在2017年秋末於德國開賣，售價分別是90,600歐元起、94,100歐元起。",1
2017-07-12T00:57:00.000Z,日期：2017年 7月12日※本日焦點股昇華、直得、微星、玉晶光、群聯、網龍、研華、創意、力成、亞德客-KY、鴻準、致伸、科誠、譜瑞-KY、致茂、京鼎、東隆興、群創、仁寶、實威、鎧勝-KY※昨日盤勢解析德國五月份出口數據強勁，中國生產者物價指數年增率來到5.5%，激勵能源礦業類股領漲，週一西歐三大指數收高。,7
2017-07-12T00:36:00.000Z,MoneyDJ新聞 2017-07-12 08:36:32 記者 蔡承啟 報導三星電子旗艦智慧手機Galaxy S8系列(S8+S8 Plus)因其令人耳目一新的設計、加上吸引了部分因Galaxy Note 7爆炸而縮手的消費者，也讓S8系列機種開賣後就屢傳銷售佳績。,2
2017-07-13T08:45:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-台積公司2017年第二季每股盈餘新台幣2.56元1.事實發生日:106/07/132.公司名稱:台灣積體電路製造股份有限公司。,2
2017-07-13T08:45:00.000Z,"7.其他應敘明事項:台積公司今(13)日公佈2017年第二季財務報告，合併營收約新台幣2,138億6,000萬元，稅後純益約新台幣662億7,000萬元，每股盈餘為新台幣2.56元(換算成美國存託憑證每單位為0.42美元)。",0
2017-07-13T08:45:00.000Z,與2016年同期相較，2017年第二季營收減少了3.6%，稅後純益及每股盈餘則均減少了8.6%。,-1
2017-07-13T08:45:00.000Z,與前一季相較，2017年第二季營收減少了8.6%，稅後純益則減少了24.4%。,-1
2017-07-13T08:45:00.000Z,"若以美金計算，2017年第二季營收為70億6,000萬元，較前一季減少了5.9%，較2016年同期則增加了3.2%。",-1
2017-07-13T08:45:00.000Z,2017年第二季新台幣兌美元匯率相較於2017年第一季升值了2.8%，相較於2016年第二季則升值了6.6%。,0
2017-07-13T08:45:00.000Z,2017年第二季毛利率為50.8%，營業利益率為38.9%，稅後純益率則為31.0%。,1
2017-07-13T08:45:00.000Z,2017年第二季，10奈米製程出貨佔台積公司第二季晶圓銷售金額的1%；16/20奈米製程出貨佔全季晶圓銷售金額的26%。,-1
2017-07-13T08:45:00.000Z,"根據對當前業務狀況的評估，台積公司2017年第三季的業績展望如下：o合併營收預計介於81億2,000萬美元到82億2,000萬美元之間；若以新台幣30.3元兌1美元匯率假設，o毛利率預計介於48.5%到50.5%之間；o營業利益率預計介於37%到39%之間。",2
2017-07-13T08:37:00.000Z,（中央社記者張建中台北2017年7月13日電）晶圓代工廠台積電 (2330) 預期，營運最壞情況已經過去，第3季營收將較第2季成長近16%，第4季營運有信心會持續成長。,4
2017-07-13T07:28:00.000Z,"全球晶圓代工龍頭台積電(2330)今(13)日公佈2017年第二季財務報告，受匯率波動、庫存去化與稅率等影響，合併營收約2,138億6,000萬元，稅後純益約662億7,000萬元，每股盈餘為2.56元（換算成美國存託憑證每單位為0.42美元），表現不如預期。",-2
2017-07-13T07:28:00.000Z,　　與2016年同期相較，2017年第二季營收減少了3.6%，稅後純益及每股盈餘則均減少了8.6%。,-1
2017-07-13T07:28:00.000Z,與前一季相較，2017年第二季營收減少了8.6%，稅後純益則減少了24.4%。,-1
2017-07-13T07:28:00.000Z,"　　但若以美金計算，2017年第二季營收為70億6,000萬元，較前一季僅減少了5.9%，較2016年同期則增加了3.2%。",0
2017-07-13T07:28:00.000Z,2017年第二季新台幣兌美元匯率相較於2017年第一季升值了2.8%，相較於2016年第二季則升值了6.6%。,0
2017-07-13T07:28:00.000Z,　　台積電2017年第二季毛利率為50.8%，營業利益率為38.9%，稅後純益率則為31.0%。,1
2017-07-13T07:28:00.000Z,2017年第二季，10奈米製程出貨佔台積電第二季晶圓銷售金額的1%；16/20奈米製程出貨佔全季晶圓銷售金額的26%。,-1
2017-07-13T07:20:00.000Z,（中央社記者張建中台北2017年7月13日電）台積電 (2330) 調升今年晶圓代工產值預估至6%，並維持台積電今年營運目標，以美元計營收將較去年成長5%至10%。,2
2017-07-13T07:11:00.000Z,台積公司此次提出以美元計的營收目標，2017年第三季的合併營收預計介於81.2億美元到82.2億美元間，相較第二季的70.6億美元增加15~16.4%。,1
2017-07-14T07:29:00.000Z,（中央社記者張建中台北2017年7月14日電）台積電與大立光同時於13日召開法說會，投顧解讀兩公司釋出的訊息，認為蘋果iPhone 8進度延遲，第3季基本面不用期待，但大盤在iPhone 8發表前仍可望延續盤堅走勢。,2
2017-07-14T06:19:00.000Z,（中央社記者韋樞台北2017年7月14日電）台股今天在台積電和大立光第2季表現不如預期下，股價表現相對疲軟，傳產股漲跌互見，指數陷入整理。,-3
2017-07-14T06:14:00.000Z,（中央社記者吳家豪台北2017年7月14日電）晶圓代工廠台積電 (2330) 第3季展望低於市場預期，美系外資看好高效能運算需求將推升長期成長，維持目標價250元；但另一家美系外資認為高效能運算要等到2019年才貢獻營收，維持目標價190元。,7
2017-07-14T01:15:00.000Z,（中央社記者張建中新竹2017年7月14日電）晶圓代工廠台積電 (2330) 第2季獲利表現與第3季營運展望皆低於市場預期，衝擊股價走弱，開盤跳空跌新台幣1.5元。,0
2017-07-14T00:53:00.000Z,MoneyDJ新聞 2017-07-14 08:53:08 記者 蔡承啟 報導日本蘋果情報網站iPhone Mania 13日轉述美媒Fast Company的報導指出，據熟知詳情的關係人士透露，蘋果(Apple)可能會在今秋開賣的iPhone 8後置相機上搭載3D雷射系統「VCSEL」，藉此除可提高AR(擴增實境)性能之外，也能提升相機自動對焦的速度與精度。,2
2017-07-14T00:30:00.000Z,（中央社記者韋樞台北2017年7月14日電）台積電 (2330) 、大立光 (3008) 13日法說會中公布第2季財報營運比第1季弱，但同步看好後市。,1
2017-07-15T02:47:00.000Z,（中央社記者張建中新竹2017年7月15日電）晶圓代工廠台積電 (2330) 6月26日除息，現金股息新台幣1815.12億元將於7月20日發放，資金是否回流股市，為台股注入新動能，將是下週市場關注新焦點。,2
2017-07-17T05:23:00.000Z,MoneyDJ新聞 2017-07-17 13:23:44 記者 陳苓 報導智慧機缺乏創新，每年升級變化不大，購買手機成了選美大賽，消費者改用外觀挑選新機。,1
2017-07-17T05:23:00.000Z,IHS Markit數據顯示，2017年第一季全球智慧機出貨量上揚5.6%，為兩年來首度出現持續成長。,2
