PublishDate,Sentence,Score
2018-08-01T01:51:00.000Z,  亞系外資看好創意在下半年在加密ASIC訂單表現將優於預期，將成為其今年營運成長動能，且該力道可望維持到2019年，預估創意2018年~2020年每股盈餘年複合成長率將達40%以上，此外，創意長期將是台積電16、12及7奈米的主要受惠者，故調高創意目標價到520元，同時新增創意至高度確認買進名單中。,9
2018-08-01T01:51:00.000Z,  亞系外資看好創意在下半年在加密ASIC訂單表現將優於預期，將成為其今年營運成長動能，且該力道可望維持到2019年，預估創意2018年~2020年每股盈餘年複合成長率將達40%以上，此外，創意長期將是台積電16、12及7奈米的主要受惠者，故調高創意目標價到520元，同時新增創意至高度確認買進名單中。,9
2018-08-08T02:11:00.000Z, 16.瑞昱 (2379) ：被譽為無晶圓廠的鴻海，美亞系外資齊上調目標價，股價漲逾4.5% 17.原相 (3227) ：7月營收攀今年次高，Q3戰新高，不懼法人、自營商連2賣，早盤漲逾4%，創近2個月來高價。,0
2018-08-14T06:58:00.000Z,鋼鐵類股人氣強強滾，包括大成鋼 (2027) 、中鴻 (2014) 、美亞 (2020) 等全數收紅。,2
2018-08-15T10:59:00.000Z,台積電資深處長莊子壽指出，台積電3奈米總投資預估至少新台幣6000億元，若環評順利通過，預估2020年開始建廠，2021年機器進場安裝，希望2022年底至2023年初開始量產。,7
2018-08-15T02:08:00.000Z,"日本市場研調機構富士總研(Fuji Chimera Research Institute,Inc.)4月23日公布調查報告指出，支援5G的智慧手機預估最快會在2019年上半年問世，不過屆時推出的產品為支援Sub 6頻段的機種，預估支援毫米波頻段的產品最快要等到2019年下半至2020年期間才會問世，且從BOM成本等觀點來看，預估截至2022年為止僅有高階/旗艦等級機種會支援5G，預估2022年5G智慧手機全球市場規模將為3.1億支、佔整體智慧手機市場比重約2成(19.5%)。",4
2018-08-15T02:08:00.000Z,日刊工業新聞6月7日報導，日本調查公司Seedplanning公布調查報告指出，預估2025年全球5G行動服務用戶數將逼近22億件、將達2020年的29倍水準，佔全球行動服務用戶數比重為1/5。,-1
2018-08-15T02:08:00.000Z,"Seedplanning指出，隨著5G標準化，預估各國將自2019年起開始提供5G服務(中南美預估2021年開始)，在北美、中國、南韓、日本帶動下，預估2020年全球5G行動服務用戶數將為7,500萬件，2021年將年增約3倍至3億件以上、2022年進一步年增約1.3倍至7億件，2025年有望逼近22億件、達21億8,700萬件。",4
2018-08-15T00:33:00.000Z,南華早報8月13日報導，信用評等機構惠譽(Fitch)表示，2017年底中國家庭債務相對於可支配所得的比例為82%、預估到2020年底將升至100%。,0
2018-08-16T00:29:00.000Z,環保署15日初審通過「台南科學園區二期基地開發暨原一期基地變更計畫環差案」；該案即為台積電(2330)3奈米的南科投資案初審過關，這也意味著，台積電3奈米建廠案，可望在今年11月以前獲得環評大會通過，台積電則計畫，2020年動工，最快2022年底量產。,6
2018-08-16T00:29:00.000Z,　　台積電3奈米案預計使用南科28公頃用地，並緊臨台積電5奈米廠，科技部預訂在2020年中交地給台積電蓋廠房。,0
2018-08-16T00:29:00.000Z,台積電3奈米廠總投資額尚未定案，初估將超過6000億元，並在2020年動工，預計在2022年底到2023年初可以進入量產，該廠區僱用員工可以達到4000人。,0
2018-08-15T23:48:00.000Z,"　台積電資深廠務處長莊子壽表示，台積電3奈米總投資預估至少6,000億元，如果環評案可以順利通過，預計2020年可以建廠，2021年開始安裝，預估18個月的認證，希望2022年底、2023年初開始量產。",6
2018-08-20T03:39:00.000Z,顧能分析，影響2018年至2019年資訊安全支出的關鍵趨勢包括2019年以前，至少有30%的企業組織將花費在GDPR相關的諮詢與導入服務、2020年以前將有超過40%企業組織，因為數位轉型計畫的風險管理和隱私疑慮而增加資安服務支出。,-1
2018-08-20T03:39:00.000Z,此外，2020年以前至少有50%的安全軟體以服務型態提供；顧能表示，根據內部資安採購行為調查發現，有很大一部分的受訪者表示未來兩年內計劃以混合式部署的模式導入如安全資訊與事件管理(SIEM)的特定安全技術，管理式服務大約占所有部署的24%。,2
2018-08-21T05:30:00.000Z,Ferragu預期蘋果2019年、2020年每股盈餘將分別較市場平均預估值短少9%、6%。,-1
