PublishDate,Sentence,Score
2018-09-04T02:42:00.000Z,MoneyDJ新聞 2018-09-04 10:42:53 記者 陳苓 報導三星主管放話強攻中階機市場，新科技會率先用於中階機，究竟葫蘆裡賣什麼藥？對照韓媒消息，三星說的新技術也許是三鏡頭模組，據傳中階機Galaxy A年底將搶先使用，旗艦機Galaxy S10明年年初才會搭載。,0
2018-09-04T02:42:00.000Z,韓媒Investor引述Etoday報導，業界人士透露，三星決定在中階Galaxy A使用三鏡頭模組，這是三星機種首次搭載三鏡頭，預計今年第四季問世。,0
2018-09-04T02:42:00.000Z,此一消息與七月份財報會議說法吻合，當時三星表示，明年旗下10%機種將有三鏡頭。,0
2018-09-04T02:42:00.000Z,如今三星跟進，估計蘋果和LG電子也將採用，三鏡頭需求將增，有利供應商。,2
2018-09-04T02:42:00.000Z,Kiwoom Investment & Securities分析師Kim Ji-san預測，三鏡頭風潮會讓三星集團零組件供應商三星電機(Samsung Electro-Mechanics)獲利跳增。,1
2018-09-04T02:42:00.000Z,陸廠小米和Vivo也有可能向三星電機下單。,0
2018-09-04T02:42:00.000Z,"韓股報價略有延遲，台北時間4日上午10點01分，三星電機上漲2.52%、報162,500韓圜。",0
2018-09-17T02:44:00.000Z,MoneyDJ新聞 2018-09-17 10:44:39 記者 蔡承啟 報導南韓媒體朝鮮日報日文版17日報導，南韓三星電子在智慧手機市場上面臨「三明治」困境，在高階市場上打不贏蘋果(Apple)、在中低價格市場則遭陸廠痛擊，三星在獲利面上已遭陸廠追上。,3
2018-09-17T02:44:00.000Z,根據香港市場調查公司Counterpoint發表的智慧手機市場分析報告指出，上季(2018年4-6月)全球智慧手機行業(約600家智慧手機廠商)整體獲利中、蘋果一家就拿下62%比重穩居獲利王，而三星獲利則遭中國「4強(華為、OPPO、VIVO和小米)」超越。,6
2018-09-17T02:44:00.000Z,上季中國「4強」獲利合計為20億美元、佔全球市場比重為20%，超越三星的17%。,2
2018-09-17T02:44:00.000Z,2年前(2016年4-6月)中國「4強」在獲利面還無法成為三星的對手，當時蘋果、三星獲利佔比分別達62.8%、28.8%，合計為91.6%，而中國「4強」佔比僅7.9%。,-1
2018-09-17T02:44:00.000Z,電子業界關係人士指出，「在100萬韓圜(約10萬日圓)以上的最高階(旗艦級)市場上，三星撼動不了蘋果的領先優勢，而在50萬-100萬韓圜的高階市場上陸廠正迎頭追上三星。,3
2018-09-17T02:44:00.000Z,在蘋果、陸廠上下夾擊下，導致三星今年新機種「Galaxy 9(S9/Note 9)」銷售不如預期，三星正處於難於找到突破口的困境」。,-3
2018-09-17T02:44:00.000Z,"南韓媒體韓民族日報(the hankyoreh)日文版9月10日報導，市場調查公司Strategy Analytics(SA)預估，今年(2018年)三星電子智慧手機全球銷售量恐將萎縮6%至2億9,850萬支、將為6年來(2012年以來)首度跌破3億支大關。",0
2018-09-17T02:44:00.000Z,SA指出，會預估三星智慧手機銷售量跌破3億支，主要是因為旗艦機種Galaxy S9和Note 9銷售不振，加上受到競爭對手中國廠商急速抬頭的影響。,-3
2018-09-17T02:44:00.000Z,在全球前5大智慧手機廠中，除三星之外的另4大廠今年銷售量皆預估將呈現增長。,1
2018-09-17T02:44:00.000Z,"IDC 7月31日公布調查報告指出，上季(2018年4-6月)三星雖穩居全球智慧手機龍頭位置，不過出貨量較去年同期下滑10.4%至7,150萬支、為五大廠當中唯一呈現負成長的品牌。",2
2018-09-17T02:44:00.000Z,三星表示，旗艦機種S9/S9+受高階市場競爭加劇與整體智慧機市況疲軟影響、表現不如預期。,-2
2018-09-18T06:30:00.000Z,傳韓廠三星電機擴產車用MLCC，受相關消息衝擊，台廠國巨 (2327) 回檔修正，收在今日最低501元，跌幅6%，險守500元整數關卡，華新科 (2492) 跌7.31%、收234.5元。,-2
2018-09-18T02:36:00.000Z, 盤面上，股王大立光今日賣壓沉重，股價開低走低，盤中失守4000元大關，最低一度探至3920元；被動元件受三星電機將投5000億韓元提升天津MLCC產能消息衝擊，國巨 (2327) 、華新科 (2492) 都壓低整理，跌幅逼近3%左右；國光生 (4142) 流感疫苗大陸放行，加上旗下安特羅生技今興櫃掛牌，早盤爆量強漲逾9%；統一 (1216) 產業面、基本面皆有利多方，外資持續加碼，昨日買超逾千張，支持股價站回月線，早盤漲幅逾1%。,0
2018-09-18T02:12:00.000Z,MoneyDJ新聞 2018-09-18 10:12:43 記者 蔡承啟 報導南韓三星電子2年前(2016年)推出的旗艦機種Galaxy Note 7因接連發生電池起火、爆炸事件，迫使三星大規模召回、停產停售。,-1
2018-09-18T02:12:00.000Z,之後三星就特別注重電池安全，於今年(2018年)開賣的Note 9電池容量雖加大、但三星掛保證安全性無虞。,4
2018-09-18T02:12:00.000Z,不過Note 7惡夢將在Note 9上重演？美國有民眾稱Note 9自燃，一狀告上法院、要求三星停售。,-3
2018-09-18T02:12:00.000Z,南韓媒體朝鮮日報日文版17日報導，根據New York Post、CBS等多家美國媒體稱，一位名為Diane Chung的美國民眾所持有的Note 9於9月3日在包包內發生自燃起火，也讓該名美國民眾一狀告上紐約州皇后郡法院，主張三星應該知道Note 9的缺陷，除向三星要求損害賠償之外、也要求應該禁售Note 9。,-2
2018-09-18T02:12:00.000Z,關於Diane Chung的控告，三星表示，目前並未接獲Note 9有類似的案件發生，關於上述事件目前正進行調查。,0
2018-09-18T02:12:00.000Z,"根據嘉實XQ全球贏家系統報價，截至台北時間18日上午9點35分為止，三星電子上揚0.89%至45,550韓圜，稍早一度下挫0.89%；今年迄今三星股價累計下跌約10.6%。",-3
2018-09-18T02:12:00.000Z,"南韓媒體韓民族日報(the hankyoreh)日文版9月10日報導，市場調查公司Strategy Analytics(SA)預估，今年(2018年)三星電子智慧手機全球銷售量恐將萎縮6%至2億9,850萬支、將為6年來(2012年以來)首度跌破3億支大關。",0
2018-09-18T02:12:00.000Z,SA指出，會預估三星智慧手機銷售量跌破3億支，主要是因為旗艦機種Galaxy S9和Note 9銷售不振，加上受到競爭對手中國廠商急速抬頭的影響。,-3
2018-09-28T06:15:00.000Z,MoneyDJ新聞 2018-09-28 14:15:09 記者 陳苓 報導三星電子在中國智慧機市場節節敗退，今年第二季市佔跌到低於1%。,0
2018-09-28T06:15:00.000Z,外傳三星救亡圖存，未來在中國販售的中低階機種，考慮找陸廠代工生產，以降低成本、重振市佔。,1
2018-09-28T06:15:00.000Z,Korea Herald報導，媒體傳出三星執行副總Roh Tae-moon率領行動部門主管，拜訪小米ODM廠「聞泰科技」(600745.SH)，商討聞泰代工三星智慧機的可能性。,2
2018-09-28T06:15:00.000Z,如果一切順利，未來三星在中國販售的Galaxy智慧機可能由聞泰生產，最後貼上三星商標。,4
2018-09-28T06:15:00.000Z,三星公關人員拒絕證實此事，只說若有需要，該公司考慮在中國、以及其他國家引進ODM系統。,0
2018-09-28T06:15:00.000Z,三星智慧機在中國市場苦苦掙扎，今年七月就謠傳三星打算找ODM廠幫忙。,0
2018-09-28T06:15:00.000Z,業界人士說，三星考慮用ODM挽救中國的低迷表現，三星的中國智慧機業務重整之際，ODM能降低生產成本。,2
2018-09-28T06:15:00.000Z,三星高層透露，主掌中國業務的三星主管，幾年前就曾隨意談到ODM一事，指稱蘋果和鴻海(2317)的合作方式，就成本/品質來說表現突出。,3
2018-09-28T06:15:00.000Z,目前仍不確定三星是否真的會找ODM代工。,-1
