PublishDate,Sentence,Score
2017-06-05T03:32:00.000Z,　電子權值股今日大致持穩，擔任撐盤要角，由聯發科 （2454） 上漲逾2％領軍，日月光 （2311） 亦漲近1％，台積電 （2330） 維持約0.5％漲幅，鴻海 （2317） 則持穩盤上。,4
2017-06-07T06:10:00.000Z,電子股方面，玉晶光 (3406) 表現強勁，攻上漲停321元，台積電 (2330) 也收漲1元，只是日月光 (2311) 因撤回與矽品進行結合申請，再送件提出申請，股價表現弱勢，收跌0.9元，整體電子類股指數小跌0.02%。,0
2017-06-07T06:09:00.000Z,  台股多頭愈罷不能，不過，今日以台積電 (2330) 續強表現為主，股王大立光 (3008) 股價仍整理，日月光 (2311) 也隨消息面壓低；電子類股指數最後一盤小翻黑，金融也在富邦金 (2881) 下滑使得金融股指數收低。,-3
2017-06-07T03:04:00.000Z,電子股方面，儘管股王大立光 (3008) 與台積電 (2330) 連袂走揚，只是日月光 (2311) 因與矽品結合案受挫，股價走跌，整體電子類股指數在平盤上下震盪。,-1
2017-06-10T04:23:00.000Z,台積電 (2330) 美國存託憑證(ADR)收跌2.82%，聯電ADR跌1.96%，日月光ADR跌2.66%。,-2
2017-06-12T07:41:00.000Z,（中央社記者張建中新竹2017年6月12日電）美國費城半導體指數慘跌4.23%，衝擊台積電 (2330) 及日月光 (2311) 等國內半導體族群普遍走跌，半導體股市值單日大舉縮水達新台幣1467億元。,-1
2017-06-12T07:41:00.000Z,半導體設備廠應用材料股價跌5.67%，美光(Micron)跌5.7%，輝達(NVIDIA)跌6.46%，台積電美國存託憑證(ADR)也跌2.82%，聯電ADR跌1.96%，日月光ADR跌2.66%。,-1
2017-06-12T07:41:00.000Z,台積電股價跌4.5元，市值縮水最多，達1166億元；日月光股價跌0.85元，市值也縮水70億元；聯發科 (2454) 、台勝科 (3532) 及環球晶圓 (6488) 市值也都縮水超過30億元。,-2
2017-06-12T06:03:00.000Z,日月光 (2311) 收在37.4元，跌2.2%。,-1
2017-06-12T02:50:00.000Z,日月光 (2311) 來到37.4元，跌2.2%。,-1
2017-06-13T00:57:00.000Z,※弱勢股：1.蘋概權值壓抑指數，台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、台達電 (2308) 、日月光 (2311) 、可成 (2474) 、廣達 (2382) 、和碩 (4938) 、鴻準 (2354) 等下跌。,-5
2017-06-19T08:02:00.000Z,　此外，有關特別論壇的部分，主辦單位精心規畫如Fan-out、記憶體、IoT、內埋、先進技術等特別論壇；另有引領期盼的日月光及南茂企業論壇饗宴；並邀請來自Fraunhofer IZM、Intel、KAIST、HKUST、先豐通訊、台積電、應用材料、JSR等國內外產學研蒞臨演講；除此之外，主辦單位邀請日本的ICEP Japan以及美國的iNEMI攜手籌畫特別論壇，演講陣容堅強，每年皆吸引國際知名大廠共同參與，一齊探究最新電子技術的變化！  IMPACT的Technical Program Committee組成來自於各個科技產業巨擘，如台積電 (2330) 、Intel、IBM、Toshiba、陶氏化學、阿托科技、日月光 (2311) 、矽品 (2325) 、欣興電子、長興材料、台灣麥德美、JSR等重要廠商代表，更包含來自世界各地的學界與研調機構的加入，使得科技觸角伸得更深廣。,6
2017-06-21T06:04:00.000Z,日月光 (2311) 收在37.4元，跌0.5%。,-1
2017-06-21T02:39:00.000Z,日月光 (2311) 來到37.45元，跌0.4%。,-1
2017-06-22T03:13:00.000Z,  富邦投顧給予「加碼」或「買進」的名單共有15檔，包括:台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、力成 (6239) 、日月光 (2311) 、穩懋 (3105) 、景碩 (3189) 、環球晶 (6488) 、瑞昱 (2379) 、樺漢 (6414) 、上銀 (2049) 、統一超 (2912) 、富邦媒 (8454) 、雄獅 (2731) 、百和 (9938) 等。,3
2017-06-29T05:48:00.000Z,為協助台灣生技產業發展，財團法人生物技術開發中心(簡稱生技中心)經過多年努力，在經濟部科專計劃支持下，先後孕育4家新創公司–台康生技專業的生技藥品量產工廠、昌達生化科技與啟弘生物科技專業於藥品的安全性試驗，及目前已是台灣食安及毒品檢驗重要的把關者-台灣尖端，這4家源自生技中心的公司目前在台灣新藥及檢驗試劑的產業扮演關鍵角色，其自財團法人spin off成公司的發展模式有如台灣科技業的台積電 (2330) 及日月光 (2311) ，未來將對於台灣生技醫藥產業的成長作出貢獻。,8
2017-06-30T06:17:00.000Z,日月光 (2311) 收在39.05元，漲0.5%。,1
2017-06-30T06:17:00.000Z,日月光 (2311) 收在39.05元，漲0.5%。,1
2017-06-29T05:48:00.000Z,為協助台灣生技產業發展，財團法人生物技術開發中心(簡稱生技中心)經過多年努力，在經濟部科專計劃支持下，先後孕育4家新創公司–台康生技專業的生技藥品量產工廠、昌達生化科技與啟弘生物科技專業於藥品的安全性試驗，及目前已是台灣食安及毒品檢驗重要的把關者-台灣尖端，這4家源自生技中心的公司目前在台灣新藥及檢驗試劑的產業扮演關鍵角色，其自財團法人spin off成公司的發展模式有如台灣科技業的台積電 (2330) 及日月光 (2311) ，未來將對於台灣生技醫藥產業的成長作出貢獻。,8
