PublishDate,Sentence,Score
2018-12-19T02:10:00.000Z, 隨著蘋果股價回穩，台積電、大立光及鴻海蘋概三雄走揚，國巨 (2327) 也帶領被動元件族群走穩；中型電子股華通 (2313) 、達運 (6120) 獲買盤力拱；但因美光股價重挫，南亞科 (2408) 等記憶體股開低。,1
2018-12-19T01:54:00.000Z, 14.華通 (2313) ：昨三大法人合計買超2964張，股價漲3.33%，收復5日線。,2
2018-12-19T00:07:00.000Z,　新納入的13檔成分股包括台泥、台苯、國喬、新纖、福懋、華通、仁寶、台光電、京元電子、可成、致伸、崇越、瑞儀，多屬於傳產及中小型電子股。,0
2018-12-07T07:12:00.000Z,MOSFET族群受惠供需持續吃緊，杰力 (5299) 11月營收創高推升股價一度攻頂，也帶動大中 (6435) 、富鼎 (8261) 、尼克森 (3317) 等同步走揚；PCB族群也一片紅通通，欣興 (3037) 、金像電 (2368) 亮燈漲停，燿華 (2367) 、華通 (2313) 、瀚宇博 (5469) 跟進強彈。,8
2018-12-07T06:40:00.000Z,PCB族群中有欣興 (3037) 、金像電 (2368) 攻上漲停，燿華 (2367) 、嘉聯益 (6153) 、華通 (2313) 等也都大漲；MOSFET族群在價漲缺貨行情帶動下，杰力 (5299) 一度衝上漲停120元，也帶動大中 (6435) 、富鼎 (8261) 、尼克森 (3317) 等同步走揚；網通族群則在5G題材下，以智易 (3596) 漲幅最為剽悍，法人看好智易第四季營收可望挑戰新高，尾盤股價更是逼近漲停。,9
2018-12-11T07:08:00.000Z,　中美貿易戰火在華為公主被捕後升高，iPhone手機侵犯高通專利遭大陸祭出禁售令，蘋果股價卻利空不跌，激勵概念股大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、玉晶光 (3406) 、台達電 (2308) 等聯袂反彈，5G概念股受惠大陸官方政策力挺，智邦 (2345) 、智易 (3596) 、台通 (8011) 、啟碁 (6285) 、正文 (4906) 等強強滾；PCB族群今日由南電 (8046) 發動攻勢強登漲停，華通 (2313) 、景碩 (3189) 、台光電 (2383) 、聯茂 (6213) 等緊跟在後。,3
2018-12-11T02:18:00.000Z, 盤面表現上，PCB族群買盤進駐表現搶眼，南電 (8046) 強漲逾7%、欣興 (3037) 、華通 (2313) 聯袂揚升；蘋概股有跌深反彈的跡象，大立光 (3008) 獲大和資本證券調升投資評等至買進，盤中漲幅約2.5%左右、鴻海 (2317) 11月營收創歷年同期新高，股價小漲1%左右，台積電 (2330) 也力守平盤之上；三能-KY (6671) 今日以41.48元上市，早盤最高來到53元，漲幅超過25%；統一 (1216) 今年營收估飆4200億新高，股價一掃陰霾，突破5日線。,9
2018-12-19T02:10:00.000Z, 隨著蘋果股價回穩，台積電、大立光及鴻海蘋概三雄走揚，國巨 (2327) 也帶領被動元件族群走穩；中型電子股華通 (2313) 、達運 (6120) 獲買盤力拱；但因美光股價重挫，南亞科 (2408) 等記憶體股開低。,1
2018-12-19T01:54:00.000Z, 14.華通 (2313) ：昨三大法人合計買超2964張，股價漲3.33%，收復5日線。,2
2018-12-19T00:07:00.000Z,　新納入的13檔成分股包括台泥、台苯、國喬、新纖、福懋、華通、仁寶、台光電、京元電子、可成、致伸、崇越、瑞儀，多屬於傳產及中小型電子股。,0
