PublishDate,Sentence,Score
2017-12-01T08:55:00.000Z,台股今震盪劇烈，儘管連續三天破底的台積電 (2330) 出現回溫跡象，但其餘兩檔蘋果指標股大立光 (3008) 、鴻海 (2317) 卻是空方氣焰高張，台股指數盤中一度翻黑跌破半年線以及10500點支撐，其後指數又見回穩，金融股扮演強力支撐，加權指數一度大漲逾百點，高低上下震盪逾170多點，終場台股收漲39.93點、報在10600.37點，成交值1787.34億元；台股周線收黑、本周指數跌點253.72點。,-2
2017-12-01T08:55:00.000Z,  盤面關鍵指標權值王台積電隨著30日ADR隨著美國科技股回穩，台積電今跳空開高，盤中穩步走揚至230元之上，收復231元季線關卡，但儘管台積電回穩，但其他兩檔蘋概股指標鴻海、大立光卻是遭到空方襲擊，大立光今開盤不久即失守5000元整數關卡，一度下探到4740元，終場驚險收在5010元，且在大立光的走跌下，也拖累其餘光學元件股亞光 (3019) 、玉晶光 (3406) 、今國光 (6209) 等全數走弱；至於鴻海同樣也是備受考驗，今日進行百元關卡的保衛戰，盤中最低來到98.5元，不僅年線失守，也創下近半年來新低價，終場下跌0.9%，收在99.1元，失守百元大關。,-8
2017-12-01T08:55:00.000Z,  分析師表示，目前有鑑於台股技術及籌碼面尚未出現明顯反轉跡象，加上美稅改不確定性升溫，半導體前景亦出現雜音，短線建議保守操作，另外，儘管連日來破底的台積電今天止穩，只是鴻海、大立光仍持續下滑，其中大立光的M頭已然成形，相較不利於未來走勢，預計短線資金會陸續轉進傳產和金融類股。,-7
2017-12-01T07:01:00.000Z,11點過後多方開始反攻，指數翻紅，更上漲百點逼近5日線，台積電 (2330) 揮別陰霾，大漲3%；鴻海 (2317) 失守百元後探低拉升，力拚穩住100大關；大立光亦從低點4740元攀回5字頭；金融股在升息預期的偏多心態帶動下，富邦金 (2881) 、國泰金 (2882) 等權重股領漲，重新站回5日及10日線。,7
2017-12-01T07:01:00.000Z,儘管連日來破底的台積電已止穩，但鴻海、大立光持續下滑，電子群龍無首，操作上仍先「停、看、聽」。,-2
2017-12-01T06:19:00.000Z,近期外資狂砍的權值股台積電 (2330) 今天回神，上漲2.21%，收在231元；鴻海 (2317) 盤中摜破百元關卡，收盤下跌0.9%，收99.1元；大立光 (3008) 一度失守5000元整數關卡、重挫逾5%，尾盤跌幅收斂至2.53%，收5010元。,-3
2017-12-01T02:51:00.000Z,近期外資狂砍的權值電子股台積電 (2330) 早盤回神，上漲逾1%，一度站回230元；鴻海 (2317) 在跌破年線後今天盤中再跌2%，摜破百元關卡至98元。,0
2017-12-04T10:23:00.000Z,外資上週自集中市場賣超最多的前3名上市公司及張數分別為台積電 (2330) 10萬763張，鴻海 (2317) 9萬3126張，緯創 (3231) 7萬5154張。,-1
2017-12-04T06:32:00.000Z,加權股價指數終場上漲50.74點、漲幅0.48%、收在10651.11點、成交值新台幣1280.95億元，雖然台積電站回季線之上，但股王大立光 (3008) 持續弱勢，股價收盤重跌，鴻海 (2317) 早盤股價也一度測試前波低點98元，顯示外資調節動作還在進行中，所幸國泰金、富邦金 (2881) 、開發金 (2883) 站在多方，資金進行「拉金融、出電子」的挪移。,2
2017-12-04T03:59:00.000Z,亞系外資看好的12檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、南亞科 (2408) 、亞德客-KY (1590) 、英業達 (2356) 、力成 (6239) 、矽力-KY (6415) 、譜瑞-KY (4966) 、京元電子 (2449) 、樺漢 (6414) 、啟?? (6285) 。,1
2017-12-04T03:59:00.000Z,亞系外資也列出12月1日起股價漲幅有望超過15%的9檔推薦買進個股，包括台塑 (1301) 、中鋼 (2002) 、台達電 (2308) 、鴻海 (2317) 、美律 (2439) 、聯發科 (2454) 、玉山金 (2884) 、鎧勝-KY (5264) 、億豐 (8464) 。,4
2017-12-04T03:17:00.000Z,電子權值股方面，雖然台積電 (2330) 站回季線231．64元之上，但鴻海 (2317) 、大立光 (3008) 跌勢未止，雙雙跌破年線防線，也讓電子股依舊是中小型股表現優於大型股。,-1
2017-12-01T08:55:00.000Z,台股今震盪劇烈，儘管連續三天破底的台積電 (2330) 出現回溫跡象，但其餘兩檔蘋果指標股大立光 (3008) 、鴻海 (2317) 卻是空方氣焰高張，台股指數盤中一度翻黑跌破半年線以及10500點支撐，其後指數又見回穩，金融股扮演強力支撐，加權指數一度大漲逾百點，高低上下震盪逾170多點，終場台股收漲39.93點、報在10600.37點，成交值1787.34億元；台股周線收黑、本周指數跌點253.72點。,-2
2017-12-01T08:55:00.000Z,  盤面關鍵指標權值王台積電隨著30日ADR隨著美國科技股回穩，台積電今跳空開高，盤中穩步走揚至230元之上，收復231元季線關卡，但儘管台積電回穩，但其他兩檔蘋概股指標鴻海、大立光卻是遭到空方襲擊，大立光今開盤不久即失守5000元整數關卡，一度下探到4740元，終場驚險收在5010元，且在大立光的走跌下，也拖累其餘光學元件股亞光 (3019) 、玉晶光 (3406) 、今國光 (6209) 等全數走弱；至於鴻海同樣也是備受考驗，今日進行百元關卡的保衛戰，盤中最低來到98.5元，不僅年線失守，也創下近半年來新低價，終場下跌0.9%，收在99.1元，失守百元大關。,-8
2017-12-01T08:55:00.000Z,  分析師表示，目前有鑑於台股技術及籌碼面尚未出現明顯反轉跡象，加上美稅改不確定性升溫，半導體前景亦出現雜音，短線建議保守操作，另外，儘管連日來破底的台積電今天止穩，只是鴻海、大立光仍持續下滑，其中大立光的M頭已然成形，相較不利於未來走勢，預計短線資金會陸續轉進傳產和金融類股。,-7
2017-12-01T07:01:00.000Z,11點過後多方開始反攻，指數翻紅，更上漲百點逼近5日線，台積電 (2330) 揮別陰霾，大漲3%；鴻海 (2317) 失守百元後探低拉升，力拚穩住100大關；大立光亦從低點4740元攀回5字頭；金融股在升息預期的偏多心態帶動下，富邦金 (2881) 、國泰金 (2882) 等權重股領漲，重新站回5日及10日線。,7
2017-12-01T07:01:00.000Z,儘管連日來破底的台積電已止穩，但鴻海、大立光持續下滑，電子群龍無首，操作上仍先「停、看、聽」。,-2
2017-12-01T06:19:00.000Z,近期外資狂砍的權值股台積電 (2330) 今天回神，上漲2.21%，收在231元；鴻海 (2317) 盤中摜破百元關卡，收盤下跌0.9%，收99.1元；大立光 (3008) 一度失守5000元整數關卡、重挫逾5%，尾盤跌幅收斂至2.53%，收5010元。,-3
2017-12-01T02:51:00.000Z,近期外資狂砍的權值電子股台積電 (2330) 早盤回神，上漲逾1%，一度站回230元；鴻海 (2317) 在跌破年線後今天盤中再跌2%，摜破百元關卡至98元。,0
2017-12-04T10:23:00.000Z,外資上週自集中市場賣超最多的前3名上市公司及張數分別為台積電 (2330) 10萬763張，鴻海 (2317) 9萬3126張，緯創 (3231) 7萬5154張。,-1
2017-12-04T06:32:00.000Z,加權股價指數終場上漲50.74點、漲幅0.48%、收在10651.11點、成交值新台幣1280.95億元，雖然台積電站回季線之上，但股王大立光 (3008) 持續弱勢，股價收盤重跌，鴻海 (2317) 早盤股價也一度測試前波低點98元，顯示外資調節動作還在進行中，所幸國泰金、富邦金 (2881) 、開發金 (2883) 站在多方，資金進行「拉金融、出電子」的挪移。,2
2017-12-04T03:59:00.000Z,亞系外資看好的12檔科技股個股包括台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、南亞科 (2408) 、亞德客-KY (1590) 、英業達 (2356) 、力成 (6239) 、矽力-KY (6415) 、譜瑞-KY (4966) 、京元電子 (2449) 、樺漢 (6414) 、啟?? (6285) 。,1
2017-12-04T03:59:00.000Z,亞系外資也列出12月1日起股價漲幅有望超過15%的9檔推薦買進個股，包括台塑 (1301) 、中鋼 (2002) 、台達電 (2308) 、鴻海 (2317) 、美律 (2439) 、聯發科 (2454) 、玉山金 (2884) 、鎧勝-KY (5264) 、億豐 (8464) 。,4
2017-12-04T03:17:00.000Z,電子權值股方面，雖然台積電 (2330) 站回季線231．64元之上，但鴻海 (2317) 、大立光 (3008) 跌勢未止，雙雙跌破年線防線，也讓電子股依舊是中小型股表現優於大型股。,-1
2017-12-05T07:15:00.000Z,昨夜美股道指創高，惟那指重挫逾1%，台股電子族群今日成空軍重砲轟擊標靶，包括龍頭指標台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 無一倖免，康控-KY (4943) 更下殺跌停，晶電 (2448) 、亞光 (3019) 、嘉聯益 (6153) 也紛紛跌逾5%，拖累大盤指數一度重挫110餘點，最低來到10540點，所幸國泰金 (2882) 在多數高權值電子股回檔休息之際，帶領金融類股力挽狂瀾，無奈尾盤國泰金仍腿軟翻黑收低，集中市場終場下跌84.26點，收10566.85點，成交值放大至1443.19億元。,-11
2017-12-05T07:15:00.000Z,  盤面上，成交量前10名依序為燿華 (2367) 、中石化 (1314) 、鴻海 (2317) 、華邦電 (2344) 、友達 (2409) 、力麗 (1444) 、國泰金 (2882) 、開發金 (2883) 、新光金 (2888) 、群創 (3481) 。,1
2017-12-05T07:15:00.000Z,蘋果iX銷售看守，大摩調降鴻海、大立光的評價，今日鴻海下跌3.43%、收95.6元、大立光下跌1.46%，收4730元。,-2
2017-12-05T06:49:00.000Z,隨後包括台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 三大指標跌幅擴大，其餘康控-KY (4943) 、晶電 (2448) 、全新 (2455) 、聯鈞 (3450) 等齊跌逾5%傷勢更是慘重，面對空頭，權值大軍毫無招架之力，盤面僅靠金融、橡膠、紡織等傳產類股奮力撐場，接近尾盤，國泰金 (2882) 急挫翻黑，拖累金融類股跟隨壓低，終場大盤下跌84.26點，收在10566.85點，成交值1443.19億元；店頭市場下跌2.57點，收在145.99點，成交值434.56億元。,-6
2017-12-05T06:49:00.000Z,  電子股修正進行式之中，股王大立光今日開盤股價震盪整理，收在4730元，跌幅1.46%；台積電股價收在229.5元，跌幅1.92%；鴻海遭外資調降目標價影響，今日收在95.6元，下跌3.43%。,-2
2017-12-05T06:34:00.000Z,主要電子權值股拉回修正，台積電 (2330) 終場收在229.5元，跌1.92%，鴻海 (2317) 終場收95.6元，跌3.43%。,0
2017-12-05T03:14:00.000Z,主要電子權值股相對拉回修正，台積電 (2330) 來到230元，跌1.7%，鴻海 (2317) 來到96.7元，跌2.3%。,0
2017-12-05T03:00:00.000Z,周一美股道瓊指數再創高，惟科技股走跌，那斯達克指數重挫逾1%，影響台股大盤今早開盤下跌43.49點，以10607.62點開出，季線10645點得而復失，隨後在台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、華邦電 (2344) 、南亞科 (2408) 等電子權值股全面走弱之下，大盤指數一度滑落至10568.86點，所幸金融類股及時回神，加上紡織、橡膠類股力爭上游，多頭一度回防10600關卡，惟股王大立光走勢震盪、忽漲忽跌，影響大盤指數隨之起伏。,1
2017-12-05T03:00:00.000Z,分析師表示，後市觀盤聚焦3重點，包括季線能否有效站穩、鴻海及大立光等權值股能否止跌回穩、台幣動向。,0
2017-12-06T08:17:00.000Z,他強調，若台積電 (2330) 、鴻海 (2317) 、大立光股價持續往下，台股要面對萬點保衛戰會是很大壓力。,-1
2017-12-06T08:03:00.000Z,　謝金河指出，影響台股最甚的三檔個股台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 後續表現最重要。,2
2017-12-06T08:03:00.000Z,大立光今日殺到跌停板時對市場的士氣影響很大，大立光從6千多元跌到4260元，市值少了2100多億對台股影響大；他說，麥格里年中時出了一本200頁報告預估鴻海目標價200元，市場很期待，結果不但沒上200元現在還跌到93元，現在台積電已跌破季線，鴻海、大立光更率先跌破年線，台股積弱不振。,-3
2017-12-06T08:03:00.000Z,　謝金河表示，外資現對鴻海的殺盤每天好幾萬張，壓力很大，而外資現在才加入台積電的賣超，台積電的ADR從43.02美元掉到39.2美元，所以要觀察其ADR表現，226元是一個關鍵，摩根史丹利看是預估180元，等於跌回年初起漲點，若守不住180元，台股將守不住萬點。,-1
2017-12-06T07:00:00.000Z,台股受到蘋概三雄大立光 (3008) 觸跌停，台積電 (2330) 、鴻海 (2317) 同步走疲，在電子、金融、傳產3大類股齊挫下，拖累指數開低走低，盤中隨著亞股跌勢擴大，恐慌性賣壓湧出，指數一度狂瀉近190點，最低下探10376.65點，終場加權指數下跌172.93點為10393.92點，連續失守10500點、10400點及半年線關卡，成交值放大至1594.45億元。,-13
2017-12-06T07:00:00.000Z,　蘋概三雄股王大立光 (3008) 因12月業績估下滑，今日賣壓湧現一度急殺跌停，台積電 (2330) 、鴻海 (2317) 同步走疲，衝擊多頭信心；惟3D感測族群表現格外搶眼，致茂 (2360) 、全新 (2455) 、原相 (3227) 、敦南 (5305) 逆勢走高；貿聯-KY (3665) 、美琪瑪 (4721) 、宜鼎 (5289) 等中型電子股亦強勢走高。,0
2017-12-06T07:00:00.000Z,受制蘋概股三雄台積電、鴻海與大立光帶頭電子股殺盤，股王大立光與IC設計龍頭聯發科 (2454) 盤中俱見跌停板，加上金融與傳產等權值股也演出不振，使加權股價指數開低殺低，連續跌破半年線、10500點10400點等關卡，以10393.92今日相對低點收盤，創兩個月來最低水準。,-8
2017-12-06T06:11:00.000Z,  台股蘋概三雄股王大立光、台積電、鴻海 (2317) 今早股價仍弱勢整理，金融股亦無力撐盤，台股早盤再度回探半年線，少數具業績題材的中型電子股或是跌深股逆勢突圍。,-2
2017-12-06T06:11:00.000Z,  台股今日受到美股下跌，蘋概股多數下跌，尤其大立光、鴻海股價持續探底，台積電則被壓抑在季線之下。,-4
2017-12-06T06:01:00.000Z,（中央社記者江明晏台北2017年12月6日電）股王大立光 (3008) 今天重挫觸跌停，創台股史上最大跌點，鴻海 (2317) 、台積電 (2330) 等權值股走弱，台股盤中大跌190點，終場收在10393.92點。,-4
2017-12-06T06:01:00.000Z,鴻海賣壓沈重，今天股價下跌收93元，創今年4月以來的8個月新低，下跌2.72%。,-6
2017-12-06T03:07:00.000Z,台股蘋概三雄股王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 今早股價仍弱勢整理，金融亦無力撐盤，台股早盤再度回探半年線，不過具業績題材的中型電子股或是跌深股逆勢突圍。,-2
