PublishDate,Sentence,Score
2016-12-31T04:00:00.000Z,大陸手機品牌熱銷，紛紛攻占全球前10大手機排行榜，由於高階手機晶片幾乎都委由台積電 （2330） 代工，法人表示，封測廠日月光 （2311） 、矽品 （2325） 、京元電 （2449） 業績跟著一路旺到明年。,1
2016-12-31T04:00:00.000Z,　華為智慧手機主要採用自家IC設計公司海思研發的高階麒麟系列手機晶片，目前幾乎都委由台積電代工生產，從當前以16奈米製程量產的麒麟960處理器，到明年以10奈米製程生產的麒麟970晶片，都由台積電拿下。,5
2016-12-31T04:00:00.000Z,至於OPPO、魅族及Vivo等手機晶片，則由聯發科 （2454） 及高通分食，以聯發科晶片來看，則分別投片在台積電及聯電 （2303） ，後段邏輯封測幾乎就是由日月光、矽品、京元電拿下。,3
2016-12-30T12:42:00.000Z,成交量前10名個股依次為：彩晶 (6116) 、元大台灣50反1（00632R）、元大滬深300正2（00637L）、台積電 (2330) 、群創 (3481) 、亞翔 (6139) 、中信金 (2891) 、友達 (2409) 、元大金 (2885) 、緯創 (3231) 。,0
2016-12-30T12:42:00.000Z,成交值前10名個股依次為：台積電 (2330) 、葡萄王 (1707) 、大立光 (3008) 、鴻海 (2317) 、亞翔 (6139) 、中華電 (2412) 、元大台灣50反1（00632R）、玉晶光 (3406) 、聯發科 (2454) 、彩晶 (6116) 。,0
2016-12-30T12:42:00.000Z,市值前10名個股依次為：台積電 (2330) 、鴻海 (2317) 、台塑化 (6505) 、中華電 (2412) 、國泰金 (2882) 、台塑 (1301) 、南亞 (1303) 、台化 (1326) 、富邦金 (2881) 、大立光 (3008) 。,0
2016-12-30T08:08:00.000Z,（中央社記者張建中新竹2016年12月30日電）台股今天封關，今年半導體類股不計新上市櫃的精測 (6510) 等股，市值共增加新台幣1.02兆元；其中，晶圓代工廠台積電 (2330) 貢獻最大，市值大增9983億元。,4
2016-12-30T08:08:00.000Z,據統計，台積電今年市值大增9983億元，增幅約26.92%，是推升半導體類股市值逼近 7兆元的最大功臣；台積電市值達4.7兆元，約占半導體類股總市值的67%。,3
2016-12-30T07:06:00.000Z,台積電 (2330) 於下月12日下午14:00召開法說會，地點：台北遠東國際大飯店三樓遠東宴會廳(台北市敦化南路二段201號)，將公佈2016年第4季財務報告及2017年第1季的業績展望。,1
2016-12-30T07:01:00.000Z,  台股開盤即以上漲33點寫下好兆頭，電子股權值股恢復元氣，大立光 (3008) 走揚突破3800元關卡，晶圓雙雄台積電 (2330) 最高來到182.5元，鴻海 (2317) 站穩84元之上，為多方注入強心針。,6
2016-12-30T06:42:00.000Z,證交所重大訊息公告(2330)台積電-本公司訂購機器設備公告1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:機器設備。,1
2016-12-30T06:41:00.000Z,苦的不只是營業員，台股市值衝上27兆元，看似雨露均霑，但實際上卻是集中在少數大型權值股，光是台積電 (2330) 就貢獻近半市值增幅，也讓投資人對於台股相當無感；就算平均帳面資產價值增加，但大多被外資及法人賺走，小股民只有當分母的份。,3
2016-12-30T06:12:00.000Z,　今年台股全看外資臉色，外資一年來買超台股3000多億元，台積電 (2330) 、大立光 (3008) 股價風光，帶動台股市值從去年底的24.5兆，增加到27兆，如果非華亞科因合併下市，台股市值將進一步增高。,5
2016-12-30T06:08:00.000Z,  電子股今靠大型權值股，包括股王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 以及宏達電 (2498) 等穩住陣腳，但在外資放假、內資為主的籌碼市場來看，中小型個股依舊相對活潑。,1
2016-12-30T02:39:00.000Z,  電子股今日權值股恢復元氣，股王大立光 (3008) 漲幅一度近2%，早盤最高達3975元，距離3800元關卡僅剩臨門一腳，晶圓雙雄台積電 (2330) 、聯電 (2303) 也持穩走揚，台積電力守181元。,7
