PublishDate,Sentence,Score
2017-02-01T04:59:00.000Z,駐檀香山台北經濟文化辦事處處長周民淦於夏威夷時間1月30日晚間，在自家舉行餐敘，邀請前副總統蕭萬長、台積電 (2330) 董事長張忠謀，以及國民黨市議員王欣儀等人出席，不過，張忠謀傳因在夏威夷自家的泳池畔跌倒而無法出席。,-2
2017-02-01T04:59:00.000Z,台積電今天聲明表示，對於昨天晚上媒體報導董事長在夏威夷摔傷一事，目前已與董事長取得聯繫，知道董事長並無大礙、作息正常，並將於今天返台，下週就會進公司上班。,2
2017-02-01T01:39:00.000Z,（中央社記者江明晏台北2017年2月1日電）台積電 (2330) 董事長張忠謀傳出在夏威夷住家的泳池畔跌倒受傷，台積電今天上午表示，「董事長僅是輕微擦傷，作息也正常，一切無大礙。,-2
2017-02-01T01:39:00.000Z,」台積電董事長張忠謀昨驚傳在夏威夷住家的泳池畔跌倒受傷，一度傳出傷勢嚴重，不過，媒體報導，張忠謀31日現身機場時，接受媒體拍攝，照片顯示他身上僅有些微擦傷，行動自如，絲毫沒有不便之處，證實傳言非事實。,-8
2017-02-01T01:39:00.000Z,對此，台積電上午也證實，「董事長沒事，僅是輕微擦傷，作息正常，一切無大礙。,-1
2017-02-01T01:39:00.000Z,」至於張忠謀受傷原因，台積電表示不清楚，後續是否會再發表聲明，還在討論中；另外，張忠謀預計今晚抵達台灣。,-3
2017-02-02T08:34:00.000Z,證交所重大訊息公告(2330)台積電-本公司代子公司 TSMC Global Ltd. 公告取得MSFT及ATT 之普通公司債1.證券名稱:MSFT及ATT之普通公司債。,1
2017-02-02T08:34:00.000Z,證交所重大訊息公告(2330)台積電-本公司訂購機器及廠務設備公告1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:機器及廠務設備。,1
2017-02-02T08:33:00.000Z,證交所重大訊息公告(2330)台積電-本公司公告取得台灣電力股份有限公司發行之商業本票1.證券名稱:台灣電力股份有限公司發行之商業本票2.交易日期:106/1/25~106/2/23.交易數量、每單位價格及交易總金額:不適用 ; 不適用 ; NT$499佰萬元到期日: 106年07月05日至民國106年07月13日。,0
2017-02-02T07:14:00.000Z,台積電 (2330) 董事長張忠謀在夏威夷摔傷一事引起外界關注，所幸傷勢無大礙，今日股價因iPhone 7與iPhone 7 Plus銷售佳績帶動，台積電一度上探至188.5元，惟尾盤賣壓出籠，股價小跌0.5%。,-2
2017-02-02T06:43:00.000Z,不過，聯發科 （2454） 重挫4.22％、台灣大 （3045） 跌2.39％，中華電 （2412） 亦下跌1.96％，驚險守住百元關卡，台積電 （2330） 亦受賣壓拖累，終場收黑0.54％。,-9
