PublishDate,Sentence,Score
2017-12-01T02:11:00.000Z,1.燿華 (2367) ：今起降低融資比率1成及提高融券保證金1成，盤中股價急殺逾6%。,1
2017-12-01T02:11:00.000Z,1.燿華 (2367) ：今起降低融資比率1成及提高融券保證金1成，盤中股價急殺逾6%。,1
2017-12-05T07:15:00.000Z,  盤面上，成交量前10名依序為燿華 (2367) 、中石化 (1314) 、鴻海 (2317) 、華邦電 (2344) 、友達 (2409) 、力麗 (1444) 、國泰金 (2882) 、開發金 (2883) 、新光金 (2888) 、群創 (3481) 。,1
2017-12-05T07:15:00.000Z,燿華10月獲利賺贏第三季，一舉彌補前三季虧損，無懼外資調節賣壓，今日盤中一度衝過20元關卡，終場收在19.5元、漲幅4.28%。,2
2017-12-05T02:27:00.000Z,  7.燿華 (2367) ：昨日外資賣超1498張，但業績亮眼，軋空氣勢仍在，早盤股價逆漲突破20元關卡。,3
2017-12-07T07:00:00.000Z,　蘋概股三雄今日漲跌互見，大立光 (3008) 、鴻海 (2317) 出現止跌訊號，台積電 (2330) 卻翻黑下挫衝擊多頭信心，其餘蘋果鏈華通 (2313) 、台郡 (6269) 、臻鼎-KY (4958) 挾11月亮眼業績強彈，燿華 (2367) 更是亮燈漲停鎖到底；DRAM族群南亞科 (2408) 11月營收繳佳績帶動股價回穩，華邦電 (2344) 以小跌作收。,5
2017-12-12T07:15:00.000Z,　台股今日在蘋概股三雄鴻海 (2317) 走疲，台積電 (2330) 、大立光 (3008) 雙雙熄火下澆熄多頭熱情，使權值大軍士氣受挫；比特幣交易活絡，帶動挖礦概念族群華擎 (3515) 、映泰 (2399) 逆勢走高；印刷電路板族群欣興 (3037) 、耀華 (2367) 各擁題材聯袂強彈，勇奪台股人氣王；電動汽車概念股馬力強，康普 (4739) 、貿聯-KY (3665) 、健和興 (3003) 攜手喊衝。,8
2017-12-12T06:49:00.000Z,昨夜美股收高，帶動今早台股三大期指整齊開高，大盤亦延續昨日漲勢上漲15.64點、以10488.73點開出，盤初各大類股漲多跌少，加上信昌化 (4725) 、欣興 (3037) 、耀華 (2367) 等中小型衝鋒拉抬，大盤指數一度向10500靠攏，惟鴻海 (2317) 走弱，加上近期強勢的華晶科 (3059) 調節賣壓增強翻黑，權值大軍士氣受挫，盤中台積電 (2330) 、大立光 (3008) 雙雙不支倒地，大盤跌點擴大，10400城池一度告急，僅靠部份中小型股與塑膠、化工、電器等少數傳產類股勉強撐場，所幸台積電、大立光接近尾盤奮力收平穩住陣腳，終場大盤指數下跌29.81點，收在10443.28點，成交值縮減至1060.73億元；店頭市場下跌0.27點，收在146.15點，成交值469.4億元。,1
2017-12-12T06:49:00.000Z,印刷電路板廠燿華、欣興受惠明年新款iPhone電池軟硬結合板平均單價與出貨提升，今各擁強題材強攻，其中欣興一度攻上漲停17.2元、收在17.1元，燿華則收21.65元、漲幅逾6%，勇奪今日台股人氣王。,5
2017-12-12T02:44:00.000Z,個股方面，燿華 (2367) 11月營收再創高，年增69.7%，前11月營收年增41.01%，外資昨買超2903張，股價漲逾6%，奪下今日人氣王寶座。,6
2017-12-13T03:05:00.000Z,國巨 (2327) 領軍被動元件股走揚，印刷電路板具轉機的欣興 (3037) 本周強彈，燿華 (2367) 則續強勢。,4
2017-12-18T04:07:00.000Z,美股漲不敵大立光 (3008) 下殺，台股指數10500點浮沉！儘管上周五美國股市衝高，但台股受到股王—大立光及台積電 (2330) 雙王股價走弱壓制，玉晶光 (3406) 、亞光 (3019) 等光學股及蘋果概念股今天依舊疲弱，成為阻礙多頭上攻的大石頭，所幸資金轉向具基本面支撐的被動元件，國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 同步攻上漲停板，華新集團旗下瀚宇博 (5469) 亦漲停，信昌電 (6173) 同步大漲，PCB廠營運看俏，華通 (2313) 及燿華 (2367) 轉強，搭配電動車電池材料廠—康普 (4739) 及美琪瑪 (4721) 走高，以及傳產股的油電氣類股走強，讓台股力守紅盤。,7
2017-12-18T03:16:00.000Z,市場看好PCB（印刷電路板）廠將受惠年底旺季備貨需求，第4季業績不看淡，燿華 (2367) 、臻鼎-KY (4958) 分別上漲1.78%、0.44%。,4
2017-12-20T07:12:00.000Z,　蘋果三巨頭鴻海、大立光今日跌深反彈，台積電亦止跌回穩，電子股仍以次族群強撐人氣，被動元件股國巨 (2327) 掛帥領軍，禾伸堂 (3026) 、華新科 (2492) 等強強滾，印刷電路板股燿華 (2367) 、金像電 (2368) 等亦噴出大漲，為盤面上最為吸睛。,2
2017-12-20T06:42:00.000Z,美股蘋果周二股價下跌，台積電、鴻海、大立光等蘋果三巨頭今早股價仍震盪，但鴻海股價破底後翻揚；電子短線強勢股撐人氣，國巨 (2327) 領軍，禾伸堂 (3026) 、華新科 (2492) 等被動元件股續強，燿華 (2367) 、金像電 (2368) 等印刷電路板股亦帶量上攻。,1
2017-12-25T07:06:00.000Z,　蘋果新機換機潮不如預期，市場傳出明年首季將大砍供應鏈訂單，股王大立光嚇跌至4000元，衝擊高價股買氣急凍，鴻海 (2317) 、可成 (2474) 、和碩 (4938) 同步走軟，權值股台積電 (2330) 、群創 (3481) 、友達 (2409) 於平盤附近震盪整理；MOSFET概念股在華碩 (2357) 小金雞杰力 (5299) 未上櫃先轟動下掀起比價效應，大中 (6435) 、富鼎 (8261) 雙雙大漲；印刷電路板族群受惠原料報價喊漲、明年展望佳，達邁 (3645) 、燿華 (2367) 、台虹 (8039) 、亞電 (4939) 人氣強強滾。,-2
2017-12-25T03:01:00.000Z,觀察盤中焦點股，宏?痐j漲7.28%，至24.45元，位居台股成交值第一，被動元件、網通、印刷電路板（PCB）族群表現亮眼；其中，達邁 (3645) 大漲近8%，至85.1元，燿華 (2367) 漲5%，至26.15元，台虹 (8039) 大漲約8%，至60.1元。,4
2017-12-28T02:15:00.000Z,  25.燿華 (2367) ：昨日外資買超4986張，股價漲4.27%。,4
