PublishDate,Sentence,Score
2018-08-13T02:13:00.000Z,1.南亞科 (2408) ：上半年EPS 6.07元，惟上周五遭三大法人聯手賣超1289張，影響早盤股價跌逾3%。,-2
2018-08-21T02:08:00.000Z,1.南亞科 (2408) ：昨外資、投信轉買超，帶動早盤股價漲逾3.5%，收復5日線。,3
2018-08-24T09:20:00.000Z,為實現相當程度半導體產業自給自足，中國強力扶植半導體產業，除了收購與投資外，還不斷挖角台灣人才，台塑集團旗下動態隨機存取記憶體（DRAM）廠南亞科近1、2年即流失48位高階技術人員到中國。,1
2018-08-24T09:20:00.000Z,美光（Micron）併購的華亞科更跑了400多人，南亞科與美光都採取法律途徑，捍衛營業秘密與智慧財產權，確保研發成果。,3
2018-08-24T09:20:00.000Z,在經歷中國大舉挖角後，南亞科 (2408) 總經理李培瑛說，不僅內部強化門禁、手機、電腦、電腦配件與印表機管理，提升資訊安全保護，並全力配合檢調機關偵查與追訴不法。,3
2018-08-24T09:20:00.000Z,李培瑛表示，南亞科同時強化競爭力，力求能有良好績效，並與員工分享，改善員工酬勞，南亞科2017年員工酬勞便達新台幣13.64億元，年增近2倍。,4
2018-08-28T02:12:00.000Z, 2.南亞科 (2408) ：昨獲三大法人聯手買超5129張，加上昨夜美光大漲2.7%，帶動早盤股價漲逾2%，重回月線之上。,4
2018-08-29T07:12:00.000Z,加上MOSFET、被動元件等族群喊衝，成功化解台塑 (1301) 、台化 (1326) 、國泰金 (2882) 、南亞科 (2408) 、統一 (1216) 以及遠東新 (1402) 等權值股表現不振壓力，指數收盤報11099.57點，大漲110.02點、漲幅1%，成交金額1185.85億元。,3
2018-08-31T07:23:00.000Z,台股周五(31日)受制台積電 (2330) 、鴻海 (2317) 及股王大立光 (3008) 帶頭開低，以及聯發科 (2454) 、南亞科 (2408) 等權值股臉色鐵青影響下，使加權指數甫開市下跌0.51%，盤中跌破5日線，再臨萬一保衛戰。,-4
2018-08-31T07:23:00.000Z,南亞科 (2408) 則因DRAM報價修正壓力大以及美光也將砸30億美元擴產，股價弱勢。,-2
2018-08-31T06:03:00.000Z, MSCI個股權重調整在今日收盤後生效，本次共有9檔權重獲調升的個股，包括南亞科 (2408) 、國巨 (2327) 、國泰金 (2882) 、研華 (2395) 、瑞昱 (2379) 、群光 (2385) 、中裕 (4147) 、台新金 (2887) 、新光金 (2888) ，另外，7檔遭調降權重個股分別為仁寶 (2324) 、旺宏 (2337) 、聯發科 (2454) 、宏達電 (2498) 、元大金 (2885) 、日月光投控 (3711) 、和碩 (4938) 。,2
