PublishDate,Sentence,Score
2017-09-01T04:51:00.000Z,"MoneyDJ新聞 2017-09-01 12:51:27 記者 蔡承啟 報導日本遊戲產業市調機構Media Create 1日公布統計數據指出，上週(8月21-27日)任天堂(Nintendo)Switch遊戲機拜新遊戲軟體「魔物獵人XX Nintendo Switch版(8月25日開賣)」開賣加持，日本銷售量較前一週(8月14-20日)飆增2倍(增加213%)至6萬9,654台，是所有遊戲機種中唯一一款銷售呈現增長的產品。",1
2017-09-01T02:33:00.000Z,MoneyDJ新聞 2017-09-01 10:33:13 記者 蔡承啟 報導智慧音箱正火熱！除亞馬遜(Amazon)、谷歌(Google)已推出「Echo」、「Google Home」之外，蘋果(Apple)、Line也已分別宣布將推出智慧音箱產品「HomePod」、「WAVE」，日前南韓三星電子也證實正在籌備智慧音箱產品，而最新又有日本大廠宣布搶進，Sony、Panasonic紛紛於IFA正式開幕前於柏林發表智慧音箱產品。,6
2017-09-04T05:47:00.000Z,MoneyDJ新聞 2017-09-04 13:47:20 記者 蔡承啟 報導日經新聞4日報導，任天堂(Nintendo)Switch遊戲機開賣半年來仍持續處於缺貨狀態，家電量販店往往一進貨就會被搶購一空，東京都內的家電量販店全數都處於售罄狀態，大型家電量販店Yodobashi Camera指出，「一個月雖進了好幾次貨，但仍無法滿足消費者需求」。,1
2017-09-01T04:51:00.000Z,"MoneyDJ新聞 2017-09-01 12:51:27 記者 蔡承啟 報導日本遊戲產業市調機構Media Create 1日公布統計數據指出，上週(8月21-27日)任天堂(Nintendo)Switch遊戲機拜新遊戲軟體「魔物獵人XX Nintendo Switch版(8月25日開賣)」開賣加持，日本銷售量較前一週(8月14-20日)飆增2倍(增加213%)至6萬9,654台，是所有遊戲機種中唯一一款銷售呈現增長的產品。",1
2017-09-01T02:33:00.000Z,MoneyDJ新聞 2017-09-01 10:33:13 記者 蔡承啟 報導智慧音箱正火熱！除亞馬遜(Amazon)、谷歌(Google)已推出「Echo」、「Google Home」之外，蘋果(Apple)、Line也已分別宣布將推出智慧音箱產品「HomePod」、「WAVE」，日前南韓三星電子也證實正在籌備智慧音箱產品，而最新又有日本大廠宣布搶進，Sony、Panasonic紛紛於IFA正式開幕前於柏林發表智慧音箱產品。,6
2017-09-04T05:47:00.000Z,MoneyDJ新聞 2017-09-04 13:47:20 記者 蔡承啟 報導日經新聞4日報導，任天堂(Nintendo)Switch遊戲機開賣半年來仍持續處於缺貨狀態，家電量販店往往一進貨就會被搶購一空，東京都內的家電量販店全數都處於售罄狀態，大型家電量販店Yodobashi Camera指出，「一個月雖進了好幾次貨，但仍無法滿足消費者需求」。,1
2017-09-06T01:15:00.000Z,MoneyDJ新聞 2017-09-06 09:15:43 記者 蔡承啟 報導蘋果(Apple)已於8月31日發出邀請函，預告將在美國時間9月12日上午10點(台北時間9月13日凌晨1點)於新總部Apple Park內的「Steve Jobs Theater」舉行特別發表會、發表新產品。,2
2017-09-07T00:48:00.000Z,MoneyDJ新聞 2017-09-07 08:48:50 記者 蔡承啟 報導蘋果(Apple)已預告將在9月12日發表新產品，而市場普遍預期蘋果屆時可能會發表3款次代iPhone，其中包含一款將搭載OLED面板的iPhone問世10週年紀念機種iPhone 8。,1
2017-09-26T05:48:00.000Z,"MoneyDJ新聞 2017-09-26 13:48:43 記者 蔡承啟 報導科技研調機構IDC Japan 25日發表調查報告指出，因智慧手機出貨揚、平板出貨衝，帶動2017年Q2(4-6月)日本國內行動裝置出貨量(包含智慧手機、平板電腦及PC等產品)較去年同期勁揚10.4%至1,190萬台。",5
2017-09-28T01:15:00.000Z,MoneyDJ新聞 2017-09-28 09:15:54 記者 蔡承啟 報導蘋果(Apple)預計11月3日開賣的iPhone X近來屢屢傳出因臉部辨識用零件生產出現問題、導致開賣後恐大缺貨的消息。,-1
