PublishDate,Sentence,Score
2018-01-02T02:20:00.000Z,聯發科 (2454) 共同執行長蔡力行先前已經證實將在今年推出兩款新的Helio P系列處理器，但並未對於推出時程多所著墨，最新有消息指出，此兩款產品，一款為Helio P40，還有一款則就是運算效能更高階的Helio P70，且最快有可能會在CES 2018期間揭曉，不讓對手高通專美於前。,1
2018-01-02T02:20:00.000Z,  儘管中國大陸智慧機市場2018年看來成長性受限，但聯發科依舊看好新興市場的長線可期，故持續瞄準行動裝置晶片市場，積極在效能上持續精進，2018年更是瞄準AI(人工智慧)趨勢，預計今年推出的產品都會導入相關功能，以因應產業浪潮。,7
2018-01-02T02:20:00.000Z,  聯發科先前已經預告將在今年推出兩款Helio P系列處理器，市場預估即為Helio P40，加上運算效能更高階的Helio P70，兩款新品均採用台積電 (2330) 12奈米製程，瞄準中高階智慧機市場，最新消息也指出，聯發科最快有機會在CES 2018期間揭曉新品，以期可與競爭對手較勁。,2
2018-01-02T02:20:00.000Z,  聯發科今年非常著重在產業AI的趨勢，其不僅在智慧機處理器上會導入AI概念，在其他產品包括IoT、智慧電視、車用電子等非智慧機產品上，也都會導入AI，是以一個大平台的概念在發展AI，讓其可以接軌在各個產品線上，無疑就是要全面搶攻AI商機大餅。,5
2018-01-03T07:11:00.000Z,　2018年第二個交易日，台股由台積電 (2330) 扮領漲先鋒，帶動聯電 (2303) 、聯發科 (2454) 等半導體股走高；受到12吋矽晶圓供貨吃緊影響，供應鏈環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 攜手喊衝；DRAM族群受到美光股價大漲鼓舞，南亞科 (2408) 、華邦電 (2344) 聯袂勁揚；挾漲價題材的被動元件族群續旺，國巨 (2327) 漲停飆天價，帶動華新科 (2492) 、禾伸堂 (3026) 、智寶 (2375) 同步攻頂。,12
2018-01-03T06:10:00.000Z,美國費城半導體指數大漲2.77%，台積電 (2330) 在外資買盤回籠下，股價上漲4.5元，收在237元，漲幅約1.94%，連帶帶動聯電 (2303) 與聯發科 (2454) 等半導體股股價連袂走揚，半導體類股指數大漲1.95%，為今天多頭指標。,8
2018-01-03T03:19:00.000Z,美國費城半導體指數大漲2.77%，台積電又在外資買盤回籠下，股價表現強勁，盤中一度達238元，大漲5.5元，漲幅達2.37%，連帶帶動聯電、聯發科等半導體類股股價連袂走揚，半導體類股指數大漲近2%。,8
2018-01-03T02:00:00.000Z,這是因為高通、聯發科(2454)、展訊都會推出晶片、支援此一功能。,2
2018-01-02T02:20:00.000Z,聯發科 (2454) 共同執行長蔡力行先前已經證實將在今年推出兩款新的Helio P系列處理器，但並未對於推出時程多所著墨，最新有消息指出，此兩款產品，一款為Helio P40，還有一款則就是運算效能更高階的Helio P70，且最快有可能會在CES 2018期間揭曉，不讓對手高通專美於前。,1
2018-01-02T02:20:00.000Z,  儘管中國大陸智慧機市場2018年看來成長性受限，但聯發科依舊看好新興市場的長線可期，故持續瞄準行動裝置晶片市場，積極在效能上持續精進，2018年更是瞄準AI(人工智慧)趨勢，預計今年推出的產品都會導入相關功能，以因應產業浪潮。,7
